"nct_id","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","category","country","region","trial_type","final match","final any paper","final publication found","final PMID","DOI (format: e.g 10.1000/182)","URL  (if not avaiable DOI or PMID )","publication_date","has_publication","days_cd_to_publication","days_pcd_to_publication","days_cd_to_summary","days_pcd_to_summary","days_reg_to_start","days_reg_to_cd","days_reg_to_pcd","days_reg_to_publication","completion_year","primary_completion_year"
"NCT03229603","2017-04-18",NA,"Interventional","Not Applicable",227,"Unknown status","A Pilot Study on HPV and Cervical Cancer Screening in Mumbai","A Pilot Study on HPV and Cervical Cancer Screening in Mumbai","2018-04-01","2018-05-01","2018-04-01",FALSE,NA,"None (Open Label)","OTHER_GOV",FALSE,"Monocentric","India","LMIC","maternal health","TRUE","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,348,378,348,NA,"2018","2018"
"NCT02101086","2014-03-28",NA,"Interventional","Not Applicable",39,"Completed","Evaluation of the Efficacy and Safety of Autologous Cord Blood Transfusions in Premature Infants","Autologous Cord Blood Transfusion in Preterm Infants","2009-03-01","2012-01-01","2010-09-01",FALSE,"Randomized","Double","OTHER",FALSE,"Monocentric","Turkey","LMIC","maternal health","TRUE","article","google search / PI + intervention",29376587,"10.24953/turkjped.2017.03.022","https://turkjpediatr.org/article/view/1001/1000",2017-02-20,TRUE,1877,2364,NA,NA,-1853,-817,-1304,1060,"2012","2010"
"NCT01799356","2013-02-16",NA,"Interventional","Phase 4",1303,"Completed",NA,"Moxifloxacin Versus Ofloxacin Plus Metronidazole in Uncomplicated Pelvic Inflammatory Disease: Multicenter Randomized Controlled Trials","2010-06-01","2013-03-01","2013-03-01",FALSE,"Randomized","Single","OTHER_GOV",TRUE,"Multicentric Local","Turkey","LMIC","maternal health","TRUE","article","google search / PI + intervention",23993130,"10.1016/j.ejogrb.2013.08.012","https://www.ejog.org/article/S0301/2115(13)00384/9/abstract",2013-08-11,TRUE,163,163,NA,NA,-991,13,13,176,"2013","2013"
"NCT03408639","2017-12-12","2019-06-18","Interventional","Phase 3",156,"Completed","A Phase III, Randomized, Two Armed, Parallel, Double Blind (Patient and Assessor Blinded), Active Controlled Non Inferiority Clinical Trial to Determine the Non Inferior Therapeutic Efficacy and Safety Between CinnaPoietin® (Beta Erythropoietin) and Eprex® (Epoetin Alpha) on the Treatment of Anemia in ESRD Hemodialysis Patients","Comparing Efficacy and Safety of CinnaGen Beta Erythropoietin (CinnaPoietin®) Versus Eprex® on the Treatment of Anemia in ESRD Hemodialysis Patients","2016-06-22","2017-07-19","2017-07-19",TRUE,"Randomized","Quadruple","INDUSTRY",TRUE,"Multicentric Local","Iran, Islamic Republic of","LMIC","maternal health","TRUE","article","linked in registry",30253403,"10.1159/000493097","https://karger.com/ajn/article/48/4/251/41533/Comparing/Therapeutic/Efficacy/and/Safety/of",2018-09-25,TRUE,433,433,699,699,-538,-146,-146,287,"2017","2017"
"NCT01183572","2010-08-13",NA,"Interventional","Not Applicable",802,"Completed","Trial of Pre-Pregnancy Supplements","Trial of Pre-Pregnancy Supplements","2010-08-01","2012-01-01","2012-01-01",FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Tanzania","LMIC","maternal health","TRUE","article","linked in registry",25905863,"10.1371/journal.pone.0121552","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0121552",2015-04-23,TRUE,1208,1208,NA,NA,-12,506,506,1714,"2012","2012"
"NCT02086838","2014-03-12",NA,"Interventional","Phase 4",212,"Completed","Comparison Between Iron Supplementation Using Total Dose Infusion and Oral Routes for Treatment of Iron Deficiency Anemia in Pregnancy","Iron Supplementation Using Total Dose Infusion and Oral Routes for Treatment of Iron Deficiency Anemia in Pregnancy","2013-07-01","2014-12-01","2014-12-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC","maternal health","TRUE","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-254,264,264,NA,"2014","2014"
"NCT01191983","2010-08-16",NA,"Interventional","Phase 4",102,"Completed","A Single Arm Open Label Multicenter Interventional Study to Assess the Efficacy, Safety, and Tolerability of Every 4 Weeks Administration of Subcutaneous C.E.R.A. for the Treatment of Chronic Renal Anemia in Diabetic Nephropathy With Chronic Kidney Disease Stages III-IV Not on Dialysis, Not Currently Treated With ESA.","A Study of Methoxy Polyethylene Glycol-Epoetin Beta (Mircera) for the Treatment of Chronic Renal Anemia in Participants With Diabetic Nephropathy","2010-08-13","2018-04-23","2018-04-23",FALSE,NA,"None (Open Label)","INDUSTRY",TRUE,"Multicentric Local","India","LMIC","maternal health","TRUE","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-3,2807,2807,NA,"2018","2018"
"NCT00964691","2009-08-24",NA,"Interventional","Phase 4",2504,"Terminated","Intermittent Preventive Treatment With Sulfadoxine-Pyrimethamine Versus Weekly Chloroquine Prophylaxis During Pregnancy in Solomon Islands: a Randomized Controlled Trial","A Randomized Controlled Trial for Intermittent Preventive Treatment in Pregnancy With Fansidar in Solomon Islands","2009-08-01","2010-08-01","2010-08-01",FALSE,"Randomized","None (Open Label)","OTHER_GOV",FALSE,"Monocentric","Solomon Islands","LMIC","maternal health","TRUE","article","google search / trial number",38828109,"10.5281/zenodo.10894954","https://pubmed.ncbi.nlm.nih.gov/38828109/",2013-06-29,TRUE,1063,1063,NA,NA,-23,342,342,1405,"2010","2010"
"NCT02221752","2014-08-18",NA,"Interventional","Not Applicable",2367,"Completed","Impact of Iron/Folic Acid Versus Folic Acid Supplements During Pregnancy on Maternal and Children's Health: A Randomized Controlled Trial in China","Impact of Iron/Folic Acid vs Folic Acid Supplements During Pregnancy on Maternal and Child Health","2009-06-01","2011-12-01","2011-12-01",FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","China","LMIC","maternal health","TRUE","article","linked in registry",26063068,"10.3945/jn.114.208678","https://pubmed.ncbi.nlm.nih.gov/26063068/",2015-06-10,TRUE,1287,1287,NA,NA,-1904,-991,-991,296,"2011","2011"
"NCT03481790","2018-03-12",NA,"Interventional","Phase 2",200,"Completed","The Effect of Orally Administered Iron-saturated Lactoferrin on Systemic Iron Homeostasis in Pregnant Women Suffering From Iron Deficiency and Iron Deficiency Anaemia","Lactoferrin Versus Ferrous Sulphate for Treatment of Iron Deficiency Anaemia During Pregnancy","2017-09-01","2018-03-05","2018-03-05",FALSE,"Randomized","Double","OTHER",FALSE,"Monocentric","Egypt","LMIC","maternal health","FALSE","article","google search / PI + intervention",NA,NA,"https://ejhm.journals.ekb.eg/article_8626.html",2018-04-01,TRUE,27,27,NA,NA,-192,-7,-7,20,"2018","2018"
