"","nct_id","last_update_submitted_date","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","category","country","region"
"1","NCT03229603",2017-12-21,2017-04-18,NA,"Interventional","Not Applicable",227,"Unknown status","A Pilot Study on HPV and Cervical Cancer Screening in Mumbai","A Pilot Study on HPV and Cervical Cancer Screening in Mumbai",2018-04-01,2018-05-01,2018-04-01,FALSE,NA,"None (Open Label)","OTHER_GOV",FALSE,"Monocentric","India","LMIC"
"2","NCT02101086",2014-03-28,2014-03-28,NA,"Interventional","Not Applicable",39,"Completed","Evaluation of the Efficacy and Safety of Autologous Cord Blood Transfusions in Premature Infants","Autologous Cord Blood Transfusion in Preterm Infants",2009-03-01,2012-01-01,2010-09-01,FALSE,"Randomized","Double","OTHER",FALSE,"Monocentric","Turkey","LMIC"
"3","NCT01799356",2013-08-27,2013-02-16,NA,"Interventional","Phase 4",1303,"Completed",NA,"Moxifloxacin Versus Ofloxacin Plus Metronidazole in Uncomplicated Pelvic Inflammatory Disease: Multicenter Randomized Controlled Trials",2010-06-01,2013-03-01,2013-03-01,FALSE,"Randomized","Single","OTHER_GOV",TRUE,"Multicentric Local","Turkey","LMIC"
"4","NCT03408639",2019-12-08,2017-12-12,2019-06-18,"Interventional","Phase 3",156,"Completed","A Phase III, Randomized, Two Armed, Parallel, Double Blind (Patient and Assessor Blinded), Active Controlled Non Inferiority Clinical Trial to Determine the Non Inferior Therapeutic Efficacy and Safety Between CinnaPoietin® (Beta Erythropoietin) and Eprex® (Epoetin Alpha) on the Treatment of Anemia in ESRD Hemodialysis Patients","Comparing Efficacy and Safety of CinnaGen Beta Erythropoietin (CinnaPoietin®) Versus Eprex® on the Treatment of Anemia in ESRD Hemodialysis Patients",2016-06-22,2017-07-19,2017-07-19,TRUE,"Randomized","Quadruple","INDUSTRY",TRUE,"Multicentric Local","Iran, Islamic Republic of","LMIC"
"5","NCT01183572",2012-09-08,2010-08-13,NA,"Interventional","Not Applicable",802,"Completed","Trial of Pre-Pregnancy Supplements","Trial of Pre-Pregnancy Supplements",2010-08-01,2012-01-01,2012-01-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Tanzania","LMIC"
"6","NCT02086838",2015-03-17,2014-03-12,NA,"Interventional","Phase 4",212,"Completed","Comparison Between Iron Supplementation Using Total Dose Infusion and Oral Routes for Treatment of Iron Deficiency Anemia in Pregnancy","Iron Supplementation Using Total Dose Infusion and Oral Routes for Treatment of Iron Deficiency Anemia in Pregnancy",2013-07-01,2014-12-01,2014-12-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC"
"7","NCT01191983",2018-07-17,2010-08-16,NA,"Interventional","Phase 4",102,"Completed","A Single Arm Open Label Multicenter Interventional Study to Assess the Efficacy, Safety, and Tolerability of Every 4 Weeks Administration of Subcutaneous C.E.R.A. for the Treatment of Chronic Renal Anemia in Diabetic Nephropathy With Chronic Kidney Disease Stages III-IV Not on Dialysis, Not Currently Treated With ESA.","A Study of Methoxy Polyethylene Glycol-Epoetin Beta (Mircera) for the Treatment of Chronic Renal Anemia in Participants With Diabetic Nephropathy",2010-08-13,2018-04-23,2018-04-23,FALSE,NA,"None (Open Label)","INDUSTRY",TRUE,"Multicentric Local","India","LMIC"
"8","NCT00964691",2010-07-05,2009-08-24,NA,"Interventional","Phase 4",2504,"Terminated","Intermittent Preventive Treatment With Sulfadoxine-Pyrimethamine Versus Weekly Chloroquine Prophylaxis During Pregnancy in Solomon Islands: a Randomized Controlled Trial","A Randomized Controlled Trial for Intermittent Preventive Treatment in Pregnancy With Fansidar in Solomon Islands",2009-08-01,2010-08-01,2010-08-01,FALSE,"Randomized","None (Open Label)","OTHER_GOV",FALSE,"Monocentric","Solomon Islands","LMIC"
"9","NCT02221752",2014-08-19,2014-08-18,NA,"Interventional","Not Applicable",2367,"Completed","Impact of Iron/Folic Acid Versus Folic Acid Supplements During Pregnancy on Maternal and Children's Health: A Randomized Controlled Trial in China","Impact of Iron/Folic Acid vs Folic Acid Supplements During Pregnancy on Maternal and Child Health",2009-06-01,2011-12-01,2011-12-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","China","LMIC"
"10","NCT03481790",2018-03-22,2018-03-12,NA,"Interventional","Phase 2",200,"Completed","The Effect of Orally Administered Iron-saturated Lactoferrin on Systemic Iron Homeostasis in Pregnant Women Suffering From Iron Deficiency and Iron Deficiency Anaemia","Lactoferrin Versus Ferrous Sulphate for Treatment of Iron Deficiency Anaemia During Pregnancy",2017-09-01,2018-03-05,2018-03-05,FALSE,"Randomized","Double","OTHER",FALSE,"Monocentric","Egypt","LMIC"
"11","NCT02586402",2015-10-23,2015-10-23,NA,"Interventional","Phase 2",60,"Unknown status","A Phase 2, Randomized, Active-controlled, Open-label, Multi-center Study of the Safety and Efficacy of Pegolsihematide for the Correction of Anemia in Patients With CRF Undergoing Dialysis and Previously Treated With ESAs","Safety & Efficacy of Pegolsihematide for Treatment of Anemia in Participants on Dialysis",2015-10-01,2016-08-01,2016-08-01,FALSE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"Monocentric","China","LMIC"
"12","NCT02693483",2016-02-25,2016-02-15,NA,"Interventional","Phase 4",306,"Unknown status","Preoperative Vaginal Cleansing With Povidone Iodine and the Risk of Post Cesarean Endometritis","Preoperative Vaginal Cleansing With Povidone Iodine and the Risk of Post Cesarean Endometritis",2015-04-01,2016-10-01,2016-06-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC"
"13","NCT02811367",2016-10-14,2016-06-20,NA,"Interventional","Not Applicable",117,"Completed","The HPV Self-test as a Test of Cure in the Follow-up of HPV-positive Women in Madagascar","The HPV Self-test as a Test of Cure in Madagascar",2016-06-01,2016-09-01,2016-09-01,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Monocentric","Madagascar","LMIC"
"14","NCT02812914",2017-10-25,2016-06-03,NA,"Interventional","Not Applicable",50,"Completed","NACER II: Reducing Prenatal Exposures to Household Air Pollution in Rural Guatemala Through a Gas Stove/Behavior Intervention to Improve Neonatal Health","NACER II: Reducing Prenatal Exposures to Household Air Pollution in Rural Guatemala Through a Gas Stove/Behavior Intervention to Improve Neonatal Health",2016-04-01,2017-06-19,2017-06-19,FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Guatemala","LMIC"
"15","NCT02532504",2017-01-13,2015-08-15,NA,"Interventional","Phase 2",36,"Completed","Change Your Life With Seven Sheets of Paper: A Pilot Randomized Controlled Trial for Postnatal Depression: A Pilot Randomized Controlled Trial for Postnatal Depression","Change Your Life With Seven Sheets of Paper",2015-08-01,2016-03-01,2016-03-01,FALSE,"Randomized","Single","OTHER",FALSE,"Monocentric","Pakistan","LMIC"
"16","NCT03759353",2018-11-28,2018-11-28,NA,"Interventional","Phase 2",98,"Completed","A Comparative Study Between Lactoferrin Versus Ferrous Sulfate in Iron-deficiency During Pregnancy","Lactoferrin Versus Ferrous Sulfate in Iron-deficiency During Pregnancy",2018-01-15,2018-11-20,2018-10-30,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC"
