"","nct_id","last_update_submitted_date","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","category","country","region"
"1","NCT02765087",2017-11-12,2016-05-04,NA,"Interventional","Not Applicable",100,"Unknown status","Diagnostic Utility of the E-Nose for Pleural TB","E-Nose: Diagnostic Tool for Pleural TB",2015-01-01,2017-12-01,2017-12-01,FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Venezuela","LMIC"
"2","NCT00679159",2010-02-08,2008-04-02,NA,"Interventional","Phase 2",168,"Completed","A Phase II Study Evaluating the Safety and Immunogenicity of a New TB Vaccine, MVA85A, in Healthy Children and Infants After BCG Vaccination at Birth","A Study of MVA85A in Healthy Children and Infants",2008-02-01,2009-12-01,2009-12-01,FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"3","NCT03278483",2019-04-25,2017-08-07,NA,"Interventional","Phase 4",396,"Completed","Efficacy, Security, Adherence, Tolerability and Cost Effectiveness of Latent TB Treatment in Patients With TB/DM2","Efficacy, Security, Adherence, Tolerability and Cost Effectiveness of Latent TB Treatment in Patients With TB/DM2 (TBL)",2019-02-28,2019-02-28,2019-02-28,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Mexico","LMIC"
"4","NCT01241188",2015-04-16,2010-11-15,NA,"Interventional","Phase 2",253,"Completed","A Phase IIb Sensitivity Trial of the Diagnostic Agent C-Tb, When Given Intradermally by the Mantoux Technique to Adult Patients Recently Diagnosed With Active TB","A Trial of the C-Tb Skin Test, When Given Intradermally to Adult Patients Recently Diagnosed With Active Tuberculosis (TB)",2011-04-01,2011-12-01,2011-12-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"5","NCT02121314",2015-04-07,2014-01-25,NA,"Interventional","Phase 2",20,"Completed","The Influence of Fasting and Food on the Pharmacokinetics of Isoniazid, Rifampicin, Pyrazinamide, and Ethambutol in Newly Diagnosed TB Patients","HRZE Fasted/Fed in Newly Diagnosed TB",2013-07-01,2014-06-01,2014-04-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Indonesia","LMIC"
"6","NCT01159886",2010-07-09,2010-07-09,NA,"Interventional","Not Applicable",216,"Unknown status","Patient-posture and Ileal-intubation During Colonoscopy (PIC): a Randomized Controlled Open-label Trial","Patient-posture and Ileal-intubation During Colonoscopy",2010-06-01,2011-03-01,2011-01-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","India","LMIC"
"7","NCT04150224",2020-02-13,2019-10-18,2020-01-24,"Interventional","Phase 1",60,"Completed","An Open-label, Prospective Study of Safety, Tolerability, Pharmacokinetics and Food Effects of PBTZ169, 80 mg Capsules, When Used in Ascending Doses in Healthy Volunteers","Safety, Tolerability, Pharmacokinetics and Food Effects Study of PBTZ169",2018-07-03,2019-02-01,2018-11-23,TRUE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"Monocentric","Russian Federation","LMIC"
"8","NCT03497195",2019-09-24,2018-04-06,NA,"Interventional","Not Applicable",18194,"Completed","Achieving TB Control In Zambia Through Scale Up Of Innovative Tools And Proven Active TB Case Finding Interventions","Achieving Tuberculosis (TB) Control In Zambia",2017-07-01,2018-12-31,2018-12-31,FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Zambia","LMIC"
"9","NCT02558842",2016-08-01,2015-09-22,NA,"Interventional","Not Applicable",160,"Completed","Intervention in the Management of Post-high Tuberculosis Hospital Through Educational Strategy and Oversight Distance in a Region With High Prevalence of the Disease: Randomized Clinical Trial","Intervention in the Management of Post-high Tuberculosis Hospital Through Educational Strategy and Oversight Distance",2013-03-01,2015-12-01,2015-09-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Brazil","LMIC"
"10","NCT01742364",2016-12-15,2012-11-30,2016-04-06,"Interventional","Not Applicable",96,"Completed","A Randomized Clinical Trial in Adults and Newborns to Compare the Safety, Reactogenicity and Immunogenicity of BCG Administration Via a Disposable Syringe Jet Injector (DSJI) to BCG Administration Via Syringe and Needle","Comparative Study of Bacille Calmette Guerin (BCG) Delivery Via Disposable Syringe Jet Injector and Needle & Syringe",2012-12-01,2013-12-01,2013-12-01,TRUE,"Randomized","Single","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"11","NCT01779102",2015-04-16,2013-01-18,NA,"Interventional","Phase 2/Phase 3",456,"Completed","A Phase II/III Trial Investigating if Concomitant Injections of the Diagnostic Agents C-Tb and 2 T.U Tuberculin PPD RT 23 SSI Affect the Induration Responses in Combination With a Safety Assessment of C-Tb","Safety Study Investigating if Concomitant Injections of C-Tb and 2 T.U Tuberculin Affect Induration Responses",2013-10-01,2014-09-01,2014-09-01,FALSE,"Randomized","Quadruple","OTHER",TRUE,"Multicentric Local","South Africa","LMIC"
"12","NCT03017378",2017-01-10,2017-01-04,NA,"Interventional","Phase 1",36,"Completed","A Randomized, Open Clinical Trial Phase 1 Vaccine TB/FLU-01L by Intranasal and Sublingual Application for Specific Immunotherapy Pulmonary Tuberculosis","Reactogenicity, Safety and Immunogenicity of a TB/FLU-01L Tuberculosis Vaccine",2013-10-01,2015-02-01,2014-04-01,FALSE,"Randomized","None (Open Label)","OTHER_GOV",FALSE,"Monocentric","Kazakhstan","LMIC"
