"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT00186082","Antibiotics for Postpartum Third and Fourth Degree Perineal Tear Repairs",,"Completed","No Results Available","Pregnancy Complications, Infectious","Drug: Cefotetan or Cefoxitin vs placebo","No perineal breakdown or infection","Stanford University|Santa Clara Valley Health & Hospital System","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","147","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","95339","September 2003","June 2006","June 2008","September 16, 2005",,"June 15, 2011","Santa Clara Valley Medical Center, San Jose, California, United States|Stanford University School of Medicine, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT00186082"
2,"NCT00028145","Prenatal and Postnatal Studies of Interventions for Prevention of Mother-To-Child Transmission",,"Completed","No Results Available","HIV Infections|Pregnancy Complications, Infectious","Behavioral: Adherence assessment","Maternal and infant response to prescribed interventions|Immune and viral parameters of participants taking prescribed interventions|Occurrences of genotypic and phenotypic resistance in HIV-infected mothers|Clinical, immunological, and virological responses in HIV-infected women|Mother-to-child transmission rates of resistance mutations|Adherence to ART among HIV-infected pregnant women during pregnancy and postpartum","International Maternal Pediatric Adolescent AIDS Clinical Trials Group|National Institute of Allergy and Infectious Diseases (NIAID)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Female","14 Years and older   (Child, Adult, Older Adult)",,"3090","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","PACTG P1025|U01AI068632","October 2002","June 2013","June 2013","December 14, 2001",,"October 10, 2014","Univ. of Alabama Birmingham NICHD CRS (5096), Birmingham, Alabama, United States|University of South Alabama, Mobile, Alabama, United States|Phoenix Childrens Hospital, Phoenix, Arizona, United States|Long Beach Memorial (Pediatric), Long Beach, California, United States|Miller Children's Hospital Long Beach (5093), Long Beach, California, United States|Los Angeles County Medical Center/USC, Los Angeles, California, United States|Usc La Nichd Crs (5048), Los Angeles, California, United States|UCLA Med Ctr / Pediatric, Los Angeles, California, United States|UCLA-Los Angeles/Brazil AIDS Consortium (LABAC) CR (3601), Los Angeles, California, United States|Univ of California, San Diego (4601), San Diego, California, United States|Univ. of California San Francisco NICHD CRS (5091), San Francisco, California, United States|Harbor-UCLA Med Ctr (5045), Torrance, California, United States|University of Colorado Denver NICHD CRS (5052), Denver, Colorado, United States|Connecticut Childrens Medical Center (Pediatric), Farmington, Connecticut, United States|University of Connecticut, Farmington, Farmington, Connecticut, United States|Yale Univ School of Med, New Haven, Connecticut, United States|Children's National Medical Center Washington DC NICHD CRS (5015), Washington, District of Columbia, United States|Washington Hospital Center NICHD CRS (5023), Washington, District of Columbia, United States|Howard Univ Hosp (5044), Washington, District of Columbia, United States|North Broward Hosp District, Fort Lauderdale, Florida, United States|South Florida CDC Ft Lauderdale NICHD CRS (5055), Ft Lauderdal, Florida, United States|University of Florida Jacksonville (5051), Jacksonville, Florida, United States|Jackson Memorial Hosp, Miami, Florida, United States|University of Miami Pediatric/Perinatal HIV/AIDS (4201), Miami, Florida, United States|University of South Florida at Tampa (5018), St Petersburg, Florida, United States|Med College of Georgia, Augusta, Georgia, United States|The Medical Center, Columbus, Georgia, United States|Womens & Childrens HIV Program, Chicago, Illinois, United States|Mt Sinai Hosp Med Ctr / Dept of Pediatrics, Chicago, Illinois, United States|Univ of Illinois, Chicago, Illinois, United States|Cook County Hospital, Chicago, Illinois, United States|Rush University Cook County Hospital NICHD CRS (5083), Chicago, Illinois, United States|Chicago Childrens Memorial Hosp (Pediatric), Chicago, Illinois, United States|Univ of Chicago Children's Hosp (4001), Chicago, Illinois, United States|Tulane University New Orleans (5095), New Orleans, Louisiana, United States|Tulane-Lakeside Hospital, New Orleans, Louisiana, United States|Tulane University Charity Hosp of New Orleans (7201), New Orleans, Louisiana, United States|University of Maryland Baltimore NICHD CRS (5094), Baltimore, Maryland, United States|Johns Hopkins University NICHD CRS (5092), Baltimore, Maryland, United States|Children's Hospital of Boston NICHD CRS (5009), Boston, Massachusetts, United States|Boston Med Ctr (Pediatric) (5011), Boston, Massachusetts, United States|Brigham and Women's Hosp, Boston, Massachusetts, United States|Baystate Med Ctr of Springfield, Springfield, Massachusetts, United States|WNE Maternal Pediatric Adolescent AIDS CRS (7301), Worcester, Massachusetts, United States|Univ of Massachusetts Med School, Worcester, Massachusetts, United States|Hutzel Hospital (5089), Detroit, Michigan, United States|Wayne State University Detroit Children's Hosp of Michigan (5041), Detroit, Michigan, United States|St. Louis Children's Hosp, St. Louis, Missouri, United States|Univ of Medicine & Dentistry of New Jersey / Univ Hosp (P2802), Newark, New Jersey, United States|New Jersey Medical School (2802), Newark, New Jersey, United States|Univ of Med & Dentistry of New Jersey/Univ Hosp, Newark, New Jersey, United States|Lincoln Medical & Mental Health Center, Bronx, New York, United States|Bronx-Lebanon Hospital IMPAACT (6901), Bronx, New York, United States|Jacobi Med. Ctr. Bronx NICHD CRS (5013), Bronx, New York, United States|Montefiore Medical / AECOM, Bronx, New York, United States|Children's Hospital at Downstate, Brooklyn, New York, United States|New York University NY (5012), New York, New York, United States|NYU/Bellevue Hospital, New York, New York, United States|Metropolitan Hosp Ctr (5003), New York, New York, United States|Columbia IMPAACT CRS (4101), New York, New York, United States|Univ of Rochester Med Ctr, Rochester, New York, United States|State Univ of New York at Stony Brook (5040), Stony Brook, New York, United States|SUNY Upstate Medical Univ, Syracuse, New York, United States|Duke Univ (Pediatric) (DUMC) (4701), Durham, North Carolina, United States|Oregon Health and Science University, Portland, Oregon, United States|Hahnemann University Hospital (6706), Philadelphia, Pennsylvania, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|The Children's Hospital of Philadelphia (6701), Philadelphia, Pennsylvania, United States|The Regional Med Ctr, Memphis (6502), Memphis, Tennessee, United States|St. Jude Childrens Research Hosp, Memphis (6501), Memphis, Tennessee, United States|Vanderbilt Univ Med Ctr, Nashville, Tennessee, United States|Texas Children's Hosp / Baylor Univ (3801), Houston, Texas, United States|Univ of Washington Children's Hospital Seattle (5017), Seattle, Washington, United States|Harborview Medical Center NICHD CRS (5027), Seattle, Washington, United States|University of Washington NICHD CRS (5029), Seattle, Washington, United States|University of Puerto Rico Pediatric HIV/AIDS (6601), San Juan, Puerto Rico|San Juan City Hosp. PR NICHD CRS (5031), San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT00028145"
3,"NCT05929963","Observational Study of the Interaction Between Hepatitis C Virus Infection and Pregnancy",,"Enrolling by invitation","No Results Available","Hepacivirus|Pregnancy","Other: HCV infection status","Incidence of various adverse pregnancy outcomes|Mother-to-child transmission rate of HCV|Development of children born to HCV pregnant women","Beijing Ditan Hospital","Female","20 Years to 45 Years   (Adult)",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","DTXY28","May 9, 2023","February 20, 2024","January 1, 2025","July 5, 2023",,"July 5, 2023","Beijing Ditan Hospital, Beijing, China",,"https://ClinicalTrials.gov/show/NCT05929963"
4,"NCT01988168","Closure of Skin in ChorioAmnionitis Research Pilot Study","CSCAR","Unknown status","No Results Available","Chorioamnionitis|Pregnancy Complications, Infectious|Complications; Cesarean Section|Postoperative Complications","Procedure: Suture closure|Procedure: Staples closure","Patient recruitment rate|Follow-up rates|Wound infection|Wound disruption|Wound cosmesis|Patient satisfaction|Participation rate","University of British Columbia|BC Children's Hospital Research Institute","Female","Child, Adult, Older Adult","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","H13-03009","February 2014","December 2019","December 2019","November 20, 2013",,"May 12, 2017","Children's and Women's Health Centre of British Columbia, Vancouver, British Columbia, Canada",,"https://ClinicalTrials.gov/show/NCT01988168"
5,"NCT04778722","Microbiome Vaginae After Use of Oral Probiotics in Pregnancy.",,"Recruiting","No Results Available","Pregnancy; Infection Genitourinary System","Dietary Supplement: Oral probiotics","CST|Lactobacilli Change","Associate Prof. Ljubomir Petricevic MD|Medical University of Vienna","Female","18 Years to 45 Years   (Adult)","Not Applicable","44","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LP2021/INF1.1","August 15, 2022","April 1, 2023","May 1, 2023","March 3, 2021",,"November 15, 2022","Department of Obstetrics and Gynecology, Medical University of Vienna, Vienna, Austria",,"https://ClinicalTrials.gov/show/NCT04778722"
6,"NCT04515108","Perinatal Outcomes and Hematologic Parameters in COVID-19 Pregnancies",,"Completed","No Results Available","Pregnancy, Infections in|Covid19","Other: Clinical assessment","complete blood count parameters (including the number of lymphocytes, Leukocytes, monocytes, platelets and red blood cells).|APGAR score|maternal and newborn length|maternal and newborn weight|body temperature","Ankara City Hospital Bilkent","Female","18 Years to 42 Years   (Adult)",,"108","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","E1-20-672","March 10, 2020","August 5, 2020","August 10, 2020","August 17, 2020",,"August 17, 2020","Ankara City Hospital, Ankara, Turkey",,"https://ClinicalTrials.gov/show/NCT04515108"
7,"NCT05197621","The Impact of COVID-19 on Maternal and Neonatal Outcomes",,"Recruiting","No Results Available","COVID-19|Pregnancy; Infection","Biological: mRNA COVID-19 vaccine (Pfizer or Moderna)","Evaluation of biospecimens from recently delivered pregnant women and neonates who were diagnosed with COVID-19 during their pregnancy|To evaluate the immunogenicity of COVID-19 mRNA vaccines in pregnant and lactating people|To evaluate the efficacy of COVID-19 mRNA vaccines in pregnant and lactating people","Johns Hopkins University","Female","14 Years to 55 Years   (Child, Adult)",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB00246472","April 13, 2020","May 5, 2024","May 5, 2025","January 19, 2022",,"January 12, 2024","Johns Hopkins Hospital, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT05197621"
8,"NCT00194155","Cytomegalovirus (CMV) Infection in Pregnancy",,"Completed","No Results Available","Pregnancy Complications|Cytomegalovirus Infection",,,"University of Pennsylvania","Female","15 Weeks and older   (Child, Adult, Older Adult)",,"283","Other","Observational","Observational Model: Case-Only","R01 17625-03-13","May 2003","February 2008","February 2008","September 19, 2005",,"August 17, 2016","Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT00194155"
9,"NCT04353141","International Lung UltraSound Analysis (ILUSA) Study","ILUSA","Unknown status","No Results Available","COVID|Pregnancy Complications, Infectious|Pregnancy Related|Pregnancy, High Risk|Pregnancy Disease|Pneumonia|Pneumonia, Viral|Diagnoses Disease","Diagnostic Test: standardized Lung Ultrasound (LUS) examination","Diagnostic performance of LUS to predict poor outcome","KU Leuven","Female","Child, Adult, Older Adult",,"1850","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVID-19: ILUSA (S63988)","April 28, 2020","May 31, 2020","December 31, 2020","April 20, 2020",,"May 7, 2020","University Hospitals Leuven, Leuven, Belgium|University of Brescia, Brescia, Italy|University of Foggia, Foggia, Italy|University of Milan, Milan, Italy|University of Parma, Parma, Italy|Fondazione Policlinico Universitario A. Gemelli, Roma, Italy|Queen Charlotte's & Chelsea Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04353141"
10,"NCT03585023","Infections and Pregnancy Loss: Correlation Between Abortion and Silent Infections.",,"Completed","No Results Available","Pregnancy Loss","Diagnostic Test: Spontaneous miscarriage|Diagnostic Test: Voluntary pregnancy interruption","Individuation of DNA of intracellular agents (viral und bacterial) in chorionic tissue und blood sample.","University Hospital of Ferrara","Female","18 Years to 42 Years   (Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PRUA1GR-2013-00000220","November 15, 2014","November 15, 2016","May 14, 2017","July 12, 2018",,"July 12, 2018",,,"https://ClinicalTrials.gov/show/NCT03585023"
