"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT05958095","Curio Digital Therapy for the Treatment of Post-partum Depression","SuMMER","Active, not recruiting","No Results Available","PostPartum Depression","Device: MamaLift Plus|Device: Digital Sham App","EPDS Score|EPDS Score improvement","Healthcare Innovation Technology Lab|Curio Digital Therapeutics, Inc.","Female","18 Years to 50 Years   (Adult)","Not Applicable","142","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","CU-T-003","April 1, 2023","May 24, 2023","August 15, 2023","July 24, 2023",,"July 24, 2023","Healthcare Innovation and Technology Lab, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT05958095"
2,"NCT05229913","Effects of Esketamine on Postpartum Depression","EEPD","Unknown status","No Results Available","Postpartum Depression","Drug: Esketamine is not added|Drug: Esketamine 0.2mg/kg|Drug: Esketamine 0.4mg/kg|Drug: Esketamine 0.6mg/kg|Drug: Esketamine 0.8mg/kg","Edinburgh Postpartum Depression Scale (EPDS) score|short-form of McGill Pain Questionnaire (SF-MPQ)|Visual analog scale (VAS) for pain","Qinghai University|Qinghai Red Cross Hospital","Female","25 Years to 35 Years   (Adult)","Phase 4","500","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","JMYang|2019-ZJ-930","February 20, 2022","September 30, 2022","June 30, 2023","February 8, 2022",,"February 8, 2022",,,"https://ClinicalTrials.gov/show/NCT05229913"
3,"NCT05077644","Mobile Application in the Management of Mild to Moderate Postpartum Depression (PPD)",,"Unknown status","No Results Available","Post-partum Depression","Device: Stella (TM) Mobile Application","Change in level of depression as measured by Edinburgh Postpartum Depression (EPDS)|Proportion of women who reported App use for daily mood, sleep and activities of daily living","Curio Digital Therapeutics, Inc.","Female","18 Years to 50 Years   (Adult)","Not Applicable","65","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CU-T-002","October 1, 2021","December 31, 2021","December 31, 2021","October 14, 2021",,"October 14, 2021","HITLAB, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT05077644"
4,"NCT05299398","Prevention of Postpartum Depression: A Pilot Placebo-controlled Trial of Trazodone",,"Not yet recruiting","No Results Available","Postpartum Depression","Drug: Trazodone|Drug: Placebo","Occurrence of Major depressive episode|Time to occurrence of Major Depressive Episode (MDE)|Hamilton Depression Rating Scale|Edinburgh Postnatal Depression|Blood pressure|Pulse|Body weight|Side effects|Maternal Functioning|Development of mania symptoms|Pill count|Retention rate|Complete blood count (CBC)|Thyroid Stimulating Hormone test|Electrocardiogram QT Interval","Verinder Sharma|Lawson Health Research Institute","Female","18 Years to 45 Years   (Adult)","Phase 1","28","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","120394","September 1, 2022","July 31, 2023","March 31, 2024","March 29, 2022",,"August 11, 2022","Parkwood Institute Mental Health Care Building, London, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT05299398"
5,"NCT04273191","A Study to Evaluate Multimodal Neuroimaging Parameters in Women With Postpartum Depression Who Are Receiving ZULRESSO™ (Brexanolone)",,"Withdrawn","No Results Available","Postpartum Depression","Drug: Brexanolone","Change from Baseline to Post-Infusion on the 17-item Hamilton Rating Scale for Depression (HAM-D) Total Score|Change from Baseline to Post-Infusion in Functional Connectivity Using Blood Oxygenation Level-Dependent (BOLD) Resting State Functional Magnetic Resonance Imaging (rsfMRI)","Sage Therapeutics","Female","18 Years to 45 Years   (Adult)","Phase 4","0","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","547-EXM-401","February 2020","August 2021","August 2021","February 18, 2020",,"August 18, 2020",,,"https://ClinicalTrials.gov/show/NCT04273191"
6,"NCT02285504","Evaluate SAGE-547 in Female Participants With Severe Postpartum Depression",,"Completed","Has Results","Postpartum Depression","Drug: SAGE-547","Number of Participants With Treatment Emergent Adverse Events (TEAEs) and Treatment Emergent Serious Adverse Events (TESAEs)|Change From Baseline in Clinical Laboratory Measures: Alanine Aminotransferase (ALT), Aspartate Aminotransferase (AST), Gamma Glutamyl Transferase (GGT)|Change From Baseline in Clinical Laboratory Measures: Carbon Dioxide (CO2), Sodium, Potassium and Chloride|Change From Baseline in Clinical Laboratory Measures: Glucose, Total Bilirubin, Calcium, Blood Urea Nitrogen (BUN) and Creatinine|Change From Baseline in Clinical Laboratory Measures: Albumin, Total Protein and Hemoglobin|Change From Baseline in Clinical Laboratory Measure: Hematocrit|Change From Baseline in Clinical Laboratory Measures: Platelet Count, White Blood Cells (WBC), Absolute Lymphocytes, Absolute Neutrophils, Absolute Basophils, Absolute Eosinophils, Absolute Monocytes|Change From Baseline in Clinical Laboratory Measure: Red Blood Cells (RBC)|Change From Baseline in Clinical Laboratory Measure: Mean Corpuscular Volume (MCV)|Change From Baseline in Clinical Laboratory Measure: Mean Corpuscular Hemoglobin (MCH)|Change From Baseline in Clinical Laboratory Measure: Prothrombin Time/International Normalized Ratio (PT/INR)|Change From Baseline in Clinical Laboratory Measure: Potential of Hydrogen (pH)|Change From Baseline in Clinical Laboratory Measure: Specific Gravity|Change From Baseline in Vital Sign: Blood Pressure|Change From Baseline in Vital Sign: Heart Rate|Change From Baseline in Vital Sign: Body Temperature|Change From Baseline in Vital Sign: Respiratory Rate|Change From Baseline in Electrocardiogram (ECG) Parameters: QT Interval, PR Interval, QTc Interval, and QRS Duration|Change From Baseline in Electrocardiogram (ECG) Parameter: Heart Rate|Number of Participants With Physical Examination Findings|Number of Participants With Concomitant Medication Usage|Number of Participants With Suicidal Ideation and Behavior as Assessed by Columbia-Suicide Severity Rating Scale (C-SSRS)|Maximum Plasma Concentration (Cmax) of SAGE-547|Time to Maximum Plasma Concentration (Tmax) of SAGE-547|Area Under the Concentration-Time Curve From Start of the Infusion Until the Time of the Last Sample (AUCall) of SAGE-547|Area Under the Concentration-Time Curve From Time Zero to 60 Hours (AUC0-60) of SAGE-547|Area Under the Concentration-Time Curve in 24 Hours (AUC24) of SAGE-547|Average Drug Concentration in the Plasma at Steady State During a Dosing Interval (Cavg) of SAGE-547|Plasma Clearance (CL) of SAGE-547|Change From Baseline in Hamilton Rating Scale for Depression-17 (HAM-D-17) Total Score|Clinical Global Impression-Improvement (CGI-I) Score","Sage Therapeutics","Female","18 Years to 45 Years   (Adult)","Phase 2","4","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","547-PPD-201","January 7, 2015","June 5, 2015","June 5, 2015","November 7, 2014","December 2, 2021","January 27, 2022","Sage Investigational Site, Chapel Hill, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT02285504"
7,"NCT05826327","Effects of Epidural Labor Analgesia With Esketamine on the Incidence of Postpartum Depression in Parturients",,"Recruiting","No Results Available","Postpartum Depression","Drug: Esketamine|Drug: Sufentanil","Incidence of depression","Women's Hospital School Of Medicine Zhejiang University|Peking University First Hospital|Obstetrics & Gynecology Hospital of Fudan University|Beijing Obstetrics and Gynecology Hospital","Female","18 Years and older   (Adult, Older Adult)","Phase 4","364","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","IRB-20230021-R","May 1, 2023","June 30, 2025","December 31, 2025","April 24, 2023",,"May 30, 2023","Women's hospital, school of medicine, Zhejiang university, Hangzhou, Zhejiang, China",,"https://ClinicalTrials.gov/show/NCT05826327"
8,"NCT04355091","Emotional Freedom Techniques (EFT) and Postpartum Depression",,"Completed","No Results Available","Postpartum Depression","Behavioral: Emotional Freedom Techniques (EFT)","Change from baseline in Edinburgh Postpartum Depression Scale scores at 6 months|Stress Coping Styles Scale|State-Trait Anxiety Inventory","Istanbul University - Cerrahpasa (IUC)","Female","18 Years to 49 Years   (Adult)","Not Applicable","140","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","99984023-302.99-","July 1, 2019","September 1, 2019","April 30, 2020","April 21, 2020",,"August 10, 2020","Istanbul University Cerrahpaşa, Istanbul, Eyalet/Yerleşke, Turkey",,"https://ClinicalTrials.gov/show/NCT04355091"
9,"NCT04193462","Relationship-Based Intervention for Post-Partum Depression",,"Recruiting","No Results Available","Post Partum Depression","Other: Post-partum depression- Dyadic psychotherapy-|Other: Post-partum depression- Psycho-educational therapy","Behavioral Assessment of dialogue|Hormonal Assays- Oxytocin","Interdisciplinary Center Herzliya","Female","Child, Adult, Older Adult","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","InterdisciplinaryCH","May 8, 2019","September 2023","October 2023","December 10, 2019",,"May 4, 2022","Interdisciplinary Center, Herzliya, Israel",,"https://ClinicalTrials.gov/show/NCT04193462"
10,"NCT03417960","Accelerated iTBS for Post Partum Depression",,"Recruiting","No Results Available","Post Partum Depression","Device: iTBS","Determine feasibility and tolerability of accelerated iTBS for postpartum depression. The investigators hope to retain >80% of recruited patients (feasibility) and reach a full treatment dose of 120%rMT in >80% of enrolled women (tolerability).|Anti-depressant effect","Medical University of South Carolina","Female","18 Years to 50 Years   (Adult)","Not Applicable","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Pro00073886","January 24, 2018","May 31, 2024","July 31, 2024","January 31, 2018",,"December 6, 2023","Medical University of South Carolina, Charleston, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT03417960"
