"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02086838","Iron Supplementation Using Total Dose Infusion and Oral Routes for Treatment of Iron Deficiency Anemia in Pregnancy",,"Completed","No Results Available","Treatment of Iron Deficiency Anemia in Pregnancy","Drug: Theragran Hematinic|Drug: low molecular weight iron dextran","The proportion of patients who have been successfully treated|Number of participants with adverse effects","Ain Shams University","Female","20 Years to 35 Years   (Adult)","Phase 4","212","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","9020058","July 2013","December 2014","December 2014","March 13, 2014",,"March 19, 2015","Maternity Hospital, Faculty of Madicine, AinShams University, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT02086838"
2,"NCT03448432","Prevalence Study of the Etiology of Pregnancy Anemia","PREGAN","Unknown status","No Results Available","Pregnancy Anemia",,"Prevalence of the etiologies of anemias occured during pregnancy|Study of obstetrical complications in women with anemia|Study of the evolution of anemia during pregnancy and postpartum|Describe the etiological and therapeutic management of pregnancy anemias","University Hospital, Brest","Female","18 Years and older   (Adult, Older Adult)",,"700","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PREGAN (29BRC17.0155)","February 27, 2018","October 27, 2019","December 27, 2019","February 28, 2018",,"March 5, 2018","CHRU de Brest, Brest, France",,"https://ClinicalTrials.gov/show/NCT03448432"
3,"NCT03202615","Bovine Lactoferrin Versus Ferrous Sulphate In The Treatment Of Iron Deficiency Anemia During Pregnancy",,"Unknown status","No Results Available","Anemia During Pregnancy","Dietary Supplement: L (lactoferrin)|Drug: F (ferrous sulphate)","change in Hemoglobin concentration|Serum ferritin|mean cell volume (MCV)|mean corpuscular hemoglobin (MCH)|mean cell hemoglobin concentration (MCHC)|cost|percentage of women who agree to take each of the two drugs for a future whole pregnancy.|Side effects:","Abdelwahed, Mai Mahmoud Mohamed, M.D.","Female","20 Years to 30 Years   (Adult)","Phase 4","130","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","AbdelwahedM|AshoushS|IbrahimK|ElhawariG","September 2015","August 2018","October 2018","June 28, 2017",,"July 9, 2018","Mai Mahmoud Mohamed, Alexandria, Egypt",,"https://ClinicalTrials.gov/show/NCT03202615"
4,"NCT03657433","Intravenous Infusions of Ferumoxytol Compared to Oral Ferrous Sulfate for the Treatment of Anemia in Pregnancy",,"Completed","No Results Available","Iron Deficiency Anemia of Pregnancy","Dietary Supplement: Ferrous sulfate 325mg|Drug: Ferumoxytol","Change in hemoglobin|Change in other laboratory values|Blood loss at delivery|Hemoglobin change after delivery|Blood transfusion|Iron infusion|Concentration of substances in cord blood (iron studies)|Preterm delivery|Indication for delivery|Birth weight","University of Arizona|AMAG Pharmaceuticals, Inc.","Female","18 Years to 50 Years   (Adult)","Phase 3","124","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1807765944","December 17, 2018","August 27, 2021","April 1, 2022","September 5, 2018",,"September 7, 2022","University of Arizona, Tucson, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT03657433"
5,"NCT02839096","Once Versus Twice Daily Iron Supplementation in Pregnant Women",,"Unknown status","No Results Available","Anemia in Pregnancy","Drug: Placebo|Drug: Ferrous Sulfate","Hemoglobin|Incidence of gastrointestinal side effects (i.e. constipation, upset stomach) as measured by a validated questionaire|Incidence of blood transfusion at delivery","University of Missouri-Columbia","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2004638","June 2016","June 2019","December 2019","July 20, 2016",,"April 18, 2019","University of Missouri, Columbia, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT02839096"
6,"NCT04708665","Iron Deficiency Anemia and Non-iron Deficiency Anemia in Pregnancy in India","IDA & NIDA","Unknown status","No Results Available","Anemia|Anemia, Iron Deficiency|Anemia of Pregnancy",,"Birthweight|gestational age at birth|weight-for-gestational-age z-score|infant hemoglobin at 6 weeks","Boston University Charles River Campus|Lata Medical Research Foundation","Female","Child, Adult, Older Adult",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","55207436","November 23, 2020","January 31, 2022","January 31, 2022","January 14, 2021",,"January 14, 2021","Lata Medical Research Foundation, Nagpur, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT04708665"
7,"NCT03438227","Intravenous Iron for Iron-deficiency Anemia in Pregnancy: a Randomized Controlled Trial","IVIDA","Completed","No Results Available","Iron Deficiency Anemia of Pregnancy|Iron Malabsorption","Drug: Iron dextran|Drug: Ferrous sulfate 325mg","Maternal outcome: hemoglobin on admission to inpatient obstetrics unit for delivery of infant|Incidence of Medication Adverse events [Safety and Tolerability]|Maternal outcome: hemoglobin on postpartum day #1|Maternal outcome: incidence of blood transfusion|Maternal outcome: mode of delivery|Neonatal outcomes: gestational age at delivery|Neonatal outcomes: birth weight|Neonatal outcomes: umblical cord gases|Neonatal outcomes: APGAR scores|Neonatal outcomes: neonatal hemoglobin|Neonatal outcomes: neonatal morbidity composite","Indiana University","Female","Child, Adult, Older Adult","Phase 4","52","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","1809251633","April 15, 2018","December 31, 2019","December 31, 2019","February 19, 2018",,"August 18, 2020","Indiana University School of Medicine, Indianapolis, Indiana, United States|Center for Outpatient Health, Washington University in St. Louis, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT03438227"
8,"NCT01193192","A Retrospective Analysis of Neevo® and NeevoDHA® Compared to a Standard Prenatal Vitamin in Anemia During Pregnancy",,"Terminated","No Results Available","Anemia in Pregnancy|Pre-eclampsia","Other: Neevo®|Other: Prenatal vitamins","Mean Hemoglobin (Hgb) Levels|Mean Change in Hemoglobin (Hgb) Levels|Incidence of Anemia|Incidence of Pre-eclampsia|Mean Infant Birth Rate","Pamlab, L.L.C.|Baylor Health Care System|Norman Regional Health System|Five Oaks Medical Group|Pamlab, Inc.","Female","21 Years to 39 Years   (Adult)",,"30","Industry|Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","N-002","July 2010","November 2010","November 2010","September 1, 2010",,"November 23, 2011","Five Oaks Medical Group, Chickasha, Oklahoma, United States|Norman Regional Health System, Norman, Oklahoma, United States|Norman Regional Health System, Norman, Oklahoma, United States",,"https://ClinicalTrials.gov/show/NCT01193192"
9,"NCT01062958","A Retrospective Analysis of Neevo®/Neevo®DHA Compared to a Standard Prenatal Vitamin in Anemia During Pregnancy",,"Completed","No Results Available","Anemia in Pregnancy|Preeclampsia","Other: Neevo® (a medical food)|Other: Prenatal vitamins (≤1mg folic acid, 27 - 35mg iron, and ≤12mcg vitamin B12)","To determine the effect of Neevo®/Neevo®DHA (with higher folate and B12) versus standard prenatal vitamins on hemoglobin levels in pregnant women throughout the course of pregnancy.|To determine the effect of Neevo®/Neevo®DHA versus standard prenatal vitamins on red blood cell (RBC) levels in pregnant women.|To determine if Neevo®/Neevo®DHA administration during pregnancy results in fewer anemias than with standard prenatal vitamins.","Pamlab, Inc.|Baylor Health Care System|Women's Clinic Shoals|Gainesville Obstetrics & Gynecology|Womens Health Associates","Female","21 Years to 39 Years   (Adult)",,"100","Industry|Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","N-001","December 2009","February 2010","February 2010","February 4, 2010",,"April 16, 2013","Women's Clinic Shoals, Sheffield, Alabama, United States|Women's Health Associates, Flowood, Mississippi, United States|Gainesville Obstetrics & Gynecology, Gainesville, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01062958"
10,"NCT05804071","Analysis of the Effect of Iron Supplements on Iron Deficiency Anemia in Pregnancy",,"Recruiting","No Results Available","Iron Deficiency Anemia of Pregnancy|Iron Storage Disease","Drug: Niferex","Ferritin|Elevated hemoglobin value|Hemoglobin|ferritin|serum iron|transferrin saturation|total iron binding force|reticulocyte count|Correction rate of iron deficiency anemia during pregnancy|Adverse reaction rate|Correction rate of ferritin deficiency","Qianfoshan Hospital","Female","18 Years to 45 Years   (Adult)","Phase 4","452","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","YXL-KY-2023（006）","March 28, 2023","January 2024","January 2025","April 7, 2023",,"April 7, 2023","Shandong Provincial Qianfoshan Hospital, Jinan, Shandong, China",,"https://ClinicalTrials.gov/show/NCT05804071"
