nct_id,has_single_facility,number_of_facilities
NCT04975074,FALSE,NA
NCT01381094,FALSE,28
NCT04008147,TRUE,1
NCT03922087,TRUE,1
NCT04029142,TRUE,1
NCT04045002,FALSE,NA
NCT03836703,TRUE,1
NCT04391998,TRUE,1
NCT03317210,FALSE,NA
NCT01155388,TRUE,1
NCT06138262,TRUE,1
NCT05479799,TRUE,1
NCT00968617,FALSE,NA
NCT05251493,TRUE,1
NCT03814408,TRUE,1
NCT00595127,TRUE,1
NCT00312871,FALSE,NA
NCT03202615,TRUE,1
NCT01555255,FALSE,2
NCT01587924,FALSE,62
NCT00929409,FALSE,3
NCT01055431,TRUE,1
NCT03456258,TRUE,1
NCT03484845,FALSE,NA
NCT02840292,TRUE,1
NCT03217656,TRUE,1
NCT03378791,TRUE,1
NCT04517734,FALSE,2
NCT03351868,FALSE,3
NCT05515367,TRUE,1
NCT06115421,TRUE,1
NCT03402386,FALSE,17
NCT02341300,TRUE,1
NCT05262634,TRUE,1
NCT02228655,TRUE,1
NCT05657821,TRUE,1
NCT04661865,TRUE,1
NCT05358509,FALSE,4
NCT02268994,FALSE,36
NCT03157804,FALSE,2
NCT00338468,FALSE,NA
NCT02021409,FALSE,51
NCT03706638,TRUE,1
NCT00630253,TRUE,1
NCT01232387,TRUE,1
NCT00590460,FALSE,2
NCT00258427,TRUE,1
NCT05240677,TRUE,1
NCT02191527,FALSE,NA
NCT02931071,FALSE,2
NCT01832688,TRUE,1
NCT00782912,TRUE,1
NCT00243399,TRUE,1
NCT03214627,TRUE,1
NCT00182390,FALSE,10
NCT03171909,FALSE,13
NCT04470063,FALSE,12
NCT04278651,TRUE,1
NCT03174652,TRUE,1
NCT02839096,TRUE,1
NCT05462704,FALSE,4
NCT00005898,TRUE,1
NCT04248439,FALSE,2
NCT03961074,FALSE,7
NCT00132535,TRUE,1
NCT02611856,TRUE,1
NCT04655027,FALSE,8
NCT03476330,TRUE,1
NCT06261398,FALSE,3
NCT01587898,FALSE,55
NCT04486456,FALSE,NA
NCT03176147,TRUE,1
NCT03830034,TRUE,1
NCT04093986,TRUE,1
NCT05977686,FALSE,NA
NCT03206086,TRUE,1
NCT00271089,TRUE,1
NCT00463632,FALSE,2
NCT03605511,TRUE,1
NCT01155375,TRUE,1
NCT00924781,FALSE,NA
NCT03287882,TRUE,1
NCT02959125,FALSE,2
NCT01235936,FALSE,2
NCT02086838,TRUE,1
NCT01906489,FALSE,47
NCT04148859,TRUE,1
NCT01428154,FALSE,NA
NCT02772016,TRUE,1
NCT00399269,TRUE,1
NCT00395993,TRUE,1
NCT03279536,TRUE,1
NCT03579875,TRUE,1
NCT01084213,FALSE,4
NCT03873571,TRUE,1
NCT00896740,TRUE,1
NCT01695759,FALSE,10
NCT00352976,TRUE,1
NCT02535208,FALSE,2
NCT00964691,TRUE,1
NCT03122938,TRUE,1
NCT05745883,FALSE,11
NCT06061393,FALSE,NA
NCT03438227,FALSE,2
NCT02378662,FALSE,2
NCT03689218,FALSE,2
NCT00255424,FALSE,19
NCT04708665,TRUE,1
NCT05752955,TRUE,1
NCT01071239,TRUE,1
NCT04649411,FALSE,NA
NCT00752609,FALSE,10
NCT03562143,TRUE,1
NCT03522428,FALSE,NA
NCT05035641,FALSE,8
NCT04059913,FALSE,25
NCT00446576,FALSE,NA
NCT00586274,FALSE,2
NCT00802139,FALSE,3
NCT01062958,FALSE,3
NCT05970172,FALSE,8
NCT00005891,TRUE,1
NCT00081471,FALSE,98
NCT05921968,FALSE,NA
NCT05545527,TRUE,1
NCT01720147,TRUE,1
NCT04205266,TRUE,1
NCT02185911,FALSE,40
NCT04656171,TRUE,1
NCT01244763,FALSE,38
NCT01964196,FALSE,7
NCT02969655,FALSE,50
NCT03029247,FALSE,11
NCT04074707,TRUE,1
NCT03814395,TRUE,1
NCT05644964,FALSE,2
NCT01001598,TRUE,1
NCT02652819,FALSE,30
NCT00004464,TRUE,1
NCT05543499,TRUE,1
NCT03738995,FALSE,NA
NCT05082584,TRUE,1
NCT00922610,FALSE,5
NCT01393496,FALSE,32
NCT06366698,TRUE,1
NCT01750190,FALSE,145
NCT00005896,FALSE,NA
NCT00006127,TRUE,1
NCT05423249,FALSE,3
NCT03792464,TRUE,1
NCT05151679,FALSE,NA
NCT03400033,FALSE,91
NCT05590260,FALSE,8
NCT00442793,FALSE,14
NCT03580941,TRUE,1
NCT00869856,FALSE,19
NCT06045052,TRUE,1
NCT03700034,FALSE,6
NCT02813850,TRUE,1
NCT02260193,FALSE,16
NCT01974271,FALSE,76
NCT02005588,TRUE,1
NCT03670537,TRUE,1
NCT01083888,TRUE,1
NCT02865850,FALSE,118
NCT01422824,FALSE,6
NCT02079896,FALSE,10
NCT06220461,TRUE,1
NCT02779764,FALSE,25
NCT03418168,FALSE,27
NCT04810546,TRUE,1
NCT00494416,TRUE,1
NCT02191683,TRUE,1
NCT06201910,FALSE,2
NCT03350321,FALSE,61
NCT04925661,FALSE,8
NCT04621331,FALSE,4
NCT03564756,TRUE,1
NCT03196882,FALSE,2
NCT06125860,TRUE,1
NCT05143021,FALSE,3
NCT04885647,FALSE,17
NCT01599507,FALSE,13
NCT02075463,FALSE,19
NCT00642967,FALSE,69
NCT01264679,TRUE,1
NCT03251664,TRUE,1
NCT03475342,FALSE,41
NCT00548691,TRUE,1
NCT00001399,TRUE,1
NCT03619850,FALSE,21
NCT03992066,FALSE,10
NCT05804071,TRUE,1
NCT00746551,TRUE,1
NCT01358552,TRUE,1
NCT00548860,TRUE,1
NCT04231292,TRUE,1
NCT05598515,TRUE,1
NCT05576207,TRUE,1
NCT00436748,FALSE,67
NCT00994318,FALSE,19
NCT03799627,FALSE,41
NCT04667533,TRUE,1
NCT02648347,FALSE,439
NCT00813657,FALSE,NA
NCT00317876,FALSE,3
NCT00981045,TRUE,1
NCT00317239,TRUE,1
NCT00422513,FALSE,44
NCT05304442,TRUE,1
NCT04976179,FALSE,11
NCT03481790,TRUE,1
NCT03054350,FALSE,18
NCT01666249,FALSE,5
NCT05504863,FALSE,3
NCT00609544,FALSE,27
NCT01018576,TRUE,1
NCT01221844,TRUE,1
NCT00559273,FALSE,76
NCT02858505,TRUE,1
NCT00258024,TRUE,1
NCT01888445,FALSE,8
NCT00001749,TRUE,1
NCT03975894,FALSE,6
NCT00236964,FALSE,NA
NCT04694235,TRUE,1
NCT05687149,TRUE,1
NCT01977573,FALSE,123
NCT03409107,FALSE,168
NCT02174627,FALSE,360
NCT01019902,TRUE,1
NCT03029208,FALSE,111
NCT00121602,FALSE,NA
NCT00167206,TRUE,1
NCT01193192,FALSE,3
NCT00479115,TRUE,1
NCT04228627,FALSE,3
NCT04522375,FALSE,4
NCT00413101,TRUE,1
NCT00899522,TRUE,1
NCT04594070,TRUE,1
NCT02652806,FALSE,31
NCT02879305,FALSE,462
NCT03558464,TRUE,1
NCT02780726,FALSE,15
NCT02586402,TRUE,1
NCT01555515,FALSE,NA
NCT02957643,FALSE,NA
NCT05082571,TRUE,1
NCT03574506,TRUE,1
NCT00272857,TRUE,1
NCT01119612,TRUE,1
NCT00167388,TRUE,1
NCT04543812,FALSE,8
NCT03657433,TRUE,1
NCT05496400,TRUE,1
NCT02441439,FALSE,NA
NCT03552393,FALSE,22
NCT01977482,FALSE,107
NCT02190565,TRUE,1
NCT05739097,FALSE,2
NCT05312814,FALSE,8
NCT02876835,FALSE,578
NCT02038023,TRUE,1
NCT03408639,FALSE,8
NCT02817555,FALSE,NA
NCT02625844,FALSE,4
NCT05278793,TRUE,1
NCT02680574,FALSE,503
NCT01887600,FALSE,138
NCT05951192,TRUE,1
NCT01071759,TRUE,1
NCT03398824,TRUE,1
NCT01763242,TRUE,1
NCT05737862,TRUE,1
NCT01719146,FALSE,3
NCT02468414,TRUE,1
NCT05832840,TRUE,1
NCT06176105,TRUE,1
NCT02590224,TRUE,1
NCT03725150,TRUE,1
NCT00970866,FALSE,4
NCT04410198,FALSE,9
NCT03175042,TRUE,1
NCT05157828,TRUE,1
NCT06252103,TRUE,1
NCT02487719,TRUE,1
NCT02689206,FALSE,38
NCT04925011,TRUE,1
