nct_id,allocation,masking
NCT05585645,Randomized,Double
NCT01813682,Randomized,Triple
NCT06366698,Randomized,None (Open Label)
NCT04128943,NA,NA
NCT03456258,Randomized,None (Open Label)
NCT03830034,Randomized,Single
NCT02174627,Randomized,Quadruple
NCT01393496,Randomized,Single
NCT02021318,Randomized,None (Open Label)
NCT03071666,Randomized,Quadruple
NCT03552393,N/A,None (Open Label)
NCT02101086,Randomized,Double
NCT01977482,Randomized,Triple
NCT02019719,Randomized,Double
NCT05657821,Randomized,Double
NCT00446576,Randomized,None (Open Label)
NCT02887963,NA,NA
NCT02931071,N/A,None (Open Label)
NCT02064426,Randomized,None (Open Label)
NCT01975818,Randomized,None (Open Label)
NCT03054337,Randomized,Quadruple
NCT04661865,Randomized,Double
NCT03522428,Randomized,Single
NCT02969655,Randomized,Quadruple
NCT01155388,Randomized,None (Open Label)
NCT01428154,N/A,None (Open Label)
NCT05479799,NA,NA
NCT01906489,Randomized,Quadruple
NCT00586274,N/A,None (Open Label)
NCT04391998,Randomized,None (Open Label)
NCT01832688,NA,NA
NCT02813850,Randomized,None (Open Label)
NCT00167206,Non-Randomized,None (Open Label)
NCT00576602,Randomized,None (Open Label)
NCT00630253,Non-Randomized,None (Open Label)
NCT06045052,N/A,None (Open Label)
NCT06201910,NA,NA
NCT05644964,NA,NA
NCT03814395,NA,NA
NCT03700034,Randomized,None (Open Label)
NCT04885647,Randomized,None (Open Label)
NCT01244763,Randomized,None (Open Label)
NCT00968617,Randomized,None (Open Label)
NCT01519947,Non-Randomized,None (Open Label)
NCT01084213,Randomized,None (Open Label)
NCT05977686,NA,NA
NCT00548860,Randomized,None (Open Label)
NCT01750190,Randomized,Quadruple
NCT01331018,N/A,None (Open Label)
NCT00924781,Randomized,None (Open Label)
NCT04667533,N/A,None (Open Label)
NCT01264679,N/A,None (Open Label)
NCT00609544,Randomized,Triple
NCT04248439,N/A,None (Open Label)
NCT00642967,N/A,None (Open Label)
NCT04148859,N/A,None (Open Label)
NCT03580941,NA,NA
NCT03725150,NA,NA
NCT02075463,N/A,None (Open Label)
NCT01977573,Randomized,Single
NCT02858505,Randomized,None (Open Label)
NCT02839096,Randomized,Quadruple
NCT02772016,Randomized,None (Open Label)
NCT00994318,Randomized,None (Open Label)
NCT03398824,N/A,None (Open Label)
NCT00925587,Randomized,Double
NCT01001598,N/A,None (Open Label)
NCT03475342,Randomized,Quadruple
NCT03392298,Randomized,Single
NCT05157828,NA,NA
NCT04505514,Randomized,Single
NCT01543477,NA,NA
NCT05804071,Randomized,Single
NCT01555255,NA,NA
NCT01555515,N/A,None (Open Label)
NCT00965666,N/A,None (Open Label)
NCT00746551,Randomized,None (Open Label)
NCT02268994,Randomized,Quadruple
NCT05462704,Randomized,Triple
NCT04228627,Randomized,Single
NCT05082571,N/A,None (Open Label)
NCT03251664,NA,NA
NCT00802139,Randomized,None (Open Label)
NCT04008147,Randomized,None (Open Label)
NCT03476330,N/A,None (Open Label)
NCT03439137,Randomized,Quadruple
NCT03402386,N/A,None (Open Label)
NCT03329196,Randomized,None (Open Label)
NCT02535208,Randomized,Single
NCT03217656,NA,NA
NCT05082584,N/A,None (Open Label)
NCT02652819,Randomized,Quadruple
NCT05745883,Randomized,Quadruple
NCT02278341,Randomized,None (Open Label)
NCT03446612,Randomized,None (Open Label)
NCT02689206,Randomized,Double
NCT03206086,N/A,None (Open Label)
NCT02840292,NA,NA
NCT00970866,Randomized,Triple
NCT00548691,Randomized,None (Open Label)
NCT00479115,N/A,None (Open Label)
NCT05304442,Randomized,None (Open Label)
NCT01795131,Randomized,Triple
NCT03605511,NA,NA
NCT02779764,N/A,None (Open Label)
NCT03657433,Randomized,None (Open Label)
NCT02743572,Randomized,Triple
NCT01599507,Randomized,Quadruple
NCT03212781,Randomized,None (Open Label)
NCT03836703,Randomized,Single
NCT00981045,Randomized,None (Open Label)
NCT05543499,NA,NA
NCT05278793,Randomized,None (Open Label)
NCT01665378,Randomized,Quadruple
NCT01666249,N/A,None (Open Label)
NCT04231292,Randomized,Single
NCT02780726,Randomized,None (Open Label)
NCT01102413,Randomized,None (Open Label)
NCT01719146,NA,NA
NCT06234332,NA,NA
NCT04155125,Randomized,None (Open Label)
NCT04975074,Non-Randomized,None (Open Label)
NCT00660933,Randomized,Double
NCT00436748,Randomized,Triple
NCT05951192,N/A,None (Open Label)
NCT04069533,N/A,None (Open Label)
NCT02780141,Randomized,None (Open Label)
NCT01695759,Randomized,Single
NCT06312644,NA,NA
NCT00236977,Randomized,None (Open Label)
NCT02221752,Randomized,Quadruple
NCT06176105,NA,NA
NCT02652806,Randomized,None (Open Label)
NCT06079918,Randomized,Quadruple
NCT00317239,Randomized,None (Open Label)
NCT01763242,Randomized,None (Open Label)
NCT00687258,Randomized,None (Open Label)
NCT01422824,NA,NA
NCT00395993,Randomized,None (Open Label)
NCT01768351,Randomized,None (Open Label)
NCT05970172,N/A,None (Open Label)
NCT04976179,Randomized,None (Open Label)
NCT00462384,N/A,None (Open Label)
NCT00922610,Non-Randomized,None (Open Label)
NCT01062958,NA,NA
NCT00964691,Randomized,None (Open Label)
NCT00364845,Randomized,Single
NCT05356325,NA,NA
NCT03481790,Randomized,Double
NCT00337935,Randomized,None (Open Label)
NCT01888445,Randomized,Quadruple
NCT02038023,N/A,None (Open Label)
NCT02817555,Randomized,None (Open Label)
NCT02625844,NA,NA
NCT06016036,Randomized,Quadruple
NCT00595127,N/A,None (Open Label)
NCT03214627,N/A,None (Open Label)
NCT03992066,Randomized,None (Open Label)
NCT01071759,NA,NA
NCT06252103,Randomized,None (Open Label)
NCT02620943,NA,NA
NCT04101461,Randomized,None (Open Label)
NCT03975894,Randomized,None (Open Label)
NCT02611856,NA,NA
NCT03562143,Randomized,None (Open Label)
NCT03461146,N/A,None (Open Label)
NCT02959125,Randomized,None (Open Label)
NCT06061393,Randomized,None (Open Label)
NCT03140722,Randomized,None (Open Label)
NCT01221844,Non-Randomized,None (Open Label)
NCT05752955,Randomized,Double
NCT05687149,NA,NA
NCT00717366,Non-Randomized,None (Open Label)
NCT00422513,Randomized,None (Open Label)
NCT03968952,Randomized,None (Open Label)
NCT05545527,NA,NA
NCT05504863,NA,NA
NCT02590224,Randomized,Double
NCT05358509,Randomized,None (Open Label)
NCT03814408,N/A,None (Open Label)
NCT02586402,Randomized,None (Open Label)
NCT04310059,Randomized,None (Open Label)
NCT05312814,NA,NA
NCT03619850,Randomized,None (Open Label)
NCT05062044,NA,NA
NCT03409107,Randomized,Double
NCT02876835,Randomized,None (Open Label)
NCT01083888,Non-Randomized,None (Open Label)
NCT03961074,NA,NA
NCT00440557,Randomized,None (Open Label)
NCT03428594,Randomized,Quadruple
NCT00354341,Randomized,None (Open Label)
NCT05240677,Randomized,None (Open Label)
NCT05143021,NA,NA
NCT01193192,NA,NA
NCT01964196,Randomized,Quadruple
NCT04029142,NA,NA
NCT01115478,Randomized,Quadruple
NCT01119612,Randomized,Quadruple
NCT01974271,NA,NA
NCT01131624,Randomized,None (Open Label)
NCT01136850,Randomized,Single
NCT00352976,N/A,None (Open Label)
NCT00318812,Randomized,Single
NCT06261398,Randomized,None (Open Label)
NCT01183572,Randomized,Quadruple
NCT00701714,Randomized,Double
NCT02865850,Randomized,None (Open Label)
NCT04410198,N/A,None (Open Label)
NCT04594070,Randomized,None (Open Label)
NCT03689218,Randomized,None (Open Label)
NCT01379963,NA,NA
NCT06220461,Randomized,None (Open Label)
NCT05975125,Randomized,None (Open Label)
NCT02005588,Randomized,None (Open Label)
NCT03157804,N/A,None (Open Label)
NCT03565198,NA,NA
NCT05725278,Non-Randomized,None (Open Label)
NCT03558464,Randomized,Single
NCT00813657,Randomized,NA
NCT02940860,Randomized,None (Open Label)
NCT04810546,Randomized,Single
NCT02021409,Randomized,None (Open Label)
NCT03922087,NA,NA
NCT00005898,NA,NA
NCT00005896,NA,NA
NCT00006127,NA,NA
NCT00001399,Non-Randomized,None (Open Label)
NCT03361124,Randomized,Double
NCT05262634,NA,NA
NCT00005891,NA,NA
NCT00001749,NA,NA
NCT01381094,Randomized,Quadruple
NCT01235936,N/A,None (Open Label)
NCT03799627,Randomized,None (Open Label)
NCT00118027,Non-Randomized,None (Open Label)
NCT04649411,Randomized,None (Open Label)
NCT01903148,NA,NA
NCT00046969,Randomized,None (Open Label)
NCT01902628,NA,NA
NCT02185911,NA,NA
NCT00896740,NA,NA
NCT04522375,N/A,None (Open Label)
NCT00559273,Randomized,None (Open Label)
NCT04621331,N/A,None (Open Label)
NCT03317210,Non-Randomized,None (Open Label)
NCT05739097,NA,NA
NCT02191527,Randomized,None (Open Label)
NCT02191683,NA,NA
NCT04205266,Randomized,None (Open Label)
