nct_id,id_source,id_value,id_type,id_type_description,id_link
NCT02858505,org_study_id,IDAT,NA,NA,NA
NCT04975074,org_study_id,IDA in TP,NA,NA,NA
NCT02839096,org_study_id,2004638,NA,NA,NA
NCT03643601,org_study_id,1517-MA-3139-SN,NA,NA,NA
NCT06061393,org_study_id,0120-23-NHR,NA,NA,NA
NCT03619850,org_study_id,AMAG-FER-CKD-354,NA,NA,NA
NCT00236977,org_study_id,1VEN03027,NA,NA,NA
NCT02772016,org_study_id,TH-1,NA,NA,NA
NCT05062044,org_study_id,21967,NA,NA,NA
NCT01964196,org_study_id,1517-CL-0303,NA,NA,NA
NCT03409107,org_study_id,205270,NA,NA,NA
NCT03409107,secondary_id,2017-002270-39,EudraCT Number,NA,NA
NCT00317239,org_study_id,1VIT04004,NA,NA,NA
NCT02876835,org_study_id,200808,NA,NA,NA
NCT02876835,secondary_id,2016-000542-65,EudraCT Number,NA,NA
NCT01974271,org_study_id,ML28980,NA,NA,NA
NCT04509375,org_study_id,KA-19030,NA,NA,NA
NCT01422824,org_study_id,ML25067,NA,NA,NA
NCT00395993,org_study_id,1VIT04002/003,NA,NA,NA
NCT03398824,org_study_id,IRB-P00026540,NA,NA,NA
NCT00925587,org_study_id,20060163,NA,NA,NA
NCT00925587,secondary_id,2006-003173-27,EudraCT Number,NA,NA
NCT01083888,org_study_id,1517-CL-0203,NA,NA,NA
NCT01001598,org_study_id,09-03-0131,NA,NA,NA
NCT03792464,org_study_id,2017-02322,NA,NA,NA
NCT00630253,org_study_id,MT2000-09,NA,NA,NA
NCT00630253,secondary_id,0001M34441,Other Identifier,"IRB, University of Minnesota",NA
NCT03725150,org_study_id,2018OBS100,NA,NA,NA
NCT03961074,org_study_id,IDA_2019,NA,NA,NA
NCT02005588,org_study_id,ferrot2013,NA,NA,NA
NCT02005588,secondary_id,nerhado pharmaceutical company,Registry Identifier,nerhado pharmaceutical company,NA
NCT03475342,org_study_id,WOMAN_2,NA,NA,NA
NCT03475342,secondary_id,03475342,Other Identifier,ISRCTN,NA
NCT02021409,org_study_id,15261,NA,NA,NA
NCT02021409,secondary_id,2013-001192-21,EudraCT Number,NA,NA
NCT05312814,org_study_id,21-051-NPT,NA,NA,NA
NCT02038023,org_study_id,Intravaneous Iron in Pregnancy,NA,NA,NA
NCT02038023,secondary_id,Infed,Other Grant/Funding Number,pharmacosmos,NA
NCT02625844,org_study_id,ML25720,NA,NA,NA
NCT03214627,org_study_id,VEN-DEV-401,NA,NA,NA
NCT00005898,org_study_id,199/15109,NA,NA,NA
NCT00005898,secondary_id,UMN-MT-1999-05,NA,NA,NA
NCT00005898,secondary_id,UMN-MT9905,NA,NA,NA
