nct_id,intervention_type
NCT00132535,Drug
NCT00132535,Drug
NCT00081471,Drug
NCT00081471,Drug
NCT01381094,Drug
NCT01381094,Drug
NCT01235936,Drug
NCT04231292,Drug
NCT04231292,Drug
NCT04231292,Drug
NCT02780726,Drug
NCT03799627,Drug
NCT03799627,Drug
NCT03799627,Drug
NCT00413101,Drug
NCT00352976,Drug
NCT00352976,Drug
NCT00352976,Procedure
NCT00352976,Procedure
NCT00352976,Drug
NCT00352976,Drug
NCT00318812,Drug
NCT00318812,Drug
NCT02468414,Biological
NCT02468414,Biological
NCT00255424,Drug
NCT00272857,Genetic
NCT00399269,Drug
NCT00121602,Drug
NCT00312871,Drug
NCT00701714,Drug
NCT00701714,Drug
NCT02762773,Procedure
NCT02762773,Procedure
NCT04594070,Drug
NCT04470063,Drug
NCT04470063,Drug
NCT04437771,Other
NCT03558464,Dietary Supplement
NCT03558464,Other
NCT04649411,Drug
NCT04649411,Drug
NCT05921968,Drug
NCT05921968,Drug
NCT00432367,Drug
NCT00111995,Drug
NCT00116493,Dietary Supplement
NCT00116493,Drug
NCT00116493,Dietary Supplement
NCT00116493,Drug
NCT00660933,Drug
NCT00660933,Drug
NCT00494416,Other
NCT00436748,Drug
NCT00436748,Drug
NCT02952092,Drug
NCT02952092,Drug
NCT00140517,Drug
NCT00140517,Drug
NCT04522375,Drug
NCT00559273,Drug
NCT00559273,Drug
NCT04621331,Drug
NCT03438227,Drug
NCT03438227,Drug
NCT05739097,Diagnostic Test
NCT05515367,Drug
NCT05576207,Dietary Supplement
NCT05576207,Dietary Supplement
NCT05951192,Drug
NCT00148629,Drug
NCT04205266,Drug
NCT04205266,Drug
NCT03378791,Drug
NCT03378791,Drug
NCT03374111,Drug
NCT03374111,Drug
NCT01358552,Other
NCT02678533,Drug
NCT02678533,Drug
NCT02829320,Drug
NCT02829320,Drug
NCT00182390,Procedure
NCT04278651,Drug
NCT04278651,Drug
NCT06115421,Drug
NCT01146574,Biological
NCT01146574,Biological
NCT03350347,Drug
NCT03350347,Drug
NCT04059913,Drug
NCT03775954,Diagnostic Test
NCT03579875,Drug
NCT03579875,Drug
NCT03579875,Drug
NCT03579875,Drug
NCT03579875,Device
NCT03579875,Drug
NCT03579875,Drug
NCT03579875,Drug
NCT03579875,Drug
NCT02780141,Drug
NCT00210743,Drug
NCT00243399,Drug
NCT00563446,Drug
NCT04707768,Drug
NCT04707768,Drug
NCT00236964,Drug
NCT00236964,Drug
NCT00258024,Drug
NCT01940484,Drug
NCT02652806,Drug
NCT02652806,Drug
NCT01887600,Drug
NCT01887600,Drug
NCT00687258,Device
NCT01587924,Drug
NCT01587924,Drug
NCT00255437,Drug
NCT01121237,Drug
NCT06125860,Dietary Supplement
NCT06125860,Dietary Supplement
NCT06125860,Dietary Supplement
NCT00271089,Procedure
NCT00271089,Procedure
NCT00271089,Device
