nct_id,affiliation
NCT00869856,Hexal AG
NCT00495365,"Ortho Biotech Products, L.P."
NCT04694235,SEAMEO RECFON
NCT01428154,Amgen
NCT04656171,Assistance Publique - Hôpitaux de Paris
NCT03029247,GlaxoSmithKline
NCT01906489,Akebia Therapeutics Inc.
NCT02813850,Assistance Publique - Hôpitaux de Paris
NCT02813850,Assistance Publique - Hôpitaux de Paris
NCT02813850,Assistance Publique - Hôpitaux de Paris
NCT04128943,"Division of Hematology, University Hospital Basel"
NCT04391998,Cairo University
NCT03456258,Ainshams university maternity hospital
NCT04076969,Cairo University
NCT01019902,Cornell University
NCT01019902,University of Rochester
NCT00167206,"Masonic Cancer Center, University of Minnesota"
NCT00446576,Janssen-Cilag B.V.
NCT02931071,Hospital Vall d'Hebron
NCT02064426,Bayer
NCT01975818,Bayer
NCT05644964,Manisa Celal Bayar University
NCT05644964,Manisa Celal Bayar University
NCT01018576,UC Davis
NCT00899522,OHSU Knight Cancer Institute
NCT05585645,Nguyen Tri Phuong Hospital
NCT00586274,Baylor College of Medicine
NCT01519947,Hoffmann-La Roche
NCT03814395,Peking University
NCT03700034,"Vice President, Research and Policy"
NCT00576602,Hoffmann-La Roche
NCT01750190,FibroGen
NCT01084213,London School of Hygiene and Tropical Medicine
NCT01084213,London School of Hygiene and Tropical Medicine
NCT01084213,London School of Hygiene and Tropical Medicine
NCT01084213,"Liverpool School of Tropical Medicine, UK"
NCT01084213,"Kwame Nkrumah University of Science & Technology, School of Medical Sciences, Ghana"
NCT06045052,Hospital Infantil Universitario Niño Jesús (HIUNJ)
NCT01974271,Hoffmann-La Roche
NCT00965666,"Children's Hospital Medical Center, Cincinnati"
NCT00802139,Asan hospital OB/Gyn unit
NCT04148859,"Ultrasound Unit in Obstetrics and Gynecology, Lis Maternity Hospital"
NCT03580941,Gestion Salud
NCT02535208,NYU MEDICAL CENTER
NCT03689218,Aga Khan University
NCT03446612,GlaxoSmithKline
NCT00968617,Merck Sharp & Dohme LLC
NCT03071666,University of Bergen
NCT03071666,Tribhuvan University
NCT03071666,Kathmandu University
NCT02101086,Ankara University
NCT03054337,Sponsor GmbH
NCT00994318,King's College Hospital NHS Trust
NCT01331018,Fred Hutch/University of Washington Cancer Consortium
NCT00924781,Merck Sharp & Dohme LLC
NCT04667533,Cadila Healthcare Ltd.
NCT03522428,"Clinical Hospital Center, Split"
NCT02969655,GlaxoSmithKline
NCT06079918,Columbia University
NCT06079918,Ifakara Health Institute
NCT06079918,Africa Academy for Public Health
NCT06079918,Muhimbili University of Health and Allied Sciences
NCT06079918,The Goerge Washington University
NCT06079918,Harvard University
