nct_id,affiliation,organization
NCT01084213,NA,NA
NCT02887963,West China Hospital,NA
NCT02931071,NA,NA
NCT02064426,NA,NA
NCT01975818,NA,NA
NCT04694235,SEAMEO Regional Centre for Food and Nutrition,NA
NCT06366698,NA,NA
NCT02075463,NA,NA
NCT04661865,Jouf University,NA
NCT01977573,NA,NA
NCT01587898,NA,NA
NCT03071666,NA,NA
NCT02101086,Ankara University,NA
NCT02174627,NA,NA
NCT01155388,NA,NA
NCT03054337,NA,NA
NCT02021318,NA,NA
NCT01977482,NA,NA
NCT02019719,NA,NA
NCT03522428,"University of Split, School of Medicine",NA
NCT02969655,NA,NA
NCT02968368,NA,NA
NCT00004464,NA,NA
NCT00586274,Baylor College of Medicine,NA
NCT01906489,NA,NA
NCT03830034,Ain Shams University,NA
NCT04391998,Cairo University,NA
NCT00167206,NA,NA
NCT00576602,NA,NA
NCT01393496,University Hospital Tuebingen,NA
NCT06201910,Goethe University,NA
NCT04248439,NA,NA
NCT05644964,Celal Bayar University,NA
NCT03552393,NA,NA
NCT01519947,NA,NA
NCT00965666,NA,NA
NCT00548860,NA,NA
NCT01750190,NA,NA
NCT06045052,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain",NA
NCT01428154,NA,NA
NCT04148859,NA,NA
NCT03580941,NA,NA
NCT02813850,NA,NA
NCT00802139,NA,NA
NCT00994318,NA,NA
NCT02535208,NA,NA
NCT05304442,Baylor College of Medicine,NA
NCT03446612,NA,NA
NCT03605511,NA,NA
NCT03392298,"The First Affiliated Hospital, Guangzhou University of Traditional Chinese Medicine",NA
NCT04885647,NA,NA
NCT01543477,NA,NA
NCT01244763,NA,NA
NCT01555255,"Foundation for Innovative New Diagnostics, Switzerland",NA
NCT01555515,NA,NA
NCT00968617,NA,NA
NCT04505514,University of Malaya,NA
NCT01599507,NA,NA
NCT05977686,George Washington University,NA
NCT01665378,Emory University,NA
NCT01666249,NA,NA
NCT01719146,University of Louisville,NA
NCT06234332,Peking University,NA
NCT01331018,NA,NA
NCT05278793,Martini Hospital Groningen,NA
NCT00924781,NA,NA
NCT04667533,NA,NA
NCT01264679,NA,NA
NCT04069533,NA,NA
NCT02221752,Peking University First Hospital,NA
NCT04155125,NA,NA
NCT01695759,NA,NA
NCT02268994,NA,NA
NCT04976179,"University of Lagos, Nigeria",NA
NCT06176105,NA,NA
NCT03481790,Ain Shams Maternity Hospital,NA
NCT01763242,"Western Health, Australia",NA
NCT01768351,Federico II University,NA
NCT00609544,NA,Regeneron Pharmaceuticals
NCT06312644,NA,NA
NCT02817555,"Eastern Health, Canada",NA
NCT06016036,NA,NA
NCT03251664,Tehran University of Medical Sciences,NA
NCT01813682,"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",NA
NCT00642967,NA,NA
NCT04008147,Swiss Federal Institute of Technology,NA
NCT06079918,George Washington University,NA
NCT03476330,NA,NA
NCT01832688,NA,NA
NCT05970172,NA,NA
NCT03217656,Zhejiang University,NA
NCT05082584,NA,NA
NCT02858505,Assiut University,NA
NCT03562143,NA,NA
NCT01888445,NA,NA
NCT02839096,University of Missouri-Columbia,NA
NCT00462384,NA,NA
NCT01062958,NA,NA
NCT00964691,NA,Ministry of Health and Medical Services
NCT00364845,NA,NA
NCT06061393,Western Galilee Hospital-Nahariya,NA
NCT05356325,NA,NA
NCT00337935,NA,NA
NCT02772016,"The First Affiliated Hospital, Guangzhou University of Traditional Chinese Medicine",NA
NCT03619850,NA,NA
NCT02689206,NA,NA
NCT01964196,NA,NA
NCT03398824,Boston Children's Hospital,NA
NCT05545527,NA,NA
NCT05504863,NA,NA
NCT05358509,NA,NA
NCT00925587,NA,NA
NCT01974271,NA,NA
NCT04310059,NA,NA
NCT03992066,NA,NA
NCT01001598,Boston Children's Hospital,NA
NCT03206086,NA,NA
NCT03475342,NA,NA
NCT02005588,Cairo University,NA
NCT06252103,NA,NA
NCT04101461,Assiut University,NA
NCT03975894,NA,NA
NCT00970866,NA,NA
NCT03428594,NA,NA
NCT02021409,NA,NA
NCT00548691,NA,NA
NCT00479115,NA,NA
NCT05157828,University of Cape Town,NA
NCT05143021,Vanderbilt University Medical Center,NA
NCT03461146,NA,NA
NCT01795131,NA,NA
NCT00118027,London School of Hygiene and Tropical Medicine,NA
NCT01221844,NA,"Clinica Fabia Mater, Rome (Italy)"
NCT06261398,Ohio State University,NA
NCT05804071,NA,NA
NCT05687149,NA,NA
NCT06220461,NA,NA
NCT03657433,University of Arizona,NA
NCT00746551,Mahidol University,NA
NCT00422513,NA,NA
NCT03212781,Assiut University,NA
NCT05462704,Women and Infants Hospital of Rhode Island,NA
NCT04228627,"Services Institute of Medical Sciences, Pakistan",NA
NCT03968952,NA,NA
NCT03836703,Ain Shams University,NA
NCT00981045,NA,NA
NCT00132535,London School of Hygiene and Tropical Medicine,NA
NCT00081471,NA,NA
NCT05543499,University of Miami,NA
NCT01102413,NA,NA
NCT05725278,NA,NA
NCT00413101,NA,Hoffmann-La Roche
NCT03814408,NA,NA
NCT04975074,Shengjing Hospital,NA
NCT00272857,Boston Children's Hospital,NA
NCT00121602,NA,Amgen Inc.
NCT03439137,NA,NA
NCT03402386,NA,NA
NCT03329196,NA,NA
NCT00236977,NA,Luitpold Pharmaceuticals
NCT04059913,NA,NA
NCT05062044,NA,NA
NCT05921968,Ain Shams University,NA
NCT00317239,NA,NA
NCT02652819,NA,NA
NCT03409107,NA,NA
NCT02876835,NA,NA
NCT01083888,NA,NA
NCT01422824,NA,NA
NCT00395993,NA,NA
NCT03961074,West China Hospital,NA
NCT00432367,NA,NA
NCT03361124,Milton S. Hershey Medical Center,NA
NCT00111995,NA,Amgen Inc.
NCT00116493,Johns Hopkins Bloomberg School of Public Health,NA
NCT05745883,NA,NA
NCT00630253,NA,NA
NCT00494416,London School of Hygiene and Tropical Medicine,NA
NCT03725150,NA,NA
NCT02952092,NA,NA
NCT00140517,London School of Hygiene and Tropical Medicine,NA
NCT04517734,NA,NA
NCT02038023,NA,NA
NCT02625844,NA,NA
NCT03214627,NA,NA
NCT05515367,NA,NA
NCT00354341,NA,NA
NCT02959125,Semarang Health Polytechnic,NA
NCT03140722,NA,NA
NCT02185911,NA,NA
NCT02840292,Lady Hardinge Medical College,NA
NCT05240677,Zagazig University,NA
NCT00352976,NA,NA
NCT00318812,NA,NA
NCT03317210,NA,NA
NCT01193192,NA,NA
NCT02191527,NA,NA
NCT02191683,University of Copenhagen,NA
NCT02779764,NA,NA
NCT04029142,NA,NA
NCT06115421,NA,NA
NCT05910853,NA,NA
NCT05251493,Saskatchewan Health Authority - Regina Area,NA
NCT00701714,NA,NA
NCT02743572,"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",NA
NCT03775954,Medical College of Wisconsin,NA
NCT03579875,NA,NA
NCT04594070,NA,NA
NCT02228655,NA,NA
NCT01379963,NA,NA
NCT01146574,NA,NA
NCT01115478,Harvard School of Public Health (HSPH),NA
NCT01119612,Harvard School of Public Health (HSPH),NA
NCT00243399,NA,Cincinnati Children's Hospital Medical Center
NCT05496400,Alexandria University,NA
NCT01131624,NA,NA
NCT03287882,Aga Khan University,NA
NCT01136850,University of Melbourne,NA
NCT03558464,GroundWork,NA
NCT04231292,NA,NA
NCT02780726,NA,NA
NCT05691257,China-Japan Friendship Hospital,NA
NCT02441439,"HaEmek Medical Center, Israel",NA
NCT04708665,Boston University Charles River Campus,NA
NCT00660933,NA,Hospital Clínic of Barcelona
NCT04414527,NA,NA
NCT01183572,Harvard School of Public Health (HSPH),NA
NCT00436748,NA,NA
NCT05423249,Stony Brook University,NA
NCT01903148,NA,NA
NCT03484845,Assiut University,NA
NCT02680574,NA,NA
NCT04486456,Peking University First Hospital,NA
NCT02865850,NA,NA
NCT04253626,Stanford University,NA
NCT05951192,NA,NA
NCT04410198,NA,NA
NCT00559273,NA,NA
NCT04621331,NA,NA
NCT06138262,Indonesia University,NA
NCT05739097,NA,NA
NCT05832840,NA,NA
NCT03689218,Aga Khan University,NA
NCT05975125,NA,NA
NCT05590260,NA,NA
NCT00317876,NA,Fred Hutchinson Cancer Research Center
NCT02780141,NA,NA
NCT05576207,NA,NA
NCT02957643,Hippocration General Hospital,NA
NCT03157804,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain",NA
NCT03643601,NA,NA
NCT02652806,NA,NA
NCT03279536,"Woman's Health University Hospital, Egypt",NA
NCT00442793,NA,NA
NCT00687258,A. Manzoni Hospital,NA
NCT03565198,CAMC Health System,NA
NCT01245777,NA,NA
NCT04509375,Hacettepe University,NA
NCT00922610,NA,NA
NCT02940860,NA,NA
NCT03792464,NA,NA
NCT04810546,University of Illinois at Chicago,NA
NCT02829320,NA,NA
NCT00595127,NA,NA
NCT03922087,Sun Yat-sen University,NA
NCT02620943,NA,NA
NCT02611856,NA,NA
NCT05312814,NA,NA
NCT05262634,NA,NA
NCT01381094,NA,NA
NCT01235936,NA,NA
NCT05752955,NA,NA
NCT03799627,NA,NA
NCT00717366,NA,NA
NCT03242967,NA,NA
NCT02590224,Assiut University,NA
NCT02586402,NA,NA
NCT04649411,NA,NA
NCT04707768,NA,NA
NCT01940484,NA,NA
NCT02378662,NA,NA
NCT00440557,NA,NA
NCT04959578,Sir Ganga Ram Hospital,NA
NCT04522375,NA,NA
NCT04205266,Thomas Jefferson University,NA
NCT01887600,NA,NA
NCT01358552,NA,NA
NCT00813657,NA,"Facultad de Ciencias de la Actividad Física y del Deporte - INEF, Universidad Politécnica de Madrid, Madrid, Spain"
NCT00896740,OHSU Knight Cancer Institute,NA
NCT01587924,NA,NA
NCT00953134,The Hospital for Sick Children,NA
NCT03188445,NA,NA
NCT00929409,NA,NA
NCT02127905,Children's Hospital Los Angeles,NA
NCT02136563,NA,NA
NCT01055431,NA,Manchester Metropolitan University
NCT04128943,NA,NA
NCT04045002,Universiti Kebangsaan Malaysia Medical Centre,NA
NCT06125860,Harvard School of Public Health (HSPH),NA
NCT00752609,NA,NA
NCT01121237,NA,NA
NCT03564756,Fetal Medicine Foundation,NA
NCT03408639,NA,NA
NCT03171909,NA,NA
NCT00782912,NA,NA
NCT03448432,NA,NA
NCT00869856,NA,NA
NCT01232387,NA,NA
NCT03706638,UConn Health,NA
NCT00167388,University of Pittsburgh,NA
NCT00317226,NA,NA
NCT01155375,NA,NA
NCT03418168,NA,NA
NCT02128074,NA,NA
NCT02190565,NA,NA
NCT04484857,NA,NA
NCT04656171,NA,NA
NCT05737862,NA,NA
NCT04093986,NA,NA
NCT00258427,NA,NA
NCT03670537,Auerbach Hematology Oncology Associates P C,NA
NCT03122938,NA,NA
NCT03738995,NA,NA
NCT03351868,Shenzhen Geno-Immune Medical Institute,NA
NCT03351166,NA,NA
NCT01191983,NA,NA
NCT04076969,Cairo University,NA
NCT01019902,NA,NA
NCT03818867,NA,NA
NCT00590460,Baylor College of Medicine,NA
NCT03054350,NA,NA
NCT03759353,Ain Shams University,NA
NCT05598515,NA,NA
NCT02366325,NA,NA
NCT03456258,Ain Shams University,NA
NCT04074707,Swiss Federal Institute of Technology,NA
