nct_id,agency_class,lead_or_collaborator,name
NCT03071666,OTHER,lead,Centre For International Health
NCT03071666,OTHER,collaborator,"Tribhuvan University Teaching Hospital, Institute Of Medicine."
NCT03071666,OTHER,collaborator,NORCE Norwegian Research Centre AS
NCT03071666,OTHER,collaborator,Sykehuset Innlandet HF
NCT02101086,OTHER,lead,Ankara University
NCT01084213,OTHER,lead,London School of Hygiene and Tropical Medicine
NCT01084213,UNKNOWN,collaborator,"Medical Research and Training Centre, Mali"
NCT01084213,OTHER,collaborator,"University of Ouagadougou, Burkina Faso"
NCT01084213,OTHER,collaborator,"Medical Research Council Unit, The Gambia"
NCT01084213,OTHER,collaborator,"Navrongo Health Research Centre, Ghana"
NCT01084213,OTHER,collaborator,Liverpool School of Tropical Medicine
NCT03830034,OTHER,lead,Ain Shams University
NCT04128943,OTHER,lead,"University Hospital, Basel, Switzerland"
NCT04128943,UNKNOWN,collaborator,ProPatient foundation of the University Hospital Basel
NCT04128943,INDUSTRY,collaborator,Novartis
NCT01393496,OTHER,lead,University Hospital Tuebingen
NCT01393496,OTHER,collaborator,German Research Foundation
NCT03552393,INDUSTRY,lead,Hoffmann-La Roche
NCT03456258,OTHER,lead,Ain Shams University
NCT01428154,INDUSTRY,lead,Amgen
NCT02813850,OTHER,lead,Assistance Publique - Hôpitaux de Paris
NCT03054337,INDUSTRY,lead,Akebia Therapeutics
NCT01906489,INDUSTRY,lead,Akebia Therapeutics
NCT04517734,OTHER,lead,Cornell University
NCT04517734,OTHER,collaborator,"University of California, Los Angeles"
NCT04391998,OTHER,lead,Cairo University
NCT03522428,OTHER,lead,Mirela Zec
NCT02969655,INDUSTRY,lead,GlaxoSmithKline
NCT05657821,OTHER,lead,Dr. Rosdiana Syakur
NCT05657821,OTHER,collaborator,Hasanuddin University
NCT00446576,INDUSTRY,lead,Janssen-Cilag B.V.
NCT00167206,OTHER,lead,"Masonic Cancer Center, University of Minnesota"
NCT02887963,OTHER,lead,West China Hospital
NCT02887963,OTHER,collaborator,West China Second University Hospital
NCT02887963,OTHER,collaborator,Sichuan Provincial Hospital for Women and Children
NCT02887963,OTHER,collaborator,Panzhihua Central Hospital
NCT02887963,OTHER,collaborator,Chongqing Medical Center for Women and Children
NCT02887963,UNKNOWN,collaborator,Obstetrics and Gynecology Hospital of Zhejiang University
NCT02887963,UNKNOWN,collaborator,Xiamen Medical Center for Women and Children
NCT02887963,OTHER,collaborator,Wenzhou People's Hospital
NCT02887963,OTHER,collaborator,Suzhou Municipal Hospital
NCT02887963,OTHER,collaborator,"Wuhan Union Hospital, China"
NCT02887963,OTHER,collaborator,Maternal and Child Health Hospital of Hubei Province
NCT02887963,OTHER,collaborator,The First Affiliated Hospital of Zhengzhou University
NCT02887963,OTHER,collaborator,First Affiliated Hospital of Guangxi Medical University
NCT02887963,OTHER,collaborator,Shanxi Provincial Maternity and Children's Hospital
NCT02887963,UNKNOWN,collaborator,The Second Affiliated Hospital of Shanxi University of Traditional Chinese Medicine
NCT02887963,OTHER,collaborator,Yan'an University Affiliated Hospital
NCT02887963,UNKNOWN,collaborator,Xinjiang Provincial Hospital for Women and Children
NCT02887963,OTHER,collaborator,Shengjing Hospital
NCT02887963,OTHER,collaborator,Dalian Maternity and Child Care Hospital
NCT02887963,UNKNOWN,collaborator,Changchun Obstetrics and Gynecology Hospital
NCT02887963,OTHER,collaborator,The Fourth Affiliated Hospital of Harbin Medical University
NCT02887963,OTHER,collaborator,Beijing Obstetrics and Gynecology Hospital
NCT02887963,OTHER,collaborator,Tianjin Central Hospital of Gynecology Obstetrics
NCT02887963,OTHER,collaborator,Fourth Hospital of Shijiazhuang City
NCT02887963,OTHER,collaborator,Beijing Friendship Hospital
NCT02931071,OTHER,lead,Hospital Universitari Vall d'Hebron Research Institute
NCT02931071,UNKNOWN,collaborator,CIEMAT
NCT02931071,UNKNOWN,collaborator,CIBERER
NCT02064426,INDUSTRY,lead,Bayer
NCT01975818,INDUSTRY,lead,Bayer
NCT01543477,INDUSTRY,lead,Pfizer
NCT01543477,INDUSTRY,collaborator,"Hospira, now a wholly owned subsidiary of Pfizer"
NCT01555255,OTHER,lead,"Foundation for Innovative New Diagnostics, Switzerland"
NCT01555255,OTHER,collaborator,UNICEF
NCT01555255,UNKNOWN,collaborator,United Nations Development Programme
NCT01555255,OTHER,collaborator,World Bank
NCT01555255,OTHER,collaborator,World Health Organization
NCT01555515,INDUSTRY,lead,Medgenics Medical Israel Ltd.
NCT04661865,OTHER,lead,Jouf University
NCT06201910,OTHER,lead,Goethe University
NCT05644964,OTHER,lead,Celal Bayar University
NCT01599507,INDUSTRY,lead,FibroGen
NCT01155388,INDUSTRY,lead,"AMAG Pharmaceuticals, Inc."
NCT01665378,OTHER,lead,Emory University
NCT01665378,OTHER,collaborator,Micronutrient Initiative
NCT01665378,OTHER,collaborator,The Mathile Institute for the Advancement of Human Nutrition
NCT01666249,INDUSTRY,lead,Azidus Brasil
NCT01666249,OTHER,collaborator,Panamerican Medical Supply
NCT00586274,OTHER,lead,Baylor College of Medicine
NCT00586274,OTHER,collaborator,"University of Texas, Southwestern Medical Center at Dallas"
NCT00586274,OTHER,collaborator,"Center for Cell and Gene Therapy, Baylor College of Medicine"
NCT01719146,OTHER,lead,University of Louisville
NCT01719146,NIH,collaborator,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)
NCT06234332,OTHER,lead,Peking University
NCT06234332,OTHER_GOV,collaborator,National Natural Science Foundation of China
NCT00576602,INDUSTRY,lead,Hoffmann-La Roche
NCT04248439,INDUSTRY,lead,Rocket Pharmaceuticals Inc.
NCT04069533,INDUSTRY,lead,Rocket Pharmaceuticals Inc.
NCT00965666,OTHER,lead,"Children's Hospital Medical Center, Cincinnati"
NCT00965666,INDUSTRY,collaborator,Amgen
NCT01695759,INDUSTRY,lead,Azidus Brasil
NCT01695759,INDUSTRY,collaborator,Blau Farmaceutica S.A.
NCT06045052,OTHER,lead,Julian Sevilla
NCT06176105,OTHER,lead,Sanquin-LUMC J.J van Rood Center for Clinical Transfusion Research
NCT01519947,INDUSTRY,lead,Hoffmann-La Roche
NCT01763242,OTHER_GOV,lead,"Western Health, Australia"
NCT01768351,OTHER,lead,Federico II University
NCT00548860,INDUSTRY,lead,"American Regent, Inc."
NCT04885647,INDUSTRY,lead,"Xiamen Amoytop Biotech Co., Ltd."
