nct_id,last_update_submitted_date,start_month_year,completion_month_year,primary_completion_month_year,study_first_submitted_date,results_first_submitted_date,study_type,phase,enrollment,overall_status,official_title,brief_title
NCT00001399,2017-06-30,"December 3, 1993","February 11, 2009",NA,1999-11-03,NA,Interventional,Phase 1,9,Completed,Retroviral Mediated Gene Transfer of the Fanconi Anemia Complementation Group C Gene to Hematopoietic Progenitors of Group C Patients,Gene Therapy for the Treatment of Fanconi's Anemia Type C
NCT00001749,2008-03-03,July 1998,July 2005,NA,1999-11-03,NA,Interventional,Phase 2,25,Completed,Treatment of Diamond Blackfan Anemia With Antithymocyte Globulin and Cyclosporine A,Medical Treatment for Diamond Blackfan Anemia
NCT00004464,2019-01-16,February 1996,"November 11, 2008","March 1, 2007",1999-10-18,NA,Interventional,Phase 2,69,Completed,High Dose Cyclophosphamide for the Treatment of Severe Aplastic Anemia and Paroxysmal Nocturnal Hemoglobinuria,Study of High Dose Cyclophosphamide in Patients With Severe Aplastic Anemia and Paroxysmal Nocturnal Hemoglobinuria
NCT00005891,2005-06-23,March 2000,NA,NA,2000-06-02,NA,Interventional,Not Applicable,NA,Completed,NA,Study of Allogeneic Bone Marrow Transplantation Following Cyclophosphamide and Radiotherapy in Patients With Fanconi's Anemia
NCT00005896,2005-06-23,March 2000,NA,NA,2000-06-02,NA,Interventional,Phase 1,6,Unknown status,NA,"Phase I Pilot Study of CD34 Enriched, Fanconi's Anemia Complementation Group C Gene Transduced Autologous Peripheral Blood Stem Cell Transplantation in Patients With Fanconi's Anemia"
NCT00005898,2005-06-23,February 2000,NA,NA,2000-06-02,NA,Interventional,Phase 1/Phase 2,30,Completed,NA,"Phase I/II Study of Total Body Irradiation, Cyclophosphamide, and Fludarabine Followed by Alternate Donor Hematopoietic Cell Transplantation in Patients With Fanconi's Anemia"
NCT00006127,2005-06-23,April 2000,NA,NA,2000-08-03,NA,Interventional,Phase 1,21,Unknown status,NA,Phase I Study of Amifostine in Patients With Bone Marrow Failure Related to Fanconi's Anemia
NCT00046969,2013-05-29,July 2002,June 2007,NA,2002-10-03,NA,Interventional,Phase 4,450,Completed,"Management Of Anemia Under RadioChemotherapy (MARCH): An Open, Randomized Multicenter Study Of The Effect Of NeoRecormon On Treatment Outcome In Patients With Advanced Cervical Cancer Stage IIB -IVA Treated With Primary Simultaneous Radiochemotherapy (Radiotherapy Plus Cisplatin)",Epoetin Beta in Treating Anemia in Patients With Cervical Cancer
NCT00081471,2016-11-01,June 2004,July 2006,July 2006,2004-04-13,NA,Interventional,Phase 3,324,Completed,"A Randomized, Open-label Study of the Effect of Subcutaneous Mircera on Hemoglobin Level/Correction in Non-dialysis Patients With Chronic Kidney Disease",A Study of Mircera in the Treatment of Anemia in Patients With Chronic Kidney Disease Not on Dialysis
NCT00111995,2008-08-07,May 2002,NA,NA,2005-05-27,NA,Interventional,Phase 4,400,Completed,"A Randomized, Double-Blind Study Comparing Aranesp® (Darbepoetin Alfa) and Recombinant Human Erythropoietin (rHuEPO) in the Treatment of Anemia in African-American Subjects With Chronic Renal Failure (CRF) Receiving Hemodialysis",Evaluating Aranesp® for the Treatment of Anemia in African-American Subjects With Chronic Renal Failure (CRF) Receiving Hemodialysis
NCT00116493,2012-04-06,April 2004,May 2007,May 2007,2005-06-29,NA,Interventional,Phase 3,1009,Completed,Evaluation of Anthelminthics and Multivitamins for Treatment of Severe Anemia in Pregnant Women and Children 6-24 Months of Age in Pakistan,"Severe Anemia Treatment Trials, Pakistan"
NCT00118027,2017-01-11,May 2003,June 2007,NA,2005-06-30,NA,Interventional,Not Applicable,2150,Completed,A New Approach to Deliver Malaria Preventions to Pregnant Women at a Community Level in Uganda,A New Approach to Deliver Malaria Preventions to Pregnant Women at a Community Level in Uganda
NCT00121602,2008-02-21,March 2005,October 2006,October 2005,2005-07-18,NA,Interventional,Phase 3,446,Completed,"Randomized, Double-Blind, Equivalence Study of the Efficacy of Darbepoetin Alfa Manufactured by Serum Free Bioreactor Technology and Darbepoetin Alfa Manufactured by Roller-Bottle Technology for the Treatment of Anemia in Patients With Chronic Kidney Disease Receiving Hemodialysis",Efficacy Study: Darbepoetin Alfa for the Treatment of Anemia in Patients With Chronic Kidney Disease
NCT00132535,2017-01-11,August 2003,June 2007,NA,2005-08-19,NA,Interventional,Not Applicable,2548,Completed,"Influence of HIV Infection on the Effectiveness of Malaria Prevention During Pregnancy, With Emphasis on the Effect of Chloroquine on HIV Viral Load Among Pregnant Women in Uganda",Influence of Chloroquine on HIV Viral Load Among Pregnant Women in Uganda
NCT00140517,2017-01-11,October 2002,March 2008,June 2007,2005-08-31,NA,Interventional,Not Applicable,700,Completed,Relationships Between the Use of Antimalarial Drugs in Pregnancy and Plasmodium Falciparum Resistance,Relationships Between the Use of Antimalarial Drugs in Pregnancy and Plasmodium Falciparum Resistance
NCT00148629,2022-01-24,April 2004,NA,NA,2005-09-06,NA,Interventional,Phase 3,2500,Unknown status,Preventing Unnecessary Blood Transfusions in Pregnant Women in Africa Through Effective Primary Health Care,Treatment and Prevention of Severe Anemia in Pregnant Zanzibari Women
NCT00167206,2019-08-21,March 2004,December 2008,December 2008,2005-09-09,2009-07-07,Interventional,Phase 1/Phase 2,16,Terminated,"A Study of Thymic Shielding in Recipients of Total Body Irradiation, Cyclophosphamide, and Fludarabine Followed by Alternate Donor Hematopoietic Stem Cell Transplantation in Patients With Fanconi Anemia",Stem Cell Transplantation for Fanconi Anemia
NCT00167388,2017-04-19,September 2005,November 2006,November 2006,2005-09-09,2016-01-06,Interventional,Phase 1,22,Completed,The Effect of Packed Red Blood Cell Transfusion on Superior Mesenteric Artery Blood Flow Velocity in Premature Infants After Feeding,The Effect of Blood Transfusion on Blood Flow to the Intestines of Premature Infants
NCT00182390,2015-09-22,February 2001,November 2005,February 2003,2005-09-13,NA,Interventional,Phase 3,424,Completed,A Randomized Controlled Trial of Two Hemoglobin Thresholds for Transfusion in Newborns <1000g Birth Weight,Premature Infants in Need of Transfusion (PINT)
NCT00210743,2011-05-19,May 2004,October 2005,NA,2005-09-13,NA,Interventional,Phase 2,67,Completed,"An Open-Label, Clinical Evaluation of the Initiation of Every 2 Week Epoetin Alfa (PROCRIT)in the Treatment of Subjects With the Anemia of Chronic Kidney Disease (CKD)",Alternate Dosing - Initiation of Every 2 Week Epoetin Alfa (PROCRIT) in the Treatment of Anemia.
NCT00236964,2018-01-22,February 2001,May 2002,NA,2005-10-07,NA,Interventional,Phase 3,78,Completed,Comparison of Oral Iron With IV Iron in Patients With Anemia of Chronic Renal Failure Not on Dialysis,Comparison of Oral Iron With IV Iron in Patients With Anemia of Chronic Renal Failure Not on Dialysis
NCT00236977,2020-09-16,August 2003,October 2004,October 2004,2005-10-07,2009-01-14,Interventional,Phase 3,182,Completed,Comparison of the Safety and Efficacy of Intravenous Iron Versus Oral Iron in Chronic Renal Failure Subjects With Anemia,Comparison of Safety and Efficacy of Intravenous Iron Versus Oral Iron in Chronic Renal Failure Subjects With Anemia
NCT00243399,2011-07-14,July 2004,January 2010,December 2009,2005-10-20,NA,Interventional,Phase 1,10,Completed,A Pilot Trial of Oxandrolone for the Treatment of Bone Marrow Aplasia in Patients With Fanconi Anemia,Oxandrolone for the Treatment of Bone Marrow Aplasia in Fanconi Anemia
NCT00255424,2015-01-07,May 2004,August 2006,NA,2005-11-17,NA,Interventional,Phase 3,304,Completed,A Phase III Study of the Safety and Efficacy of Ferumoxytol (Compared With Oral Iron) as an Iron Replacement Therapy in Chronic Kidney Disease Patients Not on Dialysis,Ferumoxytol Versus Oral Iron in the Treatment of Anemia in Non-Dialysis Dependent Chronic Kidney Disease Patients
NCT00255437,2015-01-07,June 2004,November 2006,NA,2005-11-17,NA,Interventional,Phase 3,304,Completed,A Phase III Study of the Safety and Efficacy of Ferumoxytol (Compared With Oral Iron) as an Iron Replacement Therapy in Chronic Kidney Disease Patients Not on Dialysis,Ferumoxytol Versus Oral Iron in the Treatment of Anemia in Non-Dialysis Dependent Chronic Kidney Disease Patients
NCT00258024,2008-02-19,November 2005,October 2007,September 2007,2005-11-23,NA,Interventional,Not Applicable,420,Completed,Control of Pregnancy Associated Malaria With Intermittent Preventive Treatment Through Community Involvement in Rural Ghana,Control of Pregnancy Associated Malaria With Intermittent Preventive Treatment
NCT00258427,2021-11-04,"March 26, 2002","October 10, 2020","October 10, 2020",2005-11-22,2021-09-15,Interventional,Phase 2,14,Completed,Hematopoietic Stem Cell Transplantation in High Risk Patients With Fanconi Anemia MT2002-02,Hematopoietic Stem Cell Transplantation in High Risk Patients With Fanconi Anemia
NCT00271089,2016-07-11,August 2004,October 2007,NA,2005-12-29,NA,Interventional,Not Applicable,40,Completed,Collection of Hematopoietic Cells From Patients With Fanconi Anemia (FA) for Future Autologous Reinfusion and Research,Blood Cell Collection for Future Use in Individuals With Fanconi Anemia
NCT00272857,2017-06-21,August 2004,October 2007,October 2007,2006-01-04,NA,Interventional,Phase 1,3,Completed,"Gene Transfer From Patients With Fanconi Anemia, Genotype A: A Pilot Study",Bone Marrow Cell Gene Transfer in Individuals With Fanconi Anemia
NCT00307814,2011-05-17,January 2002,January 2004,NA,2006-03-24,NA,Interventional,Phase 2,519,Completed,"A Randomized, Open-Label Clinical Evaluation of PROCRIT (Epoetin Alfa) for Maintenance Phase Treatment of Patients With Anemia Due to Chronic Kidney Disease",A Study to Evaluate PROCRIT (Epoetin Alfa) for Maintenance Phase Treatment of Patients With Anemia Due to Chronic Kidney Disease (PROMPT)
NCT00312871,2011-05-16,February 2001,June 2003,NA,2006-04-07,NA,Interventional,Phase 4,217,Terminated,Effect of Early Correction of Anemia on the Progression of Chronic Renal Insufficiency (ECAP),Effects of Early Correction of Anemia in Patients With Chronic Renal Insufficiency
NCT00317226,2018-01-22,June 2005,September 2007,March 2007,2006-04-20,2013-09-16,Interventional,Phase 3,145,Completed,"Open Label Extension Study Evaluating the Long Term Safety, Tolerability and Efficacy of an Iron Maintenance Dosing Strategy Utilizing Intravenous VIT45 in the Treatment of Anemia in Non-Dialysis Dependent Chronic Kidney Disease",Long Term Safety Study of (VIT45) Extension Study: Treatment of Anemia in Non-Dialysis Dependent Chronic Kidney Disease
NCT00317239,2018-01-22,May 2005,August 2007,February 2007,2006-04-20,2013-09-16,Interventional,Phase 3,255,Completed,Comparison of Safety & Efficacy of a Unique Intravenous Iron (VIT45) Preparation vs Oral Iron in the Treatment of Anemia in Non-Dialysis Dependent Chronic Kidney Disease,VIT45 Versus Oral Iron in the Treatment of Anemia in Non-Dialysis Dependent Chronic Kidney Disease
