nct_id,has_single_facility,number_of_facilities
NCT03728790,TRUE,1
NCT03443154,FALSE,NA
NCT02216253,TRUE,1
NCT03080389,TRUE,1
NCT03239223,FALSE,9
NCT03729336,TRUE,1
NCT01064024,TRUE,1
NCT00305071,TRUE,1
NCT06049693,TRUE,1
NCT01322971,TRUE,1
NCT00543543,FALSE,NA
NCT00731315,FALSE,5
NCT05667207,FALSE,2
NCT05907187,TRUE,1
NCT00678041,TRUE,1
NCT00391651,TRUE,1
NCT00114712,TRUE,1
NCT01958073,FALSE,2
NCT00068120,TRUE,1
NCT05372016,TRUE,1
NCT04226313,TRUE,1
NCT01022346,FALSE,66
NCT05557318,FALSE,2
NCT03413774,TRUE,1
NCT01236131,TRUE,1
NCT04831840,FALSE,2
NCT03345875,FALSE,5
NCT05234112,TRUE,1
NCT03101371,TRUE,1
NCT03562156,FALSE,25
NCT00186082,FALSE,2
NCT01290393,TRUE,1
NCT01456962,TRUE,1
NCT05585970,TRUE,1
NCT04969445,TRUE,1
NCT04832581,FALSE,2
NCT05453006,TRUE,1
NCT01488955,FALSE,2
NCT02751073,TRUE,1
NCT01915251,TRUE,1
NCT02631863,FALSE,4
NCT01776021,FALSE,17
NCT02094703,TRUE,1
NCT01235546,FALSE,9
NCT05138822,FALSE,15
NCT03800667,TRUE,1
NCT05210348,FALSE,3
NCT05027776,TRUE,1
NCT03142295,TRUE,1
NCT01375439,FALSE,NA
NCT01021904,FALSE,NA
NCT04416373,TRUE,1
NCT05318144,TRUE,1
NCT05469984,FALSE,NA
NCT05206500,TRUE,1
NCT02203942,TRUE,1
NCT00781625,FALSE,2
NCT01799356,FALSE,4
NCT01687114,TRUE,1
NCT03042273,FALSE,5
NCT04072913,FALSE,NA
NCT04092257,TRUE,1
NCT01779193,TRUE,1
NCT05648747,TRUE,1
NCT00121797,FALSE,2
NCT01160640,FALSE,3
NCT02986802,TRUE,1
NCT01843166,TRUE,1
NCT03055130,TRUE,1
NCT05793970,FALSE,2
NCT05340322,TRUE,1
NCT03158220,FALSE,24
NCT05895578,FALSE,3
NCT04301934,TRUE,1
NCT04077580,FALSE,4
NCT00365716,FALSE,NA
NCT03981458,TRUE,1
NCT00682851,TRUE,1
NCT00337818,TRUE,1
NCT02087735,TRUE,1
NCT00564135,FALSE,NA
NCT01132131,TRUE,1
