nct_id,allocation,masking
NCT00000751,NA,NA
NCT00000758,NA,NA
NCT00000777,NA,NA
NCT00000808,NA,NA
NCT00000839,NA,NA
NCT00000862,NA,NA
NCT00000887,NA,NA
NCT00000888,NA,NA
NCT00000944,NA,NA
NCT00001041,NA,NA
NCT00001046,NA,NA
NCT00017719,Randomized,None (Open Label)
NCT00017797,NA,NA
NCT00021671,NA,Double
NCT00028145,NA,NA
NCT00046436,NA,NA
NCT00054041,Randomized,None (Open Label)
NCT00067249,NA,NA
NCT00068120,NA,NA
NCT00070746,NA,NA
NCT00087828,Non-Randomized,None (Open Label)
NCT00091130,Randomized,Double
NCT00093054,Randomized,Quadruple
NCT00093938,Randomized,Double
NCT00100061,Randomized,Triple
NCT00114712,NA,NA
NCT00115388,Randomized,Single
NCT00116974,Randomized,Triple
NCT00121797,Randomized,None (Open Label)
NCT00128128,Randomized,Quadruple
NCT00128661,Randomized,Triple
NCT00136370,Randomized,Double
NCT00158509,Randomized,Double
NCT00186082,Randomized,Single
NCT00194142,NA,NA
NCT00194155,NA,NA
NCT00194311,NA,NA
NCT00194532,Randomized,Double
NCT00197561,Randomized,Quadruple
NCT00213018,Randomized,Double
NCT00213031,Randomized,Double
NCT00214045,Randomized,Single
NCT00216853,NA,NA
NCT00239161,Non-Randomized,None (Open Label)
NCT00261248,Randomized,Double
NCT00262106,Randomized,Double
NCT00270530,Randomized,Double
NCT00303823,Randomized,Double
NCT00305071,Randomized,Double
NCT00305227,Randomized,Quadruple
NCT00316706,Non-Randomized,None (Open Label)
NCT00330278,Randomized,Double
NCT00337818,Randomized,None (Open Label)
NCT00352300,N/A,None (Open Label)
NCT00353561,Randomized,None (Open Label)
NCT00353743,Randomized,Quadruple
NCT00365716,Randomized,Double
NCT00376493,Randomized,Quadruple
NCT00386477,Randomized,Single
NCT00391651,Randomized,None (Open Label)
NCT00397735,Randomized,Quadruple
NCT00417365,Randomized,Single
NCT00453349,Randomized,Double
NCT00520598,Randomized,Double
NCT00536848,Randomized,Quadruple
NCT00543543,Randomized,Double
NCT00551187,Randomized,Double
NCT00560924,Randomized,Double
NCT00564135,Randomized,None (Open Label)
NCT00598403,Randomized,Double
NCT00603603,Randomized,None (Open Label)
NCT00616330,Randomized,Quadruple
NCT00620984,NA,NA
NCT00642070,NA,NA
NCT00663806,Randomized,None (Open Label)
NCT00669994,Non-Randomized,None (Open Label)
NCT00670020,Randomized,Double
NCT00676533,Non-Randomized,None (Open Label)
NCT00678028,NA,NA
NCT00678041,Randomized,Triple
NCT00682851,NA,NA
NCT00683865,Randomized,Double
NCT00700219,NA,NA
NCT00701350,NA,NA
NCT00714792,NA,NA
NCT00716183,Non-Randomized,None (Open Label)
NCT00722735,Randomized,Triple
NCT00731315,Randomized,Double
NCT00734968,Randomized,Quadruple
NCT00740584,N/A,None (Open Label)
NCT00767988,Randomized,Triple
NCT00781625,Randomized,Double
NCT00783419,NA,NA
NCT00789464,Randomized,Triple
NCT00801021,N/A,None (Open Label)
NCT00803127,NA,NA
NCT00868621,NA,NA
NCT00871494,Non-Randomized,None (Open Label)
NCT00873626,Randomized,None (Open Label)
NCT00878098,NA,NA
NCT00892866,Non-Randomized,None (Open Label)
NCT00900653,Randomized,None (Open Label)
NCT00929526,Randomized,None (Open Label)
NCT00931190,NA,NA
NCT00937547,NA,NA
NCT00958295,NA,NA
NCT00976963,Randomized,None (Open Label)
NCT00978848,NA,NA
NCT01021904,Non-Randomized,None (Open Label)
NCT01022346,Randomized,Double
NCT01039051,Randomized,Single
NCT01039545,Randomized,Quadruple
NCT01055106,Randomized,Single
NCT01064024,Randomized,Double
NCT01067131,Randomized,Quadruple
NCT01095198,Randomized,None (Open Label)
NCT01108757,Randomized,Triple
NCT01123603,NA,NA
NCT01132131,Randomized,None (Open Label)
NCT01142752,NA,NA
NCT01152528,Randomized,Single
NCT01160640,Randomized,Quadruple
NCT01207999,NA,NA
NCT01213459,NA,NA
NCT01219595,Randomized,Single
NCT01230814,Randomized,Double
NCT01231737,Randomized,Single
NCT01235546,Randomized,Quadruple
NCT01236131,NA,NA
NCT01241110,Randomized,None (Open Label)
NCT01281319,NA,NA
NCT01290393,NA,NA
NCT01299259,Randomized,Single
NCT01322971,Randomized,Quadruple
NCT01337791,Non-Randomized,None (Open Label)
NCT01346774,Randomized,Quadruple
NCT01347632,N/A,None (Open Label)
NCT01357369,NA,NA
NCT01359046,Randomized,Double
NCT01361048,Randomized,None (Open Label)
NCT01375439,Randomized,None (Open Label)
NCT01406587,Randomized,Quadruple
NCT01450800,Randomized,Quadruple
NCT01456962,NA,NA
NCT01478620,N/A,None (Open Label)
NCT01488955,Randomized,Double
NCT01507974,Randomized,None (Open Label)
NCT01525498,NA,NA
NCT01539668,NA,NA
NCT01550783,Randomized,None (Open Label)
NCT01588301,Randomized,Single
NCT01590017,N/A,None (Open Label)
NCT01593124,Randomized,None (Open Label)
NCT01597804,N/A,None (Open Label)
NCT01637870,N/A,None (Open Label)
NCT01640379,Randomized,Single
NCT01650051,Randomized,Double
NCT01653392,NA,NA
NCT01663181,NA,NA
NCT01687114,N/A,None (Open Label)
NCT01691430,Randomized,Quadruple
NCT01693783,N/A,None (Open Label)
NCT01735006,Randomized,Quadruple
NCT01776021,Randomized,Quadruple
NCT01779193,Randomized,Quadruple
NCT01792973,NA,NA
NCT01799356,Randomized,Single
NCT01800799,Randomized,None (Open Label)
NCT01808755,Randomized,None (Open Label)
NCT01812889,Randomized,None (Open Label)
NCT01818180,Randomized,Double
NCT01820793,N/A,None (Open Label)
NCT01832480,Randomized,None (Open Label)
NCT01842100,Randomized,None (Open Label)
NCT01843166,Randomized,Triple
NCT01867164,Randomized,None (Open Label)
NCT01874158,NA,NA
NCT01881165,Randomized,Double
NCT01891331,Randomized,Triple
NCT01905462,NA,NA
NCT01915251,NA,NA
NCT01958073,Randomized,Single
NCT01966653,Randomized,None (Open Label)
NCT01988168,Randomized,Single
NCT02016118,NA,NA
NCT02074852,NA,NA
NCT02087735,Randomized,Quadruple
NCT02094703,Randomized,Quadruple
NCT02124252,Randomized,None (Open Label)
NCT02186145,Randomized,Single
NCT02189291,Randomized,None (Open Label)
NCT02203942,NA,NA
NCT02216253,Randomized,Quadruple
NCT02246270,Randomized,Double
NCT02267382,Randomized,Double
NCT02289794,Randomized,Single
NCT02304770,Non-Randomized,None (Open Label)
NCT02309346,Randomized,Quadruple
NCT02323087,Randomized,None (Open Label)
NCT02346227,Randomized,Quadruple
NCT02358993,Randomized,Single
NCT02366676,N/A,None (Open Label)
NCT02402907,Randomized,Triple
NCT02439632,Randomized,Double
NCT02444975,Randomized,None (Open Label)
NCT02454309,Randomized,Double
NCT02509403,N/A,None (Open Label)
NCT02515656,Randomized,Double
NCT02527941,N/A,None (Open Label)
NCT02536872,NA,NA
NCT02543827,Randomized,Double
NCT02562508,Randomized,Single
NCT02567812,NA,NA
NCT02572895,Randomized,Quadruple
NCT02585115,NA,NA
NCT02631863,Randomized,Quadruple
NCT02637986,Randomized,Triple
NCT02639520,Randomized,Quadruple
NCT02653118,NA,NA
NCT02673216,NA,NA
NCT02693483,Randomized,None (Open Label)
NCT02702297,NA,NA
NCT02705495,Randomized,None (Open Label)
NCT02733068,Randomized,Quadruple
NCT02733432,Randomized,None (Open Label)
NCT02740777,Randomized,None (Open Label)
NCT02742636,Randomized,None (Open Label)
NCT02746588,NA,NA
NCT02751073,NA,NA
NCT02755012,NA,NA
NCT02787486,NA,NA
NCT02795845,Randomized,Triple
NCT02811367,N/A,None (Open Label)
NCT02812914,Non-Randomized,None (Open Label)
NCT02830321,NA,NA
NCT02840825,NA,NA
NCT02845284,Randomized,None (Open Label)
NCT02859493,Randomized,Quadruple
NCT02860845,Randomized,None (Open Label)
NCT02869165,Randomized,None (Open Label)
NCT02882360,Randomized,Triple
NCT02888197,NA,NA
NCT02905890,Randomized,None (Open Label)
NCT02946346,N/A,None (Open Label)
NCT02971007,Randomized,Single
NCT02972151,Randomized,None (Open Label)
NCT02986802,NA,NA
NCT02993185,Randomized,None (Open Label)
NCT02996981,NA,NA
NCT03005353,Randomized,Triple
NCT03008421,Randomized,Triple
NCT03009968,Randomized,None (Open Label)
NCT03019172,Randomized,Double
NCT03019874,NA,NA
NCT03032003,Randomized,Single
NCT03042273,Randomized,Triple
NCT03045809,NA,NA
NCT03050515,N/A,None (Open Label)
NCT03055130,NA,NA
NCT03064789,NA,NA
NCT03077711,Randomized,None (Open Label)
NCT03080389,NA,NA
NCT03091777,Randomized,Quadruple
NCT03093194,Randomized,Double
NCT03099863,Randomized,Double
NCT03101371,Randomized,None (Open Label)
NCT03108079,N/A,None (Open Label)
NCT03122704,N/A,None (Open Label)
NCT03127280,Randomized,None (Open Label)
NCT03129295,Randomized,Quadruple
NCT03142295,N/A,None (Open Label)
NCT03143920,N/A,None (Open Label)
NCT03151603,Randomized,Double
NCT03151967,Randomized,Double
NCT03158220,Non-Randomized,None (Open Label)
NCT03167957,Randomized,None (Open Label)
NCT03168178,Randomized,None (Open Label)
NCT03176563,NA,NA
NCT03178734,Randomized,None (Open Label)
NCT03185169,N/A,None (Open Label)
NCT03187457,Non-Randomized,None (Open Label)
NCT03190421,Randomized,None (Open Label)
NCT03206255,NA,NA
