nct_id,name,city,country
NCT01337791,"Department of Gynecology and Obstetrics, The Second Affiliated Hospital of the Southeast University",Nan Jing,China
NCT05648747,"Section of Obstetrics and Gynecology, Department of Morphology, Surgery and Experimental Medicine, University of Ferrara, Ferrara, Italy",Ferrara,Italy
NCT05652374,Radboudumc,Nijmegen,Netherlands
NCT06075264,Florida Gynecologic Oncology,Fort Myers,United States
NCT06075264,Cleveland Clinic Fairview Hospital,Cleveland,United States
NCT06075264,Cleveland Clinic Foundation,Cleveland,United States
NCT06075264,Hillcrest Hospital,Mayfield Heights,United States
NCT04098744,The Harris Health System (L.B.J Hospital),Houston,United States
NCT01650051,"Symbio, LLC",Port Jefferson,United States
NCT04098744,"University of Texas, M.D. Anderson",Houston,United States
NCT04098744,Florida Gynecologic Oncology,Fort Myers,United States
NCT04098744,University of Michigan,Ann Arbor,United States
NCT04098744,Cleveland Clinic Fairview Hospital,Cleveland,United States
NCT04098744,Cleveland Clinic Foundation,Cleveland,United States
NCT04092257,University of North Carolina (UNC) Project-Malawi,Lilongwe,Malawi
NCT04098744,Hillcrest Hospital,Mayfield Heights,United States
NCT05234112,Mpasana,Kakumiro,Uganda
NCT00194532,University of Miami Miller School of Medicine,Miami,United States
NCT05585970,Sohag University Hospital,Sohag,Egypt
NCT01357369,Stanford University School of Medicine,Stanford,United States
NCT00194532,University of Washington,Seattle,United States
NCT00978848,Magee-Womens Hospital of UPMC,Pittsburgh,United States
NCT00678041,Magee Womens Hospital,Pittsburgh,United States
NCT05397782,WISH A Place for Women,Nashville,United States
NCT04992104,St. Michael's Hospital,Toronto,Canada
NCT04992104,The Hospital for Sick Children,Toronto,Canada
NCT00560924,Novo Nordisk Investigational Site,Malmö,Sweden
NCT00781625,Akershus Universitetssykehus HF,Lørenskog,Norway
NCT00714792,Urogynecology and Reconstructive Pelvic Surgery Center,Rochester,United States
NCT04333212,Changhua Christian Hospital,Changhua,Taiwan
NCT04333212,Mackay Memorial Hospital,Taipei,Taiwan
NCT04333212,Cathay General Hospital,Taipei,Taiwan
NCT04333212,Linkou Chang Gung Memorial Hospital,Taoyuan,Taiwan
NCT02733432,University of Alabama at Birmingham,Birmingham,United States
NCT00781625,St.Olavs Hospital,Trondheim,Norway
NCT02733432,Precision Trials AZ LLC,Phoenix,United States
NCT02733432,"The Women's Clinical, P.A.",Little Rock,United States
NCT05254808,Medisch Centrum Heuvelrug,Doorn,Netherlands
NCT05254808,Huisartsenpraktijk Mariahoek,Utrecht,Netherlands
NCT05254808,Huisartsenpraktijk Binnenstad,Utrecht,Netherlands
NCT05254808,UMC Utrecht,Utrecht,Netherlands
NCT02733432,Women's Health Care Research Corp,San Diego,United States
NCT02733432,Olympian Clinical Research,Clearwater,United States
NCT02733432,Women's Medical Research,Clearwater,United States
NCT02733432,Altus Research Inc,Lake Worth,United States
NCT02733432,Lawrence OB GYN Clinical Research LLC,Lawrenceville,United States
NCT02733432,"ProHEALTH Care Associates, LLP",Port Jefferson,United States
NCT02733432,Eastern Carolina Women's Center,New Bern,United States
NCT02733432,Hawthorne Medical Research Inc,Winston-Salem,United States
NCT02733432,Unified Women's Clinical Research - Hickory,Winston-Salem,United States
NCT02733432,Aventiv Research Inc,Columbus,United States
NCT02733432,Drexel University College of Medicine,Philadelphia,United States
NCT02733432,TMC Life Research Inc.,Houston,United States
NCT02733432,Clinical Trials of Texas Inc,San Antonio,United States
NCT02733432,"Tidewater Clinical Research, Inc",Norfolk,United States
NCT02733432,"Seattle Women's Health, Research, Gynecology",Seattle,United States
NCT06243666,Sheyang County Center for Disease Control and Prevention,Yancheng,China
NCT02733432,New Age Medical Research Corporation,Miami,United States
NCT02733432,Augusta University,Augusta,United States
NCT02733432,Clinical Trials Management LLC,Metairie,United States
NCT02733432,Tolan Park Clinic,Detroit,United States
NCT02733432,Saginaw Valley Medical Research Group LLC,Saginaw,United States
NCT02733432,Alliance Women's Research Group LLC,Delran,United States
NCT05669911,Crescendo MD,Portola Valley,United States
NCT05669911,University of Colorado Anschutz Medical Campus,Aurora,United States
NCT05669911,Woman's Hospital,Baton Rouge,United States
NCT05669911,Boston Metro,Westwood,United States
NCT06145724,NYC Health + Hospitals/Lincoln,Bronx,United States
NCT06145724,Columbia Unviersity Irving Medical Center,New York,United States
NCT06145724,NewYork-Presbyterian Allen Hospital,New York,United States
NCT06145724,NYC Health+Hospitals/Harlem,New York,United States
NCT05669911,Planned Parenthood Gulf Coast,Houston,United States
NCT05669911,University of Wisconsin - Madison,Madison,United States
NCT02740777,Hezhou Center for Disease Prevention and Control,Hezhou,China
NCT03959410,"Department of Woman, Child and General and Specialized Surgery, University of Campania ""Luigi Vanvitelli""",Napoli,Italy
NCT01478620,Kiev Regional City Hospital,Kiev,Ukraine
NCT02740777,Zhongshan Center for Disease Prevention and Control,Zhongshan,China
NCT01867164,NA,DF,Mexico
NCT06019715,University of Iowa,Iowa City,United States
NCT03101371,University of Colorado Denver,Aurora,United States
NCT01867164,NA,Mexico D.F.,Mexico
NCT02515656,TURKOVA,Praha,Czechia
NCT02267382,University of Alabama Birmingham,Birmingham,United States
NCT02267382,Precision Trials,Phoenix,United States
NCT02267382,NEA Baptist Clinic,Jonesboro,United States
NCT02267382,Axis Clinical Trials,Los Angeles,United States
NCT02267382,Axis Clinical Trials,Los Angeles,United States
NCT02267382,Genesis Center for Clinical Research,San Diego,United States
NCT02267382,Altus Research,Lake Worth,United States
NCT02267382,Healthcare Clinical Data,Miami,United States
NCT02267382,Community Medical Research,North Miami,United States
NCT02267382,Vision Clinical Research,Palm Beach,United States
NCT02267382,Physician Care Clinical Research LLC,Sarasota,United States
NCT02267382,Clinical Research of West Florida,Tampa,United States
NCT02267382,Cypress Medical Research Center,Wichita,United States
NCT02267382,Clinical Trials Management LLC,Covington,United States
NCT02267382,Clinical Trials Management LLC,Metairie,United States
NCT02267382,New England Center for Clinical Research,Fall River,United States
NCT02267382,Clinical Research of Nevada,Las Vegas,United States
NCT02267382,"R. Garn Mabey, Jr. M.D. Chartered",Las Vegas,United States
NCT02267382,OB/GYN Clinical Research,Lawrenceville,United States
NCT02267382,Women's Health Research Center,Plainsboro,United States
NCT02267382,Suffolk OB-GYN,Port Jefferson,United States
NCT02267382,United Women's Clinical Research-Raleigh,Raleigh,United States
NCT02267382,Lyndhurst Clinical Research,Winston-Salem,United States
NCT02267382,Radiant Research,Akron,United States
NCT02267382,Drexel University College of Medicine,Philadelphia,United States
NCT02267382,Magee Women's Hospital,Pittsburgh,United States
NCT02267382,Brownstone Clinical Trials,Fort Worth,United States
NCT02267382,TMC Life Research,Houston,United States
NCT02267382,Brownstone Clinical Trials,Irving,United States
NCT02267382,Clinical Trials of Texas,San Antonio,United States
NCT02267382,Physician's Research Options LLC,Sandy,United States
NCT04385238,Pregistry,Los Angeles,United States
NCT02216253,IRCCS San Raffaele Hospital and Vita-Salute San Raffaele University,Milan,Italy
NCT02267382,Seattle Women's Health Research Gynecology,Seattle,United States
NCT05159726,Yale New Haven Hospital,New Haven,United States
NCT05015400,Arizona State University,Phoenix,United States
NCT03728790,Columbia University Medical Center,New York,United States
NCT04987164,CEN Nutriment,Dijon,France
NCT04987164,CEN Nutriment,Dijon,France
NCT04416373,Nova Medical School - UNL,Lisbon,Portugal
NCT02746588,"Hvidovre Hospital, Department of Gynecology and Obstetrics",Copenhagen,Denmark
NCT02515656,PERCEVAL,Lyon,France
NCT02515656,MARICIC,Belgrade,Serbia
