nct_id,id_source,id_value,id_type,id_type_description,id_link
NCT01905462,org_study_id,114101,NA,NA,NA
NCT01915251,org_study_id,130181,NA,NA,NA
NCT01915251,secondary_id,13-I-0181,NA,NA,NA
NCT04910802,org_study_id,Catch-up vaccination,NA,NA,NA
NCT02971007,org_study_id,MB-70005,NA,NA,NA
NCT05908682,org_study_id,SCY-078-401,NA,NA,NA
NCT04578015,org_study_id,2020H0476,NA,NA,NA
NCT06070454,org_study_id,HSR230407,NA,NA,NA
NCT02840825,org_study_id,API/2015/63,NA,NA,NA
NCT02705495,org_study_id,SARUTI V1.6,NA,NA,NA
NCT03008421,org_study_id,1001-2017,NA,NA,NA
NCT04792710,org_study_id,PPS trial 1,NA,NA,NA
NCT01640379,org_study_id,NA_00068846,NA,NA,NA
NCT01640379,secondary_id,1R01NR013507-01,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/1R01NR013507-01
NCT00214045,org_study_id,H-2004-0254,NA,NA,NA
NCT00214045,nct_alias,NCT00590733,NA,NA,NA
NCT00603603,org_study_id,07-0598,NA,NA,NA
NCT04679675,org_study_id,00002344,NA,NA,NA
NCT04679675,secondary_id,R01CA240375,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/R01CA240375
NCT06231056,org_study_id,LUMHS/iNatal/20.01.2024,NA,NA,NA
NCT02755012,org_study_id,A04-B01-12A,NA,NA,NA
NCT01966653,org_study_id,13-014,NA,NA,NA
NCT04187144,org_study_id,212390,NA,NA,NA
NCT04187144,secondary_id,2020-000553-27,EudraCT Number,NA,NA
NCT00303823,org_study_id,NCI-2009-00893,NA,NA,NA
NCT00303823,secondary_id,NCI-2009-00893,Registry Identifier,CTRP (Clinical Trial Reporting Program),NA
NCT00303823,secondary_id,CDR0000458081,NA,NA,NA
NCT00303823,secondary_id,HSC 05-40,NA,NA,NA
NCT00303823,secondary_id,05-0144-01,Other Identifier,Arizona Cancer Center - Tucson,NA
