nct_id,intervention_type
NCT00000751,Drug
NCT00000751,Drug
NCT00000751,Drug
NCT00000758,Drug
NCT00000777,Biological
NCT00000808,Drug
NCT00000839,Drug
NCT00000862,Drug
NCT00000887,Drug
NCT00000887,Drug
NCT00000887,Drug
NCT00000888,Drug
NCT00000888,Drug
NCT00000888,Drug
NCT00000944,Drug
NCT00000944,Drug
NCT00000944,Drug
NCT00001041,Biological
NCT00001046,Biological
NCT00001046,Biological
NCT00017719,Drug
NCT00017719,Drug
NCT00017719,Drug
NCT00017719,Drug
NCT00017719,Drug
NCT00021671,Drug
NCT00021671,Drug
NCT00021671,Drug
NCT00021671,Drug
NCT00028145,Behavioral
NCT00054041,Biological
NCT00054041,Procedure
NCT00054041,Other
NCT00087828,Drug
NCT00091130,Biological
NCT00091130,Other
NCT00091130,Other
NCT00093054,Drug
NCT00093054,Dietary Supplement
NCT00093938,Drug
NCT00100061,Drug
NCT00100061,Dietary Supplement
NCT00100061,Dietary Supplement
NCT00115388,Procedure
NCT00116974,Procedure
NCT00121797,Procedure
NCT00121797,Drug
NCT00128128,Drug
NCT00128661,Biological
NCT00128661,Biological
NCT00136370,Drug
NCT00136370,Procedure
NCT00136370,Procedure
NCT00158509,Drug
NCT00186082,Drug
NCT00194532,Drug
NCT00194532,Drug
NCT00197561,Dietary Supplement
NCT00197561,Dietary Supplement
NCT00213018,Drug
NCT00213031,Drug
NCT00214045,Device
NCT00214045,Device
NCT00239161,Drug
NCT00261248,Biological
NCT00262106,Drug
NCT00262106,Drug
NCT00270530,Drug
NCT00303823,Drug
NCT00303823,Dietary Supplement
NCT00303823,Other
NCT00305071,Drug
NCT00305227,Drug
NCT00305227,Drug
NCT00316706,Biological
NCT00316706,Biological
NCT00330278,Drug
NCT00337818,Biological
NCT00352300,Procedure
NCT00352300,Drug
NCT00352300,Drug
NCT00352300,Biological
NCT00353561,Drug
NCT00353561,Drug
NCT00353743,Drug
NCT00353743,Drug
NCT00365716,Biological
NCT00365716,Biological
NCT00365716,Biological
NCT00365716,Biological
NCT00365716,Biological
NCT00376493,Drug
NCT00386477,Procedure
NCT00391651,Drug
NCT00391651,Drug
NCT00397735,Procedure
NCT00397735,Drug
NCT00417365,Device
NCT00453349,Drug
NCT00453349,Drug
NCT00520598,Biological
NCT00520598,Drug
NCT00520598,Drug
NCT00520598,Biological
NCT00520598,Biological
NCT00520598,Biological
NCT00536848,Dietary Supplement
NCT00536848,Dietary Supplement
NCT00536848,Drug
NCT00543543,Biological
NCT00543543,Biological
NCT00551187,Biological
NCT00551187,Biological
NCT00551187,Biological
NCT00560924,Drug
NCT00564135,Procedure
NCT00598403,Drug
NCT00598403,Drug
NCT00603603,Other
NCT00603603,Other
NCT00616330,Drug
NCT00616330,Drug
NCT00616330,Drug
NCT00663806,Behavioral
NCT00663806,Behavioral
NCT00669994,Drug
NCT00670020,Procedure
NCT00676533,Drug
NCT00678041,Drug
NCT00678041,Drug
NCT00682851,Device
NCT00682851,Device
NCT00683865,Drug
NCT00683865,Drug
NCT00716183,Biological
NCT00716183,Biological
NCT00716183,Biological
NCT00716183,Drug
