nct_id,affiliation,organization
NCT05669911,NA,NA
NCT01650051,NA,NA
NCT06075264,NA,NA
NCT06019715,University of Iowa,NA
NCT05813184,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",NA
NCT04992104,The Hospital for Sick Children,NA
NCT00305227,University of Washington,NA
NCT05648747,Università degli Studi di Ferrara,NA
NCT05652374,NA,NA
NCT01867164,NA,NA
NCT04433364,"Sahlgrenska University Hospital, Sweden",NA
NCT02267382,NA,NA
NCT00564135,NA,Chang Gung Memorial Hospital
NCT02515656,NA,NA
NCT00560924,NA,NA
NCT01478620,NA,NA
NCT02124252,NA,NA
NCT00262106,NA,NA
NCT04416373,NA,NA
NCT04098744,NA,NA
NCT04092257,NA,NA
NCT05015400,Arizona State University,NA
NCT06344884,NA,NA
NCT04385238,NA,NA
NCT01832480,Tulane University Health Sciences Center,NA
NCT03728790,Columbia University,NA
NCT04987164,NA,NA
NCT04587050,NA,NA
NCT02289794,NA,NA
NCT05557318,NA,NA
NCT05206500,NA,NA
NCT06296901,University of Iowa,NA
NCT02216253,IRCCS San Raffaele,NA
NCT05584657,NA,NA
NCT05730387,University of British Columbia,NA
NCT05667207,NA,NA
NCT05044156,Usak State Hospital,NA
NCT06056947,Ege University,NA
NCT00978848,University of Pittsburgh,NA
NCT01406587,NA,Pinnacle Pharmaceuticals
NCT00678041,University of Pittsburgh,NA
NCT02304770,NA,NA
NCT05227937,Maimonides Medical Center,NA
NCT05055388,Peking University Third Hospital,NA
NCT03994055,NA,NA
NCT01799356,Istanbul Bakirkoy Maternity and Children Diseases Hospital,NA
NCT00734968,NA,NA
NCT00781625,NA,"Urologisk avdeling, Akershus Universitetssykehus HF"
NCT05254808,UMC Utrecht,NA
NCT05362955,NA,NA
NCT05023954,NA,NA
NCT00365716,NA,NA
NCT02746588,Hvidovre University Hospital,NA
NCT02986802,NA,NA
NCT01346774,University of Michigan,NA
NCT03305991,Lund University,NA
NCT06317688,Texas Woman's University,NA
NCT03443154,NA,NA
NCT03442218,"Saint Thomas Hospital, Panama",NA
NCT01488955,NA,NA
NCT05085353,NA,NA
NCT05197621,NA,NA
NCT04496726,NA,NA
NCT01507974,NA,NA
NCT00598403,NA,"Tedec-Meiji Farma, S.A."
NCT01525498,NA,NA
NCT01539668,Barretos Cancer Hospital,NA
NCT03391440,NA,NA
NCT06160349,Columbia University,NA
NCT01550783,NA,NA
NCT06052033,First Affiliated Hospital of Wenzhou Medical University,NA
NCT05488340,NA,NA
NCT05570331,Tongji Hospital,NA
NCT04155294,NA,NA
NCT02074852,Cairo University,NA
NCT04057924,NA,NA
NCT00976963,University of Washington,NA
NCT02869165,University of Louisville,NA
NCT04305808,Hadassah Medical Organization,NA
NCT05282095,Fujian Maternity and Child Health Hospital,NA
NCT04515108,Ankara City Hospital Bilkent,NA
NCT01593124,NA,NA
NCT01597804,NA,NA
NCT02859493,NA,NA
NCT01687114,Tufts University,NA
NCT04048356,NA,NA
NCT06268509,Dr Cipto Mangunkusumo General Hospital,NA
NCT06268483,NA,NA
NCT03522961,Brigham and Women's Hospital,NA
NCT05837962,Universidad de Antioquia,NA
NCT05666778,NA,NA
NCT05127252,Karolinska Institutet,NA
NCT04261036,American University of Beirut Medical Center,NA
NCT04306731,University of Sulaimani,NA
NCT05426148,NA,NA
NCT06050148,Helsinki University Central Hospital,NA
NCT02830321,Ain Shams University,NA
NCT01235546,University of Alabama at Birmingham,NA
NCT02811367,"University Hospital, Geneva",NA
NCT02795845,NA,NA
NCT05414305,NA,NA
NCT01735006,Xiamen University,NA
NCT04472377,NA,NA
NCT05826925,University of Utah,NA
NCT04035785,China Academy of Chinese Medical Sciences,NA
NCT01160640,University of Pittsburgh,NA
NCT00900653,NA,Yonsei University College of Medicine
NCT02751073,Mayo Clinic,NA
NCT03490045,NA,NA
NCT06314113,University of Palermo,NA
NCT01776021,NA,NA
NCT01779193,National Cheng-Kung University Hospital,NA
NCT06015854,NA,NA
NCT01800799,Buddhist Tzu Chi General Hospital,NA
NCT06310720,NA,NA
NCT03251898,NA,NA
NCT05907187,University of Miami,NA
NCT01812889,NA,NA
NCT01818180,NA,NA
NCT01820793,NA,NA
NCT01842100,NA,NA
NCT01843166,NA,NA
NCT05537519,NA,NA
NCT05413811,NA,NA
NCT04301934,Mayo Clinic,NA
NCT03719755,Mayo Clinic,NA
NCT02653118,NA,NA
NCT03871491,NA,NA
NCT01874158,Tulane University Health Sciences Center,NA
NCT01653392,NA,NA
NCT01881165,NA,NA
NCT01039545,NA,NA
NCT05591742,Aalborg University Hospital,NA
NCT00958295,NA,NA
NCT04709601,University of Texas Southwestern Medical Center,NA
NCT01905462,NA,NA
NCT04385680,Zagazig University,NA
NCT01915251,NA,NA
NCT06070454,University of Virginia,NA
NCT04778722,Medical University of Vienna,NA
NCT03178734,Atlantic Health System,NA
NCT01590017,NA,NA
NCT01021904,NA,"Cancer Hospital/Institute, Chinese Academy of Medical Sciences"
NCT00603603,Washington University School of Medicine,NA
NCT02755012,McGill University,NA
NCT01966653,"University Hospital, Geneva",NA
NCT05244967,University of Luebeck,NA
NCT00700219,NA,"ProteoGenix, Inc."
NCT00642070,University of Washington,NA
NCT04580927,McGill University Health Centre/Research Institute of the McGill University Health Centre,NA
NCT05783167,NA,NA
NCT01022346,NA,NA
NCT01988168,University of British Columbia,NA
NCT02246270,NA,NA
NCT04165252,NA,NA
NCT04032574,NA,NA
NCT04287504,Medical University of Vienna,NA
NCT04998318,NA,NA
NCT02366676,Samsung Medical Center,NA
NCT00337818,NA,NA
NCT05970783,NA,NA
NCT04825093,Universidad de Granada,NA
NCT04285320,Atlantic Health System,NA
NCT02882360,Lawson Health Research Institute,NA
NCT03981458,NA,NA
NCT00316706,NA,NA
NCT00669994,NA,NA
NCT00678028,NA,"Ha'emek Medical Center, Afula, Israel"
NCT02016118,"Study Group for Urogenital Diseases, Italy",NA
NCT03789513,NA,NA
NCT03562156,NA,NA
NCT00929526,NA,NA
NCT00000888,NA,NA
NCT00001041,NA,NA
NCT00391651,University of Washington,NA
NCT00017719,NA,NA
NCT00682851,University of Pittsburgh,NA
NCT00128661,NA,NA
NCT03151603,University Medical Center Goettingen,NA
NCT03127280,The Christ Hospital,NA
NCT03960970,RWJ Barnabas Health at Jersey City Medical Center,NA
NCT00701350,NA,ProteoGenix
NCT04831086,Fundacion Clinic per a la Recerca Biomédica,NA
NCT03413774,Cairo University,NA
NCT05632705,University of Pretoria,NA
NCT03638427,Stanford University,NA
NCT00114712,NA,NA
NCT00116974,NA,NA
NCT02972151,NA,NA
NCT05022212,NA,NA
NCT00000758,NA,NA
NCT03828994,NA,NA
NCT00397735,Ohio State University,NA
NCT01142752,NA,NA
NCT04246996,NA,NA
NCT06069102,University of Pittsburgh,NA
NCT05590195,Lawson Health Research Institute,NA
NCT05472779,University of Pittsburgh,NA
NCT06353269,"University of California, Irvine",NA
NCT05603624,NA,NA
NCT05711901,NA,NA
NCT04096820,Queen's University,NA
NCT02845284,NA,NA
NCT03581617,University Hospital of Ferrara,NA
NCT03826342,University of Michigan,NA
NCT03837015,NA,NA
NCT03080389,The Cleveland Clinic,NA
NCT03838965,NA,NA
NCT05429346,NA,NA
NCT00041964,NA,NA
NCT05995106,Seoul National University Hospital,NA
NCT05613283,Peking University People's Hospital,NA
NCT00021671,NA,NA
NCT00028145,NA,NA
NCT06352970,NA,NA
NCT00070746,NA,NA
NCT05580341,NA,NA
NCT03585023,University Hospital of Ferrara,NA
NCT00216853,NA,Lawson Health Research Institute
NCT04353141,KU Leuven,NA
NCT03519373,Centre Hospitalier Universitaire Saint Pierre,NA
NCT05140941,University of Pittsburgh,NA
NCT04955717,University of Southern California,NA
NCT00054041,NA,NA
NCT00093054,NA,NA
NCT00186082,NA,Stanford University School of Medicine
NCT00194155,NA,NA
NCT01359046,Mayo Clinic,NA
NCT05553652,Hvidovre University Hospital,NA
NCT06253169,NA,NA
NCT05793970,Parma University Hospital,NA
NCT05793814,NA,NA
NCT04719754,Assiut University,NA
NCT04910802,Region Stockholm,NA
NCT05908682,NA,NA
NCT04578015,Ohio State University,NA
NCT04444440,NA,NA
NCT03570112,The Christ Hospital,NA
NCT02840825,NA,NA
NCT06002126,NA,NA
NCT02705495,NA,NA
NCT03008421,Medical University of Vienna,NA
NCT05999851,NA,NA
NCT04045652,Indiana University,NA
NCT04792710,University of Pretoria,NA
NCT01640379,NA,NA
NCT00214045,NA,NA
NCT06231056,Liaquat University of Medical & Health Sciences,NA
NCT04187144,NA,NA
NCT04936815,"Insel Gruppe AG, University Hospital Bern",NA
NCT00303823,NA,NA
NCT05573334,NA,NA
NCT01792973,Institut de Recherche pour le Developpement,NA
NCT00091130,NA,NA
NCT00386477,NA,Indiana University School of Medicine
NCT04024046,NA,NA
NCT00740584,NA,NA
NCT03568942,NA,NA
NCT00100061,NA,NA
NCT03961178,Peking Union Medical College Hospital,NA
NCT00352300,NA,NA
NCT00353743,NA,HCPA-UFRGS
NCT04189744,NA,NA
NCT00115388,"St George's, University of London",NA
NCT05334706,Institut d'Investigació Biomèdica de Bellvitge,NA
NCT05702762,NA,NA
NCT01241110,NA,GUMS
NCT02309346,NA,NA
NCT05929963,Beijing Ditan Hospital,NA
NCT05655936,University of Pittsburgh,NA
NCT04763486,Meir Medical Center,NA
NCT01958073,NYU Langone Health,NA
NCT05040334,Cairo University,NA
NCT02996981,NA,NA
NCT05726318,University of Pittsburgh,NA
NCT03497598,Kantonsspital Aarau,NA
NCT03839875,NA,NA
NCT04095572,NA,NA
NCT05124327,Cedars-Sinai Medical Center,NA
NCT03143920,"University of California, San Diego",NA
NCT05520684,Trabzon Arakli Bayram Halil Public Hospital,NA
NCT05510830,Tongji Hospital,NA
NCT00676533,NA,NA
NCT03681678,William Beaumont Hospitals,NA
NCT02946346,NA,NA
NCT03354598,NA,NA
NCT03032003,University of Thessaly,NA
NCT04519502,NA,NA
NCT05309122,Peking Union Medical College Hospital,NA
NCT00000808,NA,NA
NCT00000862,NA,NA
NCT02637986,NA,NA
NCT03914144,NA,NA
NCT00536848,NA,"National Institute for Medical Research, Mwanza research centre"
NCT05242172,Adiyaman University Research Hospital,NA
NCT05477953,NA,NA
NCT04307069,NA,NA
NCT00194142,NA,NA
NCT04753502,"Austral University, Argentina",NA
NCT04244526,Assiut University,NA
NCT01108757,NA,NA
NCT02186145,NA,NA
NCT03861260,NA,NA
NCT03854396,University of Louisville,NA
NCT02812914,NA,NA
NCT04680325,"University of Arkansas, Fayetteville",NA
NCT01095198,NA,McMaster University
NCT05895162,NA,NA
NCT02543827,NA,NA
NCT00868621,NA,Cleveland Clinic Florida
NCT02787486,NA,NA
NCT03898310,NA,NA
NCT04629001,Assiut University,NA
NCT03954990,NA,NA
NCT03819712,NA,NA
NCT00783419,NA,NA
NCT03975569,"University Hospital, Antwerp",NA
NCT06120205,NA,NA
NCT06035601,University of Pennsylvania,NA
NCT00937547,Instituto Oncologico Luis Razetti,NA
NCT03005353,Assiut University,NA
NCT02742636,Leiden University Medical Center,NA
NCT03771651,NA,NA
NCT05723601,NA,NA
NCT00197561,NA,Harvard School of Public Health
NCT04624568,NA,NA
NCT03633994,The Christ Hospital,NA
NCT03019874,"Charite University, Berlin, Germany",NA
NCT03019172,Innovacion y Desarrollo de Estrategias en Salud,NA
NCT06177236,Istanbul University - Cerrahpasa (IUC),NA
NCT03009968,NA,NA
NCT05383521,Peking University Shenzhen Hospital,NA
NCT01361048,University of Alabama at Birmingham,NA
NCT03996057,NA,NA
NCT04558996,Puerta de Hierro University Hospital,NA
NCT04140669,NA,NA
NCT02439632,NA,NA
NCT06192966,NA,NA
NCT05587283,NA,NA
NCT04552210,NA,NA
NCT01152528,NA,Common Sense
NCT02860845,NA,NA
NCT01891331,NA,NA
NCT01637870,University of Iowa,NA
NCT05160649,Fayoum University,NA
NCT04163679,Womack Army Medical Center,NA
NCT04414527,NA,NA
NCT03366207,NA,NA
NCT02733068,NA,NA
NCT00000777,NA,NA
NCT03813576,NA,NA
NCT02673216,NA,NA
NCT05796921,Universita degli Studi di Catania,NA
NCT06296615,NA,NA
NCT04723069,University of Karachi,NA
NCT02536872,Medway NHS Foundation Trust,NA
NCT02993185,Carnegie Mellon University,NA
NCT00620984,State University of New York - Upstate Medical University,NA
NCT05460546,NA,NA
NCT03987620,NA,NA
NCT04807894,NA,NA
NCT00261248,NA,NA
NCT02639520,NA,NA
NCT01064024,NA,NA
NCT00683865,NA,NA
NCT01808755,IRCCS Policlinico S. Matteo,NA
NCT03840616,NA,NA
NCT03425396,NA,NA
NCT03729336,NA,NA
NCT03672214,NA,NA
NCT03045809,University of Liverpool,NA
NCT04959331,NA,NA
NCT04171388,Brigham and Women's Hospital,NA
NCT05408624,NA,NA
NCT01055106,NA,Graceway Pharmaceuticals
NCT02971007,NA,NA
NCT04699578,"University of Campania ""Luigi Vanvitelli""",NA
NCT00353561,NA,"All India Institute of Medical Sciences, New Delhi 110029"
NCT00670020,NA,University of Washington
NCT00376493,NA,Hospital de Clínicas de Porto Alegre
NCT05045755,Xiamen University,NA
NCT04031664,China Academy of Chinese Medical Sciences,NA
NCT03834571,NA,NA
NCT06261736,Atlantic Health System,NA
NCT04226313,NA,NA
NCT01132131,University of Oslo,NA
NCT03929991,NA,NA
NCT01231737,NA,University of Perugia
NCT04077580,University of Oslo,NA
NCT04679675,NA,NA
NCT05630833,NA,NA
NCT02527941,University of Toronto,NA
NCT00871494,NA,NA
NCT02693483,Ain Shams Maternity Hospital,NA
NCT04133610,NA,NA
NCT05730998,NA,NA
NCT02702297,Martin-Luther-Universität Halle-Wittenberg,NA
NCT00663806,NA,NA
NCT03362697,Innovacion y Desarrollo de Estrategias en Salud,NA
NCT04836910,Sheba Medical Center,NA
NCT04769167,NA,NA
NCT01290393,NA,NA
NCT02567812,Kangbuk Samsung Hospital,NA
NCT04152278,Fayoum University Hospital,NA
NCT03800667,American University of Beirut Medical Center,NA
NCT01663181,Medical University of Vienna,NA
NCT00453349,NA,NA
NCT02562508,Xiamen University,NA
NCT02631863,NA,NA
NCT00520598,NA,NA
NCT04694495,Zhujiang Hospital,NA
NCT06148532,Columbia University,NA
NCT01347632,CONRAD,NA
NCT04718220,Washington University School of Medicine,NA
NCT05318144,Cumhuriyet University,NA
NCT00000944,NA,NA
NCT00001046,NA,NA
NCT03818321,NA,NA
NCT04022148,University of Fukui,NA
NCT06131749,NA,NA
NCT06131684,Oregon Health and Science University,NA
NCT04278326,NA,NA
NCT02203942,University of Pittsburgh,NA
NCT02094703,Dr Cipto Mangunkusumo General Hospital,NA
NCT03093194,Rambam Health Care Campus,NA
NCT02585115,University of Copenhagen,NA
NCT00616330,NA,NA
NCT02454309,NA,NA
NCT06093035,NA,NA
NCT03239223,NA,NA
NCT04079218,NA,NA
NCT05138822,NA,NA
NCT01207999,NA,NA
NCT00128128,NA,NA
NCT01213459,NA,NA
NCT01123603,NA,NA
NCT00000839,NA,NA
NCT00000887,NA,NA
NCT00801021,NA,Baylor College of Medicine
NCT00803127,NA,common sense
NCT05788991,NA,NA
NCT02402907,Icahn School of Medicine at Mount Sinai,NA
NCT04831840,University of Miami,NA
NCT03055130,"Sixth Affiliated Hospital, Sun Yat-sen University",NA
NCT03644966,NA,NA
NCT03151967,University of Washington,NA
NCT03898167,Baylor College of Medicine,NA
NCT05545514,NA,NA
NCT05372016,NA,NA
NCT00878098,NA,NA
NCT01039051,NA,Huazhong University of Science and Technology
NCT02087735,Laval University,NA
NCT04463758,NA,NA
NCT01691430,NA,NA
NCT03749746,University of Pittsburgh,NA
NCT01693783,NA,NA
NCT05435430,University of Palermo,NA
NCT03185169,Alta Bates Summit Medical Center,NA
NCT05108675,Aga Khan University,NA
NCT00767988,NA,Baylor College of Medicine
NCT04823234,Azienda Sanitaria-Universitaria Integrata di Udine,NA
NCT01456962,NA,NA
NCT01450800,NA,NA
NCT01281319,NA,Soroka Medical Center
NCT03548129,Ain Shams University,NA
NCT06124820,NA,NA
NCT01067131,NA,NA
NCT05670535,Ankara City Hospital Bilkent,NA
NCT05469984,Western Galilee Hospital-Nahariya,NA
NCT01219595,NA,NA
NCT01299259,NA,NA
NCT05585970,Sohag University,NA
NCT00789464,Baylor College of Medicine,NA
NCT00194532,University of Washington,NA
NCT01236131,University of Pittsburgh,NA
NCT03779347,Centre de Recherche Médicale de Lambaréné,NA
NCT00543543,NA,NA
NCT05275257,NA,NA
NCT03284866,NA,NA
NCT05210348,Peking University People's Hospital,NA
NCT05397782,NA,NA
NCT04704908,Xiamen University,NA
NCT03297216,NA,NA
NCT04333212,Chang Gung Memorial Hospital,NA
NCT03930017,NA,NA
NCT01588301,NA,NA
NCT03122704,Vietnam National University,NA
NCT00873626,NA,NA
NCT00714792,NA,NA
NCT05089175,NA,NA
NCT02189291,Oregon Health and Science University,NA
NCT03158220,NA,NA
NCT05895578,NA,NA
NCT06243666,Xiamen University,NA
NCT06145724,Columbia University,NA
NCT02358993,NA,NA
NCT03395288,NA,NA
NCT04072913,NA,NA
NCT00551187,NA,NA
NCT04000503,University of British Columbia,NA
NCT01230814,NA,NA
NCT03697226,NA,NA
NCT03168178,University of Utah,NA
NCT05453006,NA,NA
NCT06332781,NA,NA
NCT06304610,NA,NA
NCT02905890,NA,NA
NCT02323087,University of Copenhagen,NA
NCT00716183,NA,Universidad Complutense de Madrid
NCT00722735,NA,Practicing Physician
NCT02572895,Laval University,NA
NCT05059015,NA,NA
NCT00892866,NA,NA
NCT00731315,NA,NA
NCT06137950,Mongolian National University of Medical Sciences,NA
NCT06136702,NA,NA
NCT02888197,NA,NA
NCT05966649,NA,NA
NCT03287089,NA,NA
NCT01322971,Stanford University,NA
NCT05762016,NA,NA
NCT03561701,NA,NA
NCT03129295,NA,NA
NCT05554081,Loyola University,NA
NCT05551949,NA,NA
NCT01337791,NA,The Second Affiliated Hospital of the Southeast University
NCT03597152,NA,NA
NCT01357369,Stanford University,NA
NCT06273553,NA,NA
NCT05234112,NA,NA
NCT03397615,Cairo University,NA
NCT03099863,MetroHealth Medical Center,NA
NCT03386695,Tata Memorial Hospital,NA
NCT05340322,NA,NA
NCT03614286,Assiut University,NA
NCT04488991,Haseki Training and Research Hospital,NA
NCT03108079,The Pelvic Floor Institute,NA
NCT03366077,NA,NA
NCT03345875,NA,NA
NCT03347513,Kasr El Aini Hospital,NA
NCT02509403,NA,NA
NCT06067386,NA,NA
NCT06049693,National and Kapodistrian University of Athens,NA
NCT03229603,Tata Memorial Hospital,NA
NCT02733432,NA,NA
NCT03306719,Medical University of Vienna,NA
NCT03299387,Mayo Clinic,NA
NCT03959410,"University of Campania ""Luigi Vanvitelli""",NA
NCT02740777,NA,NA
NCT03101371,NA,NA
NCT05159726,NA,NA
NCT04880343,Instituto de Investigación Sanitaria de la Fundación Jiménez Díaz,NA
NCT05341284,NA,NA
NCT01375439,UPECLIN HC FM Botucatu Unesp,NA
NCT03091777,NA,NA
NCT03042273,NA,NA
NCT05958953,University of Modena and Reggio Emilia,NA
NCT03206255,Xiamen University,NA
NCT02444975,NA,NA
NCT05509413,Ruhr University of Bochum,NA
NCT03190421,Loyola University,NA
NCT03187457,NA,NA
NCT03167957,NA,NA
NCT02346227,Universiteit Antwerpen,NA
NCT03142295,Leiden University Medical Center,NA
NCT05545137,NA,NA
NCT05371353,NA,NA
NCT05027776,NA,NA
NCT04895020,NA,NA
NCT05283239,Fujian Maternity and Child Health Hospital,NA
NCT03176563,University Medical Center Goettingen,NA
NCT06281665,University of Pittsburgh,NA
NCT03077711,NorthShore University HealthSystem,NA
NCT05990270,Kahramanmaras Sutcu Imam University,NA
NCT03248297,University of Alabama at Birmingham,NA
NCT05913180,American University of Beirut Medical Center,NA
NCT06360965,NA,NA
NCT04020341,NA,NA
NCT03064789,Instituto Palacios,NA
NCT06091670,Istanbul University - Cerrahpasa (IUC),NA
NCT03050515,"University of California, Irvine",NA
NCT00931190,NA,"Dept. Medical microbiology, Malmö university hospital, 20502 Malmö, Sweden"
NCT04969445,Xiamen University,NA
NCT04832581,Istanbul University - Cerrahpasa (IUC),NA
NCT05415865,Herlev and Gentofte Hospital,NA
