nct_id,agency_class,lead_or_collaborator,name
NCT04416373,OTHER,lead,Universidade Nova de Lisboa
NCT06352970,OTHER,lead,Lund University
NCT06352970,OTHER,collaborator,Addis Ababa University
NCT06352970,OTHER,collaborator,"Armauer Hansen Research Institute, Ethiopia"
NCT01832480,OTHER,lead,Tulane University Health Sciences Center
NCT05469984,OTHER_GOV,lead,Western Galilee Hospital-Nahariya
NCT05584657,INDUSTRY,lead,"Iterum Therapeutics, International Limited"
NCT05044156,OTHER,lead,Usak State Hospital
NCT04587050,OTHER,lead,Imperial College London
NCT04587050,OTHER_GOV,collaborator,Public Health England
NCT01406587,INDUSTRY,lead,"Pinnacle Pharmaceuticals, Inc."
NCT00551187,INDUSTRY,lead,Merck Sharp & Dohme LLC
NCT02124252,OTHER,lead,Duke University
NCT04000503,OTHER,lead,University of British Columbia
NCT04000503,OTHER,collaborator,Uganda Cancer Institute
NCT01230814,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID)
NCT00262106,INDUSTRY,lead,Endo Pharmaceuticals
NCT00262106,OTHER_GOV,collaborator,Medical Research Council
NCT00262106,OTHER_GOV,collaborator,"Department for International Development, United Kingdom"
NCT05362955,OTHER,lead,UNC Lineberger Comprehensive Cancer Center
NCT05453006,OTHER,lead,University of Minnesota
NCT03305991,OTHER,lead,Lund University
NCT02905890,OTHER,lead,London School of Hygiene and Tropical Medicine
NCT02905890,OTHER,collaborator,Imperial College London
NCT02905890,OTHER,collaborator,University of Liverpool
NCT02905890,OTHER,collaborator,MRC/UVRI and LSHTM Uganda Research Unit
NCT01488955,OTHER,lead,Institut fuer anwendungsorientierte Forschung und klinische Studien GmbH
NCT01488955,OTHER,collaborator,University Medical Center Goettingen
NCT02888197,INDUSTRY,lead,Cidara Therapeutics Inc.
NCT01507974,OTHER,lead,"HaEmek Medical Center, Israel"
NCT06075264,INDUSTRY,lead,"Frantz Viral Therapeutics, LLC"
NCT06075264,OTHER,collaborator,The Cleveland Clinic
NCT01525498,OTHER,lead,University of Oklahoma
NCT01650051,INDUSTRY,lead,"Amneal Pharmaceuticals, LLC"
NCT01650051,INDUSTRY,collaborator,"Symbio, LLC"
NCT06344884,OTHER,lead,"University of North Carolina, Chapel Hill"
NCT01539668,OTHER,lead,Barretos Cancer Hospital
NCT01539668,INDUSTRY,collaborator,"QIAGEN Gaithersburg, Inc"
NCT01550783,OTHER,lead,University of Washington
NCT01550783,NIH,collaborator,National Cancer Institute (NCI)
NCT05570331,OTHER,lead,Ding Ma
NCT06296901,OTHER,lead,Joanna A. Orzel
NCT04305808,OTHER,lead,Hadassah Medical Organization
NCT04992104,OTHER,lead,The Hospital for Sick Children
NCT04992104,OTHER,collaborator,Unity Health Toronto
NCT04992104,OTHER,collaborator,University of Toronto
NCT04992104,OTHER,collaborator,University of Calgary
NCT04992104,OTHER,collaborator,Dalhousie University
