nct_id,last_update_submitted_date,start_month_year,completion_month_year,primary_completion_month_year,study_first_submitted_date,results_first_submitted_date,study_type,phase,enrollment,overall_status,official_title,brief_title
NCT00000751,2008-09-26,NA,August 2007,NA,1999-11-02,NA,Interventional,Phase 3,1600,Completed,"A Phase III Randomized, Double-Blind, Controlled Study of the Use of Anti-HIV Immune Serum Globulin (HIVIG) for the Prevention of Maternal-Fetal HIV Transmission in Pregnant Women and Newborns Receiving Zidovudine (AZT)","A Phase III Randomized, Double-Blind, Controlled Study of the Use of Anti-HIV Immune Serum Globulin (HIVIG) for the Prevention of Maternal-Fetal HIV Transmission in Pregnant Women and Newborns Receiving Zidovudine (AZT)"
NCT00000758,2021-10-27,NA,April 1998,NA,1999-11-02,NA,Interventional,Phase 3,158,Completed,"A Phase III Randomized Trial of Topical Vaginal Fluorouracil (5-Fluorouracil, 5-FU) Maintenance Therapy Versus Observation After Standard Treatment for High-Grade Cervical Dysplasia in HIV-Infected Women","A Phase III Randomized Trial of Topical Vaginal Fluorouracil (5-Fluorouracil, 5-FU) Maintenance Therapy Versus Observation After Standard Treatment for High-Grade Cervical Dysplasia in HIV-Infected Women"
NCT00000777,2021-10-27,NA,July 1998,NA,1999-11-02,NA,Interventional,Phase 1,24,Completed,"Active Immunization of HIV-1 Infected, Pregnant Women With CD4 Lymphocyte Counts >= 400/mm3: A Phase I Study of Safety and Immunogenicity of VaxSyn Recombinant gp160 (NOTE: Some Patients Receive Placebo)","Active Immunization of HIV-1 Infected, Pregnant Women With CD4 Lymphocyte Counts >= 400/mm3: A Phase I Study of Safety and Immunogenicity of VaxSyn Recombinant gp160 (NOTE: Some Patients Receive Placebo)"
NCT00000808,2021-10-27,NA,September 1998,NA,1999-11-02,NA,Interventional,Phase 1,49,Completed,A Phase I Study of Safety and Pharmacokinetics of Nevirapine in HIV-1 Infected Pregnant Women and Neonates Born to HIV-1 Infected Mothers,A Phase I Study of Safety and Pharmacokinetics of Nevirapine in HIV-1 Infected Pregnant Women and Neonates Born to HIV-1 Infected Mothers
NCT00000828,2005-06-23,NA,NA,NA,1999-11-02,NA,Observational,NA,250,Completed,Study of Perinatal Transmission of Zidovudine-Resistant HIV Among Pregnant Women Treated With Zidovudine,Study of Perinatal Transmission of Zidovudine-Resistant HIV Among Pregnant Women Treated With Zidovudine
NCT00000839,2021-10-27,NA,June 2001,NA,1999-11-02,NA,Interventional,Phase 1,12,Completed,A Phase I Trial to Evaluate Didanosine (ddI) in HIV-Infected Pregnant Women,A Phase I Trial to Evaluate Didanosine (ddI) in HIV-Infected Pregnant Women
NCT00000862,2021-10-27,NA,November 2003,NA,1999-11-02,NA,Interventional,Phase 1,36,Completed,A Phase I Trial of the Pharmacokinetics and Tolerance of Oral Zidovudine Administered to HIV-1 Infected Pregnant Women During Labor and Delivery,A Study of Zidovudine During Labor and Delivery in HIV-Infected Pregnant Women
NCT00000887,2021-10-27,NA,July 2004,NA,1999-11-02,NA,Interventional,Phase 1,24,Completed,"A Phase I Trial of the Safety, Tolerance, and Pharmacokinetics of Oral Nelfinavir (Viracept) Co-Administered With Zidovudine (ZDV) and Lamivudine (3TC) in HIV Infected Pregnant Women and Their Infants",A Study to Evaluate the Safety and Tolerance of Nelfinavir (NFV) Given With Zidovudine (ZDV) and Lamivudine (3TC) in HIV-Positive Pregnant Women and Their Infants
NCT00000888,2021-10-27,NA,April 2001,NA,1999-11-02,NA,Interventional,Phase 1,14,Completed,"A Phase I Trial of the Safety, Tolerance, and Pharmacokinetics of Oral Ritonavir Co-Administered With Lamivudine (3TC) and Zidovudine (ZDV) in HIV-1-Infected Pregnant Women and Their Infants",Safety and Effectiveness of Ritonavir Plus Lamivudine Plus Zidovudine in HIV-Infected Pregnant Women and Their Babies
NCT00000944,2021-10-27,NA,March 2003,NA,1999-11-02,NA,Interventional,Phase 1,24,Completed,"A Phase I Trial of the Safety, Tolerance, and Pharmacokinetics of Oral Indinavir Co-Administered With Lamivudine (3TC) and Zidovudine (ZDV) in HIV-1-Infected Pregnant Women During Gestation and Post Partum, and in Their Infants Post Maternal Dosing","A Study to Evaluate the Safety and Tolerance of Combination Anti-HIV Drug Therapy (Indinavir, Lamivudine, and Zidovudine) in HIV-Positive Pregnant Women and Their Infants"
NCT00001041,2021-10-28,NA,July 1998,NA,1999-11-02,NA,Interventional,Phase 1,24,Completed,"Active Immunization of HIV-1 Infected, Pregnant Women With CD4 Lymphocyte Counts >= 400/mm3: A Phase I Study of Safety and Immunogenicity of MN rgp120/HIV-1 Vaccine (NOTE: Some Patients Receive Placebo)","Active Immunization of HIV-1 Infected, Pregnant Women With CD4 Lymphocyte Counts >= 400/mm3: A Phase I Study of Safety and Immunogenicity of MN rgp120/HIV-1 Vaccine (NOTE: Some Patients Receive Placebo)"
