"","nct_id","last_update_submitted_date","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","facility_affiliation","city","country","region"
"1","NCT03919812",2019-04-17,2019-04-15,NA,"Interventional","Not Applicable",60,"Completed","Immunomodulatory Effect of Vitamin D Supplementation on Monocyte in Major Beta-thalassemia","Immunomodulatory Vitamin D in Thalassemia",2018-04-01,2018-08-15,2018-07-15,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Klinik Thalassemia Rumah Sakit Dr. Hasan Sadikin Bandung","Bandung","Indonesia","LMIC"
"2","NCT00677339",2012-01-17,2008-05-12,NA,"Interventional","Phase 3",200,"Completed","Phase 3 Trial of Oral L-arginine and / or Vitamin D as Adjunctive Therapies in Pulmonary Tuberculosis in Papua Province, Indonesia.","L-arginine and Vitamin D Adjunctive Therapy in Pulmonary Tuberculosis (TB)",2008-06-01,2010-05-01,2010-02-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Timika Tuberculosis Clinic and Community Hospital","Timika","Indonesia","LMIC"
"3","NCT01356095",2012-08-28,2011-05-17,NA,"Interventional","Not Applicable",28,"Completed","A Knowledge Translation Intervention for TB/HIV Treatment Adherence, in Zomba District, Malawi","A Knowledge Translation Intervention for TB/HIV Treatment Adherence, in Zomba District, Malawi",2011-03-01,2012-05-01,2012-03-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Zomba District Health Centers, Dignitas International","Zomba","Malawi","LMIC"
"4","NCT02378207",2019-10-28,2015-02-12,2019-09-03,"Interventional","Phase 1",84,"Completed","A Randomized, Placebo-controlled, Partially Blinded Phase 1b Clinical Trial to Evaluate the Safety and Immunogenicity of BCG Revaccination, H4:IC31, and H56:IC31 in Healthy, HIV-1-Uninfected Adolescent Participants","Safety and Immunogenicity Study of BCG, H4:IC31, and H56:IC31 Revaccination in Healthy Adolescents",2015-05-01,2016-12-09,2016-10-31,TRUE,"Randomized","Quadruple","OTHER",FALSE,"Desmond Tutu HIV Foundation","Cape Town","South Africa","LMIC"
"5","NCT01241188",2015-04-16,2010-11-15,NA,"Interventional","Phase 2",253,"Completed","A Phase IIb Sensitivity Trial of the Diagnostic Agent C-Tb, When Given Intradermally by the Mantoux Technique to Adult Patients Recently Diagnosed With Active TB","A Trial of the C-Tb Skin Test, When Given Intradermally to Adult Patients Recently Diagnosed With Active Tuberculosis (TB)",2011-04-01,2011-12-01,2011-12-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"University of Cape Town Lung Institute (Pty) Ltd","Cape Town","South Africa","LMIC"
"6","NCT04482231",2020-07-17,2020-07-17,NA,"Observational",NA,9944,"Completed","Antibiotic Observatory for Respiratory Diseases, Apart From Tuberculosis and Reportable Diseases","Antibiotic Observatory for Respiratory Diseases, Apart From Tuberculosis and Reportable Diseases",2018-01-02,2018-08-31,2018-08-31,FALSE,NA,NA,"OTHER",FALSE,"Emergency department of fattouma bourguiba university hospital","Monastir","Tunisia","LMIC"
"7","NCT04916899",2021-06-01,2021-06-01,NA,"Observational",NA,47,"Completed","Study to Evaluate the Safety of the Use of doTBal (Rifampicin, Isoniazid, Pyrazinamide and Ethambutol) in Patients With Tuberculosis: Conduction of an Intensive Pharmacovigilance Program","Safety of doTBal® in Patients With Tuberculosis: Conduction of an Intensive Pharmacovigilance Program",2014-11-01,2016-09-01,2016-09-01,FALSE,NA,NA,"INDUSTRY",FALSE,"Laboratorio Silanes, S.A. de C.V.","Mexico City","Mexico","LMIC"
"8","NCT03137875",2017-04-28,2011-02-22,NA,"Observational",NA,122,"Completed","Evaluation of the PCR Using DNA Extracts From Stained Slides and Sputum Collected on Filter Paper for Identification and Detection of Tuberculosis and Multidrug Resistant (MDR) Tuberculosis","Evaluation of PCR Using DNA Extract From Slides and Filter Paper for the Detection of Tuberculosis and MDR-tuberculosis",2011-03-01,2012-12-01,2012-12-01,FALSE,NA,NA,"OTHER",FALSE,"Epicentre Mbarara Research Base","Mbarara","Uganda","LMIC"
"9","NCT01955824",2014-12-26,2013-09-25,NA,"Interventional","Phase 2/Phase 3",500,"Completed","""A RCT ON CLINICAL EFFICACY OF 1% vs. 2% LIGNOCAINE IN COUGH SUPPRESSION AND PAIN RELIEF IN PATIENTS UNDERGOING FLEXIBLE BRONCHOSCOPY""","A Trial on Clinical Efficacy of 1% Versus 2% Lignocaine in Cough Suppression and Pain Relief in Patients Undergoing Flexible Bronchoscopy",2014-05-01,2014-11-01,2014-11-01,FALSE,"Randomized","Single","OTHER",FALSE,"Bronchoscopy suite, PGIMER","Chandigarh","India","LMIC"
"10","NCT01967134",2019-08-20,2013-10-18,2019-03-08,"Interventional","Phase 1",25,"Completed","Phase I Open Label Dose-Escalation Study to Evaluate the Safety and Immunogenicity of H56:IC31 (AERAS-456) in HIV-negative Adults With and Without Latent Tuberculosis Infection","Safety and Immunogenicity Study of AERAS-456 Vaccine for Tuberculosis",2011-11-01,2013-06-01,2012-12-01,TRUE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"SATVI Project Office, Brewelskloof Hospital","Worcester","South Africa","LMIC"
