"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT06224608","Phase I Clinical Trial to Evaluate the Safety of Recombinant Mycobacterium Tuberculosis Fusion Protein (EEC) in Healthy Adults Aged 18-65 and Patients With Pulmonary Tuberculosis",,"Completed","No Results Available","Tuberculosis","Biological: Recombinant Mycobacterium Tuberculosis Fusion Protein (EEC)","Incidence of adverse events (AEs) at the skin test site and non-skin test site within 28 days after skin testing, with particular attention to the incidence of AEs within 7 days after skin testing.|Incidence of abnormal blood routine, blood biochemistry, urine routine, and electrocardiogram detection indexes on the 3rd day after skin testing.|Incidence of abnormal vital signs within 7 days after skin testing.|Incidence of serious adverse events (SAEs) within 28 days after skin testing.|Specific skin reactions at the skin test site at 30 minutes, 2 hours, 4 , 8 , 24 , 48 , 72 , 96 hours, and 7 days after skin testing for different doses of EEC.|Agreement between skin test results and IGRA test results for different doses of EEC.|Agreement between IGRA test results before and after skin testing.","Chengdu CoenBiotech Co., Ltd|Beijing Chest Hospital, Capital Medical University|Beijing Friendship Hospital","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","60","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","KN-EEC-I","January 17, 2023","May 9, 2023","May 9, 2023","January 25, 2024",,"January 25, 2024","Beijing Friendship Hospital, Capital Medical University, Beijing, Beijing, China|Beijing Chest Hospital, Capital Medical University, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT06224608"
2,"NCT03667742","Diagnosing of Acute Tuberculosis","SwEaTB","Completed","No Results Available","Tuberculosis","Diagnostic Test: analysis of sweat and serum samples for protein markers","Change in protein markers (ESAT-6 and CFP-10 and CRP and Amyloid A2 and C1q) in patients with tuberculosis and other pulmonary diseases|change of protein markers during tuberculostatic therapy|Differences in protein markers in patients with other pulmonary diseases|Differences in protein markers in patients with positive and negative tuberculosis ELISpot","University Hospital, Basel, Switzerland","All","18 Years and older   (Adult, Older Adult)",,"35","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2017-01455; me17Eckstein2","November 17, 2017","November 4, 2020","November 4, 2020","September 12, 2018",,"December 1, 2020","University Hospital Basel, Basel, Switzerland|Hochschule für Lifescience, Muttenz, Switzerland",,"https://ClinicalTrials.gov/show/NCT03667742"
3,"NCT04285905","Male Partner-assisted Contact Tracing for HIV and Tuberculosis in Malawi","mPATCH-TB","Terminated","No Results Available","Tuberculosis","Other: Access to Fast Track TB clinic|Other: Information leaflet for male partner|Other: Home sputum collection|Other: Home HIV testing|Other: Financial incentive","TB screening|TB case detection|Acceptability|Completion of HIV testing","Liverpool School of Tropical Medicine|Malawi-Liverpool-Wellcome Trust Clinical Research Programme|London School of Hygiene and Tropical Medicine|University of Liverpool","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","18-020","April 10, 2019","March 28, 2020","March 28, 2020","February 26, 2020",,"February 25, 2021","Bangwe Health Centre, Blantyre, Southern Region, Malawi",,"https://ClinicalTrials.gov/show/NCT04285905"
4,"NCT05284812","A Phase Ⅱ Clinical Trial of the Recombinant Mycobacterium Tuberculosis Vaccine Freeze-dried (AEC/BC02)",,"Suspended","No Results Available","Tuberculosis","Biological: Low-dose freeze-dried recombinant tuberculosis vaccine (AEC / BC02)|Biological: High-dose freeze-dried recombinant tuberculosis vaccine (AEC / BC02)|Biological: High-dose adjuvant for freeze-dried recombinant tuberculosis vaccine (AEC / BC02)|Biological: Lyophilized recombinant tuberculosis vaccine (AEC / BC02) placebo","The number of adverse events after intramuscular injection|Laboratory markers of immunity","Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 2","200","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","LKM-2021-BJH01","February 10, 2022","June 30, 2024","December 31, 2024","March 17, 2022",,"November 28, 2023","Hunan Provincial Center for Disease Control and Prevention, Changsha, Hunan, China",,"https://ClinicalTrials.gov/show/NCT05284812"
5,"NCT04545788","Randomized Controlled Multi-center Short Course Treatment for Rifampicin Resistant Tuberculosis",,"Unknown status","No Results Available","Tuberculosis","Drug: Total oral short-term therapy that includes linezolid, bedaquiline and/or cycloserine.","Culture of Mycobacterium tuberculosis in sputum.|Adverse effect.","Beijing Chest Hospital","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GCP-TB","August 1, 2020","December 31, 2022","December 31, 2022","September 11, 2020",,"September 16, 2020","Beijing Chest Hospital affiliated to Capital Medical University, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04545788"
6,"NCT04538911","Phase I Clinical Protocol for Pre-evaluation of the Safety of BCG-PPD in Tuberculosis Patients",,"Recruiting","No Results Available","Tuberculosis","Drug: BCG-PPD","Evaluate the incidence of all adverse event and results of laboratory tests|Evaluate the effectiveness of the product by measuring the size of the skin response","Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.|Shenzhen Third People's Hospital|Beijing Kangterike Statistical Technology Co., Ltd.|Wuhan Pulmonary Hospital","All","up to 65 Years   (Child, Adult, Older Adult)","Phase 1","60","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Diagnostic","LKM-2020-PPD02","July 2, 2021","July 2023","August 2023","September 4, 2020",,"May 9, 2023","The Third People's Hospital Of Shenzhen, Shenzhen, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04538911"
7,"NCT03691883","Design of an Integrative Algorithm for Staging Tuberculosis","STAGE-TB","Recruiting","No Results Available","Tuberculosis",,"Clinical changes|Microbiological changes|Changes in Biomarkers values|Radiological Score Value|Changes in SGRQ score|Changes in Kessler-10 score|Changes in Health Quality of Life measures along time using BCN-Q questionnaire","Fundació Institut Germans Trias i Pujol|Hospital Universitari Vall d'Hebron (Drassanes)|Servicios Clínicos de Barcelona|Germans Trias i Pujol Hospital|Hospital Sant Joan de Deu|Hospital del Mar","All","Child, Adult, Older Adult",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","STAGE-TB","April 19, 2018","September 2024","December 2024","October 2, 2018",,"March 25, 2024","Hospital Universitari Germans Trias i Pujol, Badalona, Barcelona, Spain|Hospital Sant Joan de Déu, Esplugues De Llobregat, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital Universitari Vall d'Hebron-Drassanes, Barcelona, Spain|Servicios Clínicos de Barcelona, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT03691883"
8,"NCT06054334","Relevance of Isoniazid Dosage in Adults Treated for Tuberculosis","ISOBK","Recruiting","No Results Available","Tuberculosis",,"Serum isoniazid Cmax","Centre Hospitalier Universitaire, Amiens","All","18 Years to 99 Years   (Adult, Older Adult)",,"138","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","PI2023_843_0003","January 4, 2023","January 2024","October 2024","September 26, 2023",,"October 2, 2023","CHU Amiens Picardie, Amiens, Picardie, France",,"https://ClinicalTrials.gov/show/NCT06054334"
9,"NCT05847491","Latent Tuberculosis in Healthcare Workers - the Reality of a Portuguese Tertiary Hospital",,"Recruiting","No Results Available","Tuberculosis","Diagnostic Test: IGRA/Tuberculin skin test","Number and percentage of latent tuberculosis diagnosis in healthcare workers|Treatment acceptance for latent tuberculosis|Treatment completion","Centro Hospitalar do Oeste","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","LTBCHO23","September 1, 2022","September 30, 2023","December 31, 2023","May 6, 2023",,"May 6, 2023","Centro Hospitalar do Oeste - Torres Vedras, Torres Vedras, Lisboa, Portugal",,"https://ClinicalTrials.gov/show/NCT05847491"
10,"NCT05941052","Assessing Diagnostics At Point-of-care for Tuberculosis","ADAPT","Recruiting","No Results Available","Tuberculosis","Diagnostic Test: Tongue swab-based molecular assays","Proportion with positive index test result among participants with tuberculosis (TB)|Proportion with negative index test result among participants without tuberculosis (TB)","University of California, San Francisco|University Hospital Heidelberg|KNCV Tuberculosis Foundation|Bingham University|University of California, Irvine|De La Salle University Medical Center|Centre for Infectious Disease Research in Zambia|Johns Hopkins University","All","12 Years and older   (Child, Adult, Older Adult)","Not Applicable","1350","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","7200AA22RFA00004","August 28, 2023","September 30, 2028","September 30, 2028","July 12, 2023",,"September 22, 2023","Zankli Research Center, Bingham University, Abuja, Nigeria|De La Salle Medical and Health Sciences Institute, Dasmariñas, Philippines|Centre for Infectious Disease Research in Zambia, Lusaka, Zambia",,"https://ClinicalTrials.gov/show/NCT05941052"
