nct_id,has_single_facility,number_of_facilities
NCT05595486,FALSE,2
NCT05826327,TRUE,1
NCT05518162,TRUE,1
NCT04516668,FALSE,NA
NCT03793569,TRUE,1
NCT03415321,TRUE,1
NCT03460756,FALSE,33
NCT03665038,FALSE,17
NCT02692404,FALSE,2
NCT05046405,FALSE,NA
NCT02526407,FALSE,2
NCT03593473,TRUE,1
NCT00804739,TRUE,1
NCT04925765,TRUE,1
NCT04442503,FALSE,82
NCT01175603,FALSE,4
NCT03438071,TRUE,1
NCT02505984,TRUE,1
NCT02020148,TRUE,1
NCT02526433,TRUE,1
NCT03791749,TRUE,1
NCT05573009,TRUE,1
NCT00361478,TRUE,1
NCT04644081,FALSE,NA
NCT05588089,TRUE,1
NCT05800509,FALSE,NA
NCT00360204,FALSE,2
NCT01482832,TRUE,1
NCT03777046,FALSE,2
NCT01028482,TRUE,1
NCT01660165,TRUE,1
NCT04138368,TRUE,1
NCT02823418,FALSE,NA
NCT04933708,TRUE,1
NCT06293274,TRUE,1
NCT00183547,FALSE,2
NCT04347499,TRUE,1
NCT00436150,TRUE,1
NCT05299398,TRUE,1
NCT02495350,TRUE,1
NCT05044455,TRUE,1
NCT04087317,TRUE,1
NCT00929409,FALSE,3
NCT02142972,FALSE,NA
NCT03283254,TRUE,1
NCT05382884,TRUE,1
NCT05852314,TRUE,1
NCT01386086,TRUE,1
NCT03809572,TRUE,1
NCT05133583,TRUE,1
NCT04278456,TRUE,1
NCT02682004,TRUE,1
NCT00282776,TRUE,1
NCT02323152,FALSE,NA
NCT02532504,TRUE,1
NCT03464630,TRUE,1
NCT06282419,TRUE,1
NCT04706442,TRUE,1
NCT04441879,TRUE,1
NCT06042972,TRUE,1
NCT06285916,FALSE,6
NCT01602913,FALSE,NA
NCT05269732,TRUE,1
NCT04693585,TRUE,1
NCT04820920,TRUE,1
NCT04741971,FALSE,NA
NCT00392847,TRUE,1
NCT01309516,FALSE,2
NCT04923698,TRUE,1
NCT05322161,FALSE,2
NCT03210155,FALSE,2
NCT01439269,TRUE,1
NCT04169334,TRUE,1
NCT01935375,TRUE,1
NCT05453734,TRUE,1
NCT04576754,TRUE,1
NCT00601757,FALSE,3
NCT02867631,TRUE,1
NCT03285139,TRUE,1
NCT00560027,TRUE,1
NCT00782912,TRUE,1
NCT06131255,TRUE,1
NCT05362305,FALSE,NA
NCT04043533,TRUE,1
NCT02057627,TRUE,1
NCT00298311,FALSE,NA
NCT05764213,TRUE,1
NCT05345834,TRUE,1
NCT05937867,FALSE,NA
NCT05887115,TRUE,1
NCT01379781,TRUE,1
NCT02010840,TRUE,1
NCT04183946,TRUE,1
NCT04296734,TRUE,1
NCT05186272,TRUE,1
NCT02148965,TRUE,1
NCT02741206,TRUE,1
NCT01908959,TRUE,1
NCT05784116,TRUE,1
NCT06070168,FALSE,2
NCT06148831,TRUE,1
NCT04506489,TRUE,1
NCT05055674,FALSE,NA
NCT00745537,TRUE,1
NCT03228394,FALSE,16
NCT05209789,FALSE,7
NCT05762133,TRUE,1
NCT04093791,FALSE,NA
NCT00548743,TRUE,1
NCT06250933,TRUE,1
NCT01909167,TRUE,1
NCT03088319,TRUE,1
NCT00370903,TRUE,1
NCT05044546,TRUE,1
NCT04657107,FALSE,NA
NCT05893485,TRUE,1
NCT04950868,TRUE,1
NCT05196152,TRUE,1
NCT05543746,TRUE,1
NCT05585164,TRUE,1
NCT00744328,TRUE,1
NCT06277661,TRUE,1
NCT06246214,TRUE,1
NCT03417960,TRUE,1
NCT04928742,TRUE,1
NCT05897619,TRUE,1
NCT06014892,FALSE,4
NCT03470675,TRUE,1
NCT05229913,FALSE,NA
NCT03022526,TRUE,1
NCT00380419,TRUE,1
NCT04821544,FALSE,2
NCT04685148,TRUE,1
NCT05766475,TRUE,1
NCT06053515,TRUE,1
NCT06144294,TRUE,1
NCT05400161,TRUE,1
NCT00056901,TRUE,1
NCT06276647,TRUE,1
NCT06042166,TRUE,1
NCT04964206,FALSE,4
NCT03212547,TRUE,1
NCT02191423,TRUE,1
NCT00565032,TRUE,1
NCT05551195,FALSE,8
NCT04135612,FALSE,2
NCT02883686,FALSE,2
NCT03615794,FALSE,2
NCT04815044,TRUE,1
NCT01947244,FALSE,NA
NCT06355375,TRUE,1
NCT04350333,FALSE,NA
NCT00276900,TRUE,1
NCT03887910,TRUE,1
NCT04847076,FALSE,2
NCT04011592,TRUE,1
NCT00681668,TRUE,1
NCT05268588,FALSE,3
NCT03596879,TRUE,1
NCT02285504,TRUE,1
NCT03703219,TRUE,1
NCT06004232,FALSE,NA
NCT04853693,TRUE,1
NCT05772897,TRUE,1
NCT00833469,TRUE,1
NCT05804708,FALSE,2
NCT01744041,TRUE,1
NCT02094092,TRUE,1
NCT01977326,FALSE,2
NCT02738021,FALSE,NA
NCT04051320,TRUE,1
NCT05077644,TRUE,1
NCT03836430,TRUE,1
NCT04565730,TRUE,1
NCT06057012,FALSE,11
NCT05958095,TRUE,1
NCT00604604,FALSE,7
NCT01925664,TRUE,1
NCT05148260,FALSE,NA
NCT03499756,TRUE,1
NCT00602732,TRUE,1
NCT04146025,TRUE,1
NCT05949190,FALSE,10
NCT06273423,FALSE,NA
NCT05595512,FALSE,NA
NCT05423093,TRUE,1
NCT03837392,TRUE,1
NCT04998565,TRUE,1
NCT02942004,FALSE,32
NCT00602355,FALSE,2
NCT05356026,TRUE,1
NCT02121496,TRUE,1
NCT03949465,TRUE,1
NCT05000879,TRUE,1
NCT01883479,TRUE,1
NCT01217658,TRUE,1
NCT04227704,TRUE,1
NCT06048263,TRUE,1
NCT03336541,TRUE,1
NCT05400382,FALSE,NA
NCT05891717,TRUE,1
NCT05444179,TRUE,1
NCT05700760,TRUE,1
NCT04396509,TRUE,1
NCT00633178,TRUE,1
NCT02213601,TRUE,1
NCT00053651,TRUE,1
NCT04940585,TRUE,1
NCT04427410,TRUE,1
NCT06221280,TRUE,1
NCT04183582,TRUE,1
NCT02441595,FALSE,NA
NCT00373750,FALSE,5
NCT06136520,TRUE,1
NCT05275413,FALSE,2
NCT04285684,TRUE,1
NCT05655104,FALSE,NA
NCT02862444,FALSE,NA
NCT04860661,TRUE,1
NCT01842542,FALSE,8
NCT03381495,TRUE,1
NCT04355091,TRUE,1
NCT06231602,FALSE,NA
NCT03309163,TRUE,1
NCT05225987,TRUE,1
NCT03803189,FALSE,2
NCT02053649,TRUE,1
NCT04279093,TRUE,1
NCT00402389,TRUE,1
NCT00059228,TRUE,1
NCT01648816,TRUE,1
NCT04297956,FALSE,5
NCT05820958,TRUE,1
NCT06237569,TRUE,1
NCT02710474,FALSE,2
NCT00711971,TRUE,1
NCT03791021,TRUE,1
NCT05662423,TRUE,1
NCT02661789,TRUE,1
NCT03416010,FALSE,3
NCT01762943,TRUE,1
NCT04617132,TRUE,1
NCT02352142,FALSE,2
NCT05664529,TRUE,1
NCT05997953,TRUE,1
NCT00001481,TRUE,1
NCT02059863,FALSE,2
NCT04368208,TRUE,1
NCT05399784,TRUE,1
NCT01453114,TRUE,1
NCT02133963,TRUE,1
NCT03267043,FALSE,2
NCT03267563,TRUE,1
NCT02221895,TRUE,1
NCT00617045,TRUE,1
NCT00051246,TRUE,1
NCT03221556,TRUE,1
NCT02942017,FALSE,32
NCT05059600,FALSE,6
NCT02391870,FALSE,4
NCT02818075,TRUE,1
NCT04167709,TRUE,1
NCT04384887,TRUE,1
NCT03027037,TRUE,1
NCT01967394,FALSE,8
NCT03638687,TRUE,1
NCT01463202,TRUE,1
NCT04845230,TRUE,1
NCT01646463,TRUE,1
NCT00816725,TRUE,1
NCT04818047,FALSE,2
NCT04414696,TRUE,1
NCT03856931,TRUE,1
NCT02813174,TRUE,1
NCT06275217,TRUE,1
NCT02790905,TRUE,1
NCT05693792,FALSE,NA
NCT02210702,TRUE,1
NCT01527786,TRUE,1
NCT04437342,FALSE,6
NCT01298778,TRUE,1
NCT04264520,TRUE,1
NCT02516982,FALSE,14
NCT03709004,TRUE,1
NCT04211467,TRUE,1
NCT06253676,TRUE,1
NCT04285437,TRUE,1
NCT02614547,FALSE,4
NCT01527448,TRUE,1
NCT01587729,FALSE,NA
NCT02373709,TRUE,1
NCT04037085,FALSE,2
NCT03196726,FALSE,6
NCT02769858,TRUE,1
NCT04847362,FALSE,2
NCT04273191,FALSE,NA
NCT02387424,FALSE,4
NCT05654987,FALSE,2
NCT01912833,TRUE,1
NCT03052374,TRUE,1
NCT00043602,TRUE,1
NCT05520580,TRUE,1
NCT06301087,TRUE,1
NCT06316193,TRUE,1
NCT06258655,TRUE,1
NCT05038085,TRUE,1
NCT04680585,TRUE,1
NCT04857593,TRUE,1
NCT04129476,TRUE,1
NCT05217251,TRUE,1
NCT03990389,FALSE,2
NCT05622305,TRUE,1
NCT01280474,TRUE,1
NCT05353491,TRUE,1
NCT03357965,TRUE,1
NCT01087112,TRUE,1
NCT05830955,TRUE,1
NCT06056609,TRUE,1
NCT06305325,TRUE,1
NCT04852757,TRUE,1
NCT04813341,TRUE,1
NCT02122393,TRUE,1
NCT05845840,TRUE,1
NCT06207916,TRUE,1
NCT03346551,TRUE,1
NCT04639752,TRUE,1
NCT05676918,TRUE,1
NCT01658098,TRUE,1
NCT02538497,TRUE,1
NCT01527474,TRUE,1
NCT04193462,TRUE,1
NCT04636398,TRUE,1
NCT04487171,TRUE,1
NCT05894681,TRUE,1
NCT06046456,TRUE,1
NCT05657886,TRUE,1
NCT03024645,TRUE,1
NCT03715218,TRUE,1
NCT06348316,TRUE,1
NCT03247491,TRUE,1
NCT05215028,TRUE,1
NCT06252155,TRUE,1
NCT05821569,TRUE,1
NCT05813782,TRUE,1
NCT03300713,TRUE,1
NCT05040581,TRUE,1
NCT03763435,TRUE,1
NCT05285215,TRUE,1
NCT04663243,TRUE,1
NCT03167905,TRUE,1
NCT03924492,FALSE,NA
NCT05097586,FALSE,2
NCT01452321,TRUE,1
NCT05295069,TRUE,1
NCT05873569,TRUE,1
NCT04414943,FALSE,7
NCT03927378,FALSE,7
NCT02978326,FALSE,27
NCT03965572,TRUE,1
NCT04068662,FALSE,2
NCT05806463,TRUE,1
NCT04364646,FALSE,3
NCT02370576,TRUE,1
NCT06253390,TRUE,1
NCT04442529,FALSE,NA
NCT00251342,TRUE,1
NCT05503056,TRUE,1
NCT04741776,TRUE,1
NCT02726659,TRUE,1
NCT06342310,FALSE,NA
NCT01312883,TRUE,1
NCT04745494,TRUE,1
NCT04073043,TRUE,1
NCT02566980,FALSE,3
NCT03004872,TRUE,1
NCT02497677,TRUE,1
NCT04998721,TRUE,1
NCT03427528,TRUE,1
NCT04845347,TRUE,1
NCT05753176,TRUE,1
NCT04580901,TRUE,1
NCT05314361,TRUE,1
NCT05225025,TRUE,1
NCT04844138,TRUE,1
NCT02979444,TRUE,1
NCT05484999,TRUE,1
NCT02121015,FALSE,3
NCT01178008,FALSE,3
NCT04472065,TRUE,1
NCT05698394,FALSE,4
NCT02843022,TRUE,1
NCT02791932,TRUE,1
NCT00518830,FALSE,NA
NCT00228033,TRUE,1
NCT04934488,TRUE,1
NCT05763537,FALSE,NA
NCT05159726,TRUE,1
NCT05643898,FALSE,NA
NCT04012580,TRUE,1
NCT02235064,TRUE,1
NCT05815433,TRUE,1
NCT03351465,TRUE,1
NCT00942721,FALSE,3
NCT06208852,TRUE,1
NCT04332146,TRUE,1
NCT05137925,TRUE,1
NCT01407783,TRUE,1
NCT00961402,TRUE,1
