nct_id,allocation,masking
NCT01028482,Randomized,Double
NCT00711971,Randomized,Triple
NCT05595486,Randomized,Single
NCT02942017,Randomized,Quadruple
NCT04169334,Randomized,None (Open Label)
NCT06136520,Randomized,Single
NCT04685148,Randomized,Quadruple
NCT05887115,Randomized,Double
NCT01386086,N/A,None (Open Label)
NCT05196152,Randomized,None (Open Label)
NCT06004232,Randomized,None (Open Label)
NCT06237569,NA,NA
NCT03470675,Randomized,Triple
NCT03267563,Randomized,None (Open Label)
NCT06285916,Randomized,Quadruple
NCT00560027,Non-Randomized,None (Open Label)
NCT04847362,Randomized,Single
NCT05676918,Randomized,Single
NCT01407783,Randomized,None (Open Label)
NCT04820920,Randomized,Single
NCT04644081,Randomized,Single
NCT04657107,Randomized,Quadruple
NCT00565032,NA,NA
NCT04580901,Randomized,None (Open Label)
NCT05762133,Randomized,Single
NCT01453114,Non-Randomized,None (Open Label)
NCT06342310,Randomized,Triple
NCT06070168,Randomized,None (Open Label)
NCT05137925,Randomized,None (Open Label)
NCT01646463,Non-Randomized,Double
NCT04516668,NA,NA
NCT01842542,N/A,None (Open Label)
NCT04017442,Randomized,Quadruple
NCT05830955,Randomized,None (Open Label)
NCT05268588,Randomized,None (Open Label)
NCT05907213,N/A,None (Open Label)
NCT05484999,Randomized,Double
NCT01379781,Randomized,None (Open Label)
NCT00601757,Randomized,None (Open Label)
NCT01298778,Randomized,Double
NCT05657886,Randomized,Double
NCT02497677,Randomized,Single
NCT04012580,Randomized,None (Open Label)
NCT05937867,Randomized,Quadruple
NCT03024645,Randomized,Single
NCT00617045,N/A,None (Open Label)
NCT06056609,Randomized,Single
NCT06046456,Randomized,Single
NCT05830266,Randomized,None (Open Label)
NCT01482832,Randomized,Single
NCT02818075,Randomized,Single
NCT04211467,NA,NA
NCT02867631,Randomized,Single
NCT05664529,NA,NA
NCT02454322,NA,NA
NCT05662423,Randomized,Double
NCT03809572,Randomized,Double
NCT01507649,Randomized,Single
NCT04285437,Randomized,None (Open Label)
NCT04167709,N/A,None (Open Label)
NCT03615794,NA,NA
NCT00633178,Randomized,Single
NCT04913584,Randomized,Single
NCT02823418,NA,NA
NCT04368208,NA,NA
NCT05813782,Randomized,None (Open Label)
NCT00961402,Randomized,None (Open Label)
NCT05655104,NA,NA
NCT02741206,Randomized,Double
NCT04396509,NA,NA
NCT04639752,Randomized,Single
NCT04730570,Randomized,Double
NCT04183582,N/A,None (Open Label)
NCT01527448,N/A,None (Open Label)
NCT01527474,N/A,None (Open Label)
NCT01527786,Non-Randomized,None (Open Label)
NCT04487171,N/A,None (Open Label)
NCT02862444,NA,NA
NCT02883686,Randomized,None (Open Label)
NCT04278456,NA,NA
NCT04135612,Randomized,None (Open Label)
NCT02235064,Randomized,Quadruple
NCT03283254,Randomized,Single
NCT04852757,NA,NA
NCT03949465,N/A,None (Open Label)
NCT05693792,NA,NA
NCT05551195,Randomized,Triple
NCT04617132,NA,NA
NCT01762943,Non-Randomized,None (Open Label)
NCT01452321,Randomized,Double
NCT04273191,N/A,None (Open Label)
NCT05356026,Randomized,None (Open Label)
NCT04037085,N/A,None (Open Label)
NCT06305325,Randomized,Quadruple
NCT05873569,Randomized,None (Open Label)
NCT04348929,Non-Randomized,None (Open Label)
NCT02142972,NA,NA
NCT03221556,Randomized,Triple
NCT04485000,Randomized,Double
NCT02661789,Randomized,Quadruple
NCT05949190,Randomized,Triple
NCT05399784,Randomized,None (Open Label)
NCT06231602,NA,NA
NCT00744328,Randomized,Quadruple
NCT00745537,Non-Randomized,None (Open Label)
NCT02769858,N/A,None (Open Label)
NCT06048263,N/A,None (Open Label)
NCT00602732,Randomized,Single
NCT04745494,Randomized,Double
NCT00604604,Randomized,Single
NCT04818047,N/A,None (Open Label)
NCT03052374,Randomized,Single
NCT04264520,N/A,None (Open Label)
NCT00001481,Non-Randomized,Double
NCT00816725,Non-Randomized,None (Open Label)
NCT02391870,N/A,None (Open Label)
NCT02387424,Randomized,None (Open Label)
NCT02370576,NA,NA
NCT00804739,N/A,None (Open Label)
NCT05800509,Randomized,Single
NCT02843022,Randomized,None (Open Label)
NCT00833469,N/A,None (Open Label)
NCT04043533,Randomized,Single
NCT02020148,NA,NA
NCT05077644,N/A,None (Open Label)
NCT03027037,NA,NA
NCT00602355,Randomized,Quadruple
NCT02791932,Randomized,Single
NCT06042166,N/A,None (Open Label)
NCT05423093,N/A,None (Open Label)
NCT05826327,Randomized,Triple
NCT05314361,Randomized,Double
NCT04051320,Non-Randomized,Double
NCT04437342,NA,NA
NCT04146025,Randomized,None (Open Label)
NCT06014892,Randomized,None (Open Label)
NCT04108533,Randomized,None (Open Label)
NCT04384887,NA,NA
NCT02813174,N/A,None (Open Label)
NCT03596879,Randomized,None (Open Label)
NCT01838889,Randomized,Single
NCT04355091,Randomized,None (Open Label)
NCT00942721,Non-Randomized,None (Open Label)
NCT05382884,Randomized,None (Open Label)
NCT01658098,NA,NA
NCT01660165,NA,NA
NCT04093791,Randomized,None (Open Label)
NCT03499756,Randomized,Triple
NCT05595512,NA,NA
NCT06221280,Randomized,None (Open Label)
NCT02692404,NA,NA
NCT04857593,N/A,None (Open Label)
NCT05894681,Randomized,Single
NCT06253676,Randomized,Double
NCT06253390,Randomized,None (Open Label)
NCT06252155,Randomized,Double
NCT05225987,Randomized,Single
NCT04998721,Randomized,Single
NCT03300713,Randomized,None (Open Label)
NCT06049433,Randomized,None (Open Label)
NCT04706442,Randomized,Double
NCT03593473,Randomized,Quadruple
NCT03703219,NA,NA
NCT05585164,N/A,None (Open Label)
NCT05295069,Randomized,Single
NCT05217251,NA,NA
NCT04950868,N/A,None (Open Label)
NCT04183946,N/A,None (Open Label)
NCT02710474,Randomized,Single
NCT03285139,Randomized,Single
NCT04847076,Randomized,None (Open Label)
NCT02790905,NA,NA
NCT02538497,Non-Randomized,None (Open Label)
NCT04928742,Randomized,Double
NCT06310720,Randomized,None (Open Label)
