nct_id,name,city,country
NCT01925664,University of Chicago,Chicago,United States
NCT04129476,Gonabad University of Medical Science,Gonabad,"Iran, Islamic Republic of"
NCT01899534,Dickensfield Primary Care Maternity Clinic,Edmonton,Canada
NCT01899534,Royal Alexandra Hospital: Lois Hole Hospital for Women,Edmonton,Canada
NCT01899534,Sturgeon Primary Care Maternity Clinic,St. Albert,Canada
NCT05356026,Gazi University,Ankara,Turkey
NCT03004872,University of Michigan,Ann Arbor,United States
NCT02094092,Fauji Foundation Hospital,Rawalpindi,Pakistan
NCT00565032,Oklahoma State University Center for Health Sciences Houston Park Obstetrics Clinic,Tulsa,United States
NCT06144294,Weill Cornell Medicine,New York,United States
NCT03283254,New York State Psychiatric Institute,New York,United States
NCT06285916,Gerbera site,Canoga Park,United States
NCT06285916,Gerbera sites,Miami Gardens,United States
NCT06285916,Gerbera site,Orlando,United States
NCT06285916,Gerbera site,Saint Petersburg,United States
NCT05820958,The Jerzy Kukuczka Academy of Physical Education,Katowice,Poland
NCT06285916,Gerbera site,League City,United States
NCT06285916,Gerbera site,Richardson,United States
NCT01463202,"Center for Family Planning Research, Magee-Womens Hospital",Pittsburgh,United States
NCT03267563,Michigan State University,Flint,United States
NCT05110456,St. Justine hospital,Montréal,Canada
NCT05804708,QPS Netherlands,Groningen,Netherlands
NCT05804708,St. Pancras Clinical Research,London,United Kingdom
NCT04580901,McMaster Univeristy,Hamilton,Canada
NCT05887115,Nationwide Children's Hospital,Columbus,United States
NCT05159726,Yale New Haven Hospital,New Haven,United States
NCT02979444,Northwestern University,Chicago,United States
NCT03470675,Northwestern University,Chicago,United States
NCT01646463,"University of California, San Francisco",San Francisco,United States
NCT06048263,Barnes-Jewish Hospital,Saint Louis,United States
NCT01386086,Regional Mental Health Care,London,Canada
NCT01407783,Washington University and Nurses for Newborns Foundations,Saint Louis,United States
NCT01379781,Columbia University Medical Center,New York,United States
NCT05676918,Covadonga Chaves Vélez,Madrid,Spain
NCT01453114,Massachusetts General Hospital,Boston,United States
NCT05907213,Magee Womens Hospital of UPMC,Pittsburgh,United States
NCT02726659,"Parkwood Institute, Mental Health Care Buildling",London,Canada
NCT00601757,Womens' Care Inc.,Providence,United States
NCT00601757,Women and Infants Hospital,Providence,United States
NCT00601757,Thundermist Health Center,Woonsocket,United States
NCT05484999,Texas Tech University Health Sciences Center,Amarillo,United States
NCT05137925,Western Psychiatric Institute & Clinic,Pittsburgh,United States
NCT04730570,IWK Health,Halifax,Canada
NCT01507649,The University of Hong Kong,Hong Kong,Hong Kong
NCT01482832,Women & Infants Hospital,Providence,United States
NCT05830955,Van Training and Research Hospital,Van,Turkey
NCT01298778,Forsyth Medical Center-Sara Lee Center for Women's Health,Winston-Salem,United States
NCT02942017,Sage Investigational Site,Flowood,United States
NCT02942017,Sage Investigational Site,Chandler,United States
NCT02942017,Sage Investigational Site,Rogers,United States
NCT01527448,BC Women's Hospital,Vancouver,Canada
NCT01527474,"Reproductive Mental Health Program, BC Women's Hospital",Vancouver,Canada
NCT01527786,BC Women's Hospital,Vancouver,Canada
NCT02942017,Sage Investigational Site,Lemon Grove,United States
NCT02942017,Sage Investigational Site,Orange,United States
NCT02942017,Sage Investigational Site,Ventura,United States
NCT02942017,Sage Investigational Site,Gainesville,United States
NCT02942017,Sage Investigational Site,Miami,United States
NCT02942017,Sage Investigational Site,Miramar,United States
NCT02942017,Sage Investigational Site,Orlando,United States
NCT02942017,Sage Investigational Site,Pensacola,United States
NCT02942017,Sage Investigational Site,Pinellas Park,United States
NCT02942017,Sage Investigational Site,Atlanta,United States
NCT02942017,Sage Investigational Site,Hoffman Estates,United States
NCT02942017,Sage Investigational Site,Wichita,United States
NCT02942017,Sage Investigational Site,Edgewood,United States
NCT02942017,Sage Investigational Site,Owensboro,United States
NCT02942017,Sage Investigational Site,Boston,United States
NCT02942017,Sage Investigational Site,Marlton,United States
NCT02942017,Sage Investigational Site,Glen Oaks,United States
NCT02942017,Sage Investigational Site,Chapel Hill,United States
NCT02942017,Sage Investigational Site,Charlotte,United States
NCT02942017,Sage Investigational Site,Raleigh,United States
NCT05657886,"Turkey, Trakya University",Edirne,Turkey
NCT02942017,Sage Investigational Site,Orem,United States
NCT02942017,Sage Investigational Site,Columbus,United States
NCT02942017,Sage Investigational Site,Dayton,United States
NCT02942017,Sage Investigational Site,Philadelphia,United States
NCT02942017,Sage Investigational Site,Baytown,United States
NCT02942017,Sage Investigational Site,Houston,United States
NCT02942017,Sage Investigational Site,Houston,United States
NCT02942017,Sage Investigational Site,Richardson,United States
NCT02942017,Sage Investigational Site,San Antonio,United States
NCT05949190,Bandajuma,Bandajuma,Sierra Leone
NCT06305325,Aga Khan University,Karachi,Pakistan
NCT05551195,Woebot Investigational Site,Lafayette,United States
NCT05551195,Woebot Investigational Site,Santa Ana,United States
NCT05551195,Woebot Investigational Site,DeLand,United States
NCT05551195,Woebot Investigational Site,Miami Lakes,United States
NCT05551195,Woebot Investigational Site,Seminole,United States
NCT05551195,Woebot Investigational Site,Decatur,United States
