nct_id,id_source,id_value,id_type,id_type_description,id_link
NCT06293274,org_study_id,sdilek5,NA,NA,NA
NCT06148831,org_study_id,23,NA,NA,NA
NCT06057012,org_study_id,BRII-296-002,NA,NA,NA
NCT05353491,org_study_id,UoL001668,NA,NA,NA
NCT05353491,secondary_id,NIHR200817,Other Grant/Funding Number,"National Institute for Health Research, UK",NA
NCT01908959,org_study_id,1R01NR010356-01A2,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/1R01NR010356-01A2
NCT00711971,org_study_id,HUM00004684,NA,NA,NA
NCT01912833,org_study_id,13-0788,NA,NA,NA
NCT03654261,org_study_id,1Day-CBT,NA,NA,NA
NCT00633178,org_study_id,"R34MH072838, #4914",NA,NA,NA
NCT00633178,secondary_id,R34MH072838,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/R34MH072838
NCT01935375,org_study_id,18981,NA,NA,NA
NCT04913584,org_study_id,PL OCBT,NA,NA,NA
NCT02823418,org_study_id,2014[712],NA,NA,NA
NCT02823418,secondary_id,ChiCTR-OCH-14004888,Registry Identifier,Chinese Clinical Trial Registry (www.chictr.org.cn),NA
NCT04847076,org_study_id,MIDAP2020FIP1,NA,NA,NA
NCT04928742,org_study_id,OnlinePHNCBT,NA,NA,NA
NCT03381495,org_study_id,TJ-C20171201,NA,NA,NA
NCT01947244,org_study_id,D89MC23146,NA,NA,NA
NCT05655104,org_study_id,CoupletCareStudy/2022,NA,NA,NA
NCT04815044,org_study_id,120532,NA,NA,NA
NCT04350333,org_study_id,UMarconi,NA,NA,NA
NCT04068662,org_study_id,19-03-5260,NA,NA,NA
NCT02741206,org_study_id,15-01130,NA,NA,NA
NCT01967394,org_study_id,1R15NR013563-01A1,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/1R15NR013563-01A1
NCT01967394,secondary_id,R15NR013563,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/R15NR013563
NCT01977326,org_study_id,5U19MH095699-02,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/5U19MH095699-02
NCT01977326,secondary_id,1U19MH095699,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/1U19MH095699
NCT04506489,org_study_id,P/2019/434,NA,NA,NA
NCT03351465,org_study_id,CALM RCT,NA,NA,NA
NCT03346551,org_study_id,PA17012,NA,NA,NA
NCT05573009,org_study_id,IstanbulU-NKALYONCU-001,NA,NA,NA
NCT04183582,org_study_id,BBS001,NA,NA,NA
NCT04442529,org_study_id,2019-0004,NA,NA,NA
NCT01087112,org_study_id,MIPPS-02,NA,NA,NA
NCT03665038,org_study_id,547-PPD-304,NA,NA,NA
NCT03665038,secondary_id,2017-004356-34,EudraCT Number,NA,NA
NCT05700760,org_study_id,R01MH130948,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/R01MH130948
NCT05700760,secondary_id,STUDY00007607,Other Identifier,MSU IRB Study ID,NA
NCT05815433,org_study_id,RMS23-99633743,NA,NA,NA
NCT06131255,org_study_id,DRACULA 1,NA,NA,NA
NCT02010840,org_study_id,748113,NA,NA,NA
NCT04487171,org_study_id,PI2020_843_0049,NA,NA,NA
NCT02862444,org_study_id,0004-16-COM2,NA,NA,NA
NCT02883686,org_study_id,CO-16-2391,NA,NA,NA
NCT04860661,org_study_id,EKET,NA,NA,NA
NCT04364646,org_study_id,18-0913,NA,NA,NA
NCT04278456,org_study_id,EBYU 88,NA,NA,NA
NCT05453734,org_study_id,SHN503434,NA,NA,NA
NCT05055674,org_study_id,OR2019-62903,NA,NA,NA
NCT04135612,org_study_id,0026-19-WOMC,NA,NA,NA
