nct_id,intervention_type
NCT05764213,Behavioral
NCT03336541,Drug
NCT03336541,Drug
NCT00043602,Behavioral
NCT00043602,Behavioral
NCT00059228,Drug
NCT00059228,Drug
NCT00053651,Behavioral
NCT00183547,Behavioral
NCT00183547,Behavioral
NCT04093791,Behavioral
NCT04093791,Behavioral
NCT05299398,Drug
NCT05299398,Drug
NCT05148260,Behavioral
NCT05148260,Behavioral
NCT05997953,Other
NCT04857593,Behavioral
NCT03460756,Drug
NCT03460756,Drug
NCT02516982,Other
NCT02516982,Other
NCT02516982,Other
NCT02516982,Other
NCT05225987,Behavioral
NCT05893485,Behavioral
NCT05186272,Behavioral
NCT05186272,Behavioral
NCT05097586,Device
NCT05097586,Other
NCT05097586,Device
NCT04680585,Other
NCT04680585,Other
NCT04741971,Dietary Supplement
NCT04741971,Dietary Supplement
NCT05059600,Drug
NCT03228394,Drug
NCT03228394,Drug
NCT05038085,Behavioral
NCT00436150,Behavioral
NCT00436150,Behavioral
NCT03167905,Device
NCT03167905,Drug
NCT03167905,Drug
NCT03167905,Drug
NCT03167905,Drug
NCT03167905,Drug
NCT00402389,Drug
NCT00402389,Behavioral
NCT00402389,Drug
NCT04706442,Other
NCT04366817,Behavioral
NCT06246214,Device
NCT06246214,Device
NCT04853693,Behavioral
NCT04853693,Behavioral
NCT03438071,Other
NCT05891717,Other
NCT05891717,Other
NCT04940585,Other
NCT05345834,Behavioral
NCT05345834,Behavioral
NCT04045132,Behavioral
NCT04045132,Behavioral
NCT04565730,Other
NCT04565730,Other
NCT03210155,Device
NCT03210155,Device
NCT02355067,Behavioral
NCT02355067,Behavioral
NCT00518830,Other
NCT00518830,Other
NCT05585164,Behavioral
NCT03415321,Device
NCT03420755,Behavioral
NCT03420755,Behavioral
NCT00361478,Behavioral
NCT00361478,Behavioral
NCT04073043,Behavioral
NCT04183946,Behavioral
NCT04138368,Behavioral
NCT04138368,Behavioral
NCT00548743,Behavioral
NCT00548743,Behavioral
NCT05588089,Other
NCT05444179,Behavioral
NCT04844138,Behavioral
NCT03464630,Behavioral
NCT03464630,Behavioral
NCT03022526,Procedure
NCT03022526,Procedure
NCT03022526,Drug
NCT06282419,Other
NCT06282419,Other
NCT06276647,Behavioral
NCT02738021,Behavioral
NCT06042972,Other
NCT04332146,Behavioral
NCT04332146,Behavioral
NCT00228033,Drug
NCT05751746,Drug
NCT04663243,Behavioral
NCT06316193,Other
NCT00380419,Behavioral
NCT03715218,Other
NCT03715218,Other
NCT02210702,Drug
NCT02210702,Drug
NCT05772897,Behavioral
NCT00384943,Behavioral
NCT05209789,Behavioral
NCT05209789,Behavioral
NCT03880032,Behavioral
NCT04636398,Behavioral
NCT05040581,Behavioral
NCT04285684,Drug
NCT04442503,Drug
NCT04442503,Drug
NCT00560027,Other
NCT05753176,Behavioral
NCT04741776,Behavioral
NCT04741776,Behavioral
NCT00251342,Procedure
NCT03836430,Behavioral
NCT02272387,Dietary Supplement
NCT02272387,Other
NCT01602913,Drug
NCT01602913,Drug
NCT01602913,Drug
NCT04834622,Behavioral
NCT04834622,Behavioral
NCT01925664,Behavioral
NCT00617045,Drug
NCT04129476,Behavioral
NCT00298311,Behavioral
NCT06258655,Other
NCT05400382,Behavioral
NCT05423093,Behavioral
NCT01899534,Other
