nct_id,affiliation
NCT02953626,Women's College Hospital
NCT01423331,Shin Kong Wu Ho-Su Memorial Hospital
NCT01977326,University of Cape Town
NCT01977326,"Mailman School of Public Health, Columbia University"
NCT01977326,Addis Ababa University
NCT04821544,University of Idaho
NCT04685148,"Neurobiology Research Unit, copenhagen University hospital, Rigshospitalet, Denmark"
NCT01453114,Massachusetts General Hospital
NCT01002027,University of Melbourne & Austin Health
NCT06004232,Henry Ford Health
NCT06004232,Henry Ford Health
NCT06237569,Inonu University
NCT00560027,Johns Hopkins University
NCT00560027,Johns Hopkins University
NCT05137925,University of Pittsburgh Medical Center
NCT05137925,University of Pittsburgh-Psychology and (primarily) AHN Psychiatry & Behavioral Health Institute
NCT05907213,University of Pittsburgh
NCT04657107,Beijing Haidian Maternal and Child Health Hospital
NCT04657107,Obstetrics & Gynecology Hospital of Fudan University
NCT04657107,Fourth Hospital of Shijiazhuang City
NCT04657107,Changzhi Maternal and Child Health Hospital
NCT04657107,Linfen Maternity&Child Healthcare Hospital
NCT04657107,"Maternal and Child Health Hospital, Jiading District"
NCT04657107,Tongzhou Maternal and Child Healthcare Hospital of Beijing
NCT04657107,Beijing Chaoyang District Maternal and Child Health Care Hospital
NCT00565032,Philadelphia College of Osteopathic Medicine Georgia Campus
NCT04580901,McMaster University
NCT00711971,University of Michigan
NCT02726659,Lawson Health Research Institute
NCT02497677,University of Copenhagen
NCT04012580,University of Regina
NCT03024645,Post-doctoral fellow at CINEICC
NCT01646463,"University of California, San Francisco"
NCT04516668,Bicêtre Hospital
NCT06056609,York & Scarborough Teaching Hospitals NHS Foundation Trust
NCT06046456,Mental Health Services in the Capital Region of Denmark
NCT04017442,Icahn School of Medicine at Mount Sinai
NCT01379781,Columbia University
NCT01482832,Women & Infants Hospital
NCT03283254,Columbia University
NCT03283254,Columbia University
NCT02454322,Northwestern University
NCT02942017,Sage Therapeutics
NCT06048263,Washington University School of Medicine
NCT03809572,Oregon Health and Science University
NCT00601757,Women and Infants Hospital
NCT00001481,National Institute of Mental Health (NIMH)
NCT00816725,"University of California, San Francisco"
NCT01298778,Wake Forest University Health Sciences
NCT05826327,Women's Hospital School Of Medicine Zhejiang University
NCT05196152,University of Iowa; Rural Health Resource Center - Iowa City
NCT04998721,University of Washington
NCT06049433,University of Utah
NCT00961402,University of Minnesota
NCT02538497,UiT The Arctic University of Norway
NCT04730570,Dalhousie University
NCT06310720,Weill Medical College of Cornell University
NCT06342310,Reunion Neuroscience Inc
NCT06301087,Kelindi
NCT04639752,"National Institute of Mental Health, Klecany, Czechia"
NCT01527448,University of British Columbia
NCT01527474,University of British Columbia
NCT01527786,BC Women's Hospital/UBC
NCT05268588,"University of California, San Francisco"
NCT05268588,"University of California, San Francisco"
NCT05830266,Tilburg University
NCT04211467,ProgenaBiome
NCT02235064,Cooper Health System
NCT03615794,University of Virginia
NCT03615794,Johns Hopkins University
NCT02867631,University of Pennsylvania
NCT04852757,Fondation Hôpital Saint-Joseph
NCT05664529,Marmara University
NCT03949465,University of Calgary
NCT06305325,Brock University
NCT04193462,"Interdisciplinary Center Herzliya, Israel"
NCT05949190,Washington University School of Medicine
NCT04617132,British Columbia Children's Hospital
NCT01762943,"University of North Carolina, Chapel Hill"
NCT01762943,"University of North Carolina, Chapel Hill"
NCT01452321,University of Sao Paulo General Hospital
NCT04285437,"Research Department, UMP"
NCT04167709,"Lund University, Faculty of Medicine, Department of Health Sciences"
NCT02142972,Universidad Rey Juan Carlos
NCT03965572,Laniado Hospital
NCT02769858,University of Michigan
NCT05873569,Northwestern University Feinberg School of Medicine
NCT05873569,Johns Hopkins University
NCT00633178,Columbia University
NCT03221556,Boston University Medical Campus
NCT04485000,McMaster University
NCT06250933,Bilecik Seyh Edebali Universitesi
NCT04913584,McMaster University
NCT02823418,Peking University First Hospital
NCT02391870,"University of Colorado, Boulder"
NCT02391870,Emory University
NCT02387424,"University of Colorado, Boulder"
NCT02387424,Emory University
NCT02532504,Pakistan Institute of Living and Learning
NCT02370576,Rambam Healthcare Center
NCT05655104,Turku University Hospital
NCT02741206,New York University Medical School
NCT02020148,Northwestern University
NCT05077644,Healthcare Innovation Technology Lab
NCT05077644,Healthcare Innovation Technology Lab
NCT03027037,"University of Colorado, Boulder"
NCT03027037,"University of Colorado, Boulder"
NCT00602355,Women and Infants Hospital
NCT00602355,University of Iowa
NCT06042166,Montefiore Medical Center/Albert Einstein College of Medicine
NCT04051320,UNC Dept of Psychiatry
NCT01658098,Consejo mexicano de ginecologia y obstetricia
NCT04437342,"Elena Venizelou General and Maternity Hospital of Athens, Greece"
NCT04146025,University of Pennsylvania
NCT01660165,Universidade Federal do Rio de Janeiro
NCT05894681,Eskisehir Osmangazi University
NCT04355091,Istanbul University - Cerrahpasa (IUC)
NCT04487171,CHU Amiens
NCT03593473,"University of North Carolina, Chapel Hill"
NCT02883686,"University of Colorado, Boulder"
NCT02883686,Kaiser Permanente
NCT04278456,ERZİNCAN
NCT03703219,"Mothers Touch Foundation, India"
NCT03703219,Warwick Research Services
NCT03703219,"Mothers Touch Foundation, India"
NCT03703219,"Mothers Touch Foundation, India"
NCT05217251,Zhujiang Hospital
NCT02710474,CUMC
NCT04950868,Lawson Health Research Institute
NCT06253676,The George Washington University | Center for Global Mental Health Equity
NCT01178008,The University of Hong Kong
NCT03777046,Texas Children's Hospital/Baylor College of Medicine
NCT01309516,University of Manchester
NCT03285139,McMaster University
NCT05595486,Lurie Children's Hospital
NCT04847076,Universidad del Desarrollo
NCT04815044,Østfold University College
NCT01087112,"Department of Women's and Children's Health, Child and Adolescent Psychiatry Unit, Karolinska Institutet"
NCT01087112,"Department of Women's and Children's Health, Child and Adolescent Psychiatry Unit, Karolinska Institutet"
NCT04928742,McMaster University
NCT05852314,Pakistan Institute of Living and Learning
NCT05269732,Mcmaster
NCT04693585,"University of California, San Francisco"
NCT04693585,"University of California, San Francisco"
NCT05815433,University of Calgary
NCT04860661,Department of Anesthesiology of Tongji Hospital
NCT04364646,Northwell Health
NCT04364646,"University of North Carolina, Chapel Hill"
NCT04037085,University of Pittsburgh
NCT02059863,London School of Hygiene and Tropical Medicine
NCT05573009,Istanbul University-Cerrahpasa Florence Nightingale Nursing Faculty
NCT01280474,Taipei Medical University
NCT04348929,Centre Hospitalier Régional Universitaire de Nancy
NCT02516982,Imperial College London
NCT02516982,Imperial College London
NCT02516982,Imperial College London
NCT02516982,Imperial College London
NCT02516982,Imperial College London
NCT02516982,Imperial College London
NCT02516982,"University of Dublin, Trinity College"
NCT02516982,"University of Dublin, Trinity College"
NCT04933708,University of Pennsylvania
NCT02661789,Neurobiology Research Unit
NCT05453734,Istanbul University - Cerrahpasa (IUC)
NCT05399784,Women & Infants Hospital
NCT04347499,University of Toronto
NCT00744328,Northwestern University
NCT00373750,Johns Hopkins University
NCT00373750,Johns Hopkins Center for American Indian Health
NCT00745537,"3811 O'Hara Street, Oxford 410, Pittsburgh, PA 15123"
NCT04376021,Nurturely
NCT00602732,Butler Hospital
NCT02121015,University of Illinois at Chicago
NCT00604604,"Lawrence S. Bloomberg Faculty of Nursing, University of Toronto"
NCT01842542,"Neuronetics, Inc."
NCT02133963,"University of North Carolina, Chapel Hill"
NCT02133963,"University of North Carolina, Chapel Hill"
NCT04296734,Northwestern University
NCT05543746,UNC Chapel Hill
NCT04845230,Washington University School of Medicine
NCT02505984,Massachusetts General Hosptial
NCT04011592,UTHealth Science Center at Houston
NCT04818047,University of Calgary
NCT03052374,University of Calgary
NCT03837392,University of Iowa
NCT05520580,Hannover Medical School
NCT05520580,Hannover medical school (MHH)
NCT02323152,Hospital Universitario Araba
NCT00059228,National Institute of Mental Health (NIMH)
NCT01883479,University of Minnesota
NCT05400161,Children's Hospital of Philadelphia
NCT05400161,Children's Hospital of Philadelphia
NCT05044546,M.D. Anderson Cancer Center
NCT01908959,"Arizona State University, College of Nursing and Health Innovation"
NCT01912833,UNC Chapel Hill
NCT02213601,University of Iowa
NCT00804739,University of Rochester
NCT02213601,University of Iowa
NCT05299398,Lawson Health Research Institute
NCT05784116,"IRCCS Ospedale San Raffaele, Milano"
NCT01935375,Drexel University
NCT01935375,Columbia University
NCT01935375,University of Iowa
NCT01935375,Drexel University
NCT03427528,Northwestern University
NCT02843022,Saint Anselm College
NCT01947244,"The University of Chicago, School of Social Service Administration"
NCT00833469,Massachusetts General Hospital
NCT01967394,University of Louisville
NCT02614547,Sage Therapeutics
NCT01328613,National Institute on Aging (NIA)
NCT04741971,"Department of Pediatrics, Hualien Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation,Taiwan"
NCT05654987,UNED
NCT04925765,University of Pittsburgh
NCT05038085,Gazi University
NCT05206552,Rabin Medical Center
NCT04964206,Peking University First Hospital
NCT04414943,Peking University First Hospital
NCT03927378,Peking University First Hospital
NCT05700760,Michigan State University
NCT05700760,Butler Hospital
NCT03167905,KK Women's and Children's Hospital
NCT06293274,Kocaeli University
NCT00942721,Oregon Research Institute
NCT00942721,University of Melbourne
NCT00942721,University of Iowa
NCT02010840,The University of Hong Kong
NCT03654261,McMaster University
NCT01587729,GlaxoSmithKline
NCT04093791,"University ""La Sapienza"", Department of Public Health and Infectious Diseases"
NCT02692404,University of Pittsburgh School of Medicine; Magee-Womens Hospital of UPMC
NCT03793569,Milton S. Hershey Medical Center
NCT04857593,King's College London - IoPPN
NCT05225987,Hacettepe University
NCT04506489,CHU Besançon
NCT04706442,National University of Singapore
NCT02121496,"NYPI, CUMC"
NCT04940585,NYU Langone Health
NCT05585164,Weill Medical College of Cornell University
NCT00277108,University of Rochester
NCT03210155,Texas A&M University Corpus Christi
NCT02355067,Children's Hospital of Philadelphia
NCT05055674,Professor
NCT04183946,"University of Zurich, Department of Psychology - Clinical Psychology and Psychotherapy"
NCT04183946,"University of Zurich, Department of Psychology - Clinical Psychology and Psychotherapy"
NCT00361478,University of Melbourne
NCT00361478,The Angliss Hospital
NCT00361478,University of Melbourne
NCT00361478,University of Melbourne
NCT02122393,University of Melbourne
NCT02122393,Austin Health
NCT03573713,Food for the Hungry
NCT03573713,Food for the Hungry
NCT04073043,McGill University
NCT02053649,Rhode Island Hospital
NCT02057627,MGH Institute of Health Professions
NCT03212547,Clínica Alemana de Santiago
NCT05444179,Universiti Teknologi Mara
NCT00370903,Oklahoma State University Center for Health Sciences
NCT04844138,University of Manitoba
NCT03464630,Georgia State University
NCT02441595,Karolinska Institutet
NCT04472065,Massachusetts General Hospital
NCT05806463,Johns Hopkins Bloomberg School of Public Health
NCT06282419,Ataturk University
NCT05209789,"University Hospital, Toulouse"
NCT03880032,Johns Hopkins Bloomberg School of Public Health
NCT00392847,Assistance Publique - Hôpitaux de Paris
NCT02738021,NYU Langone Health
NCT04332146,The University of Hong Kong
NCT04836585,Women's College Hospital
NCT05698394,Peking University First Hospital
NCT00276900,"Department of Psychiatry, University of Pittsburgh Medical Center"
NCT00380419,Universitiy of Michigan
NCT00617045,Yale University
NCT01909167,Imperial College London
NCT00384943,McGill University
NCT00951717,Icahn School of Medicine at Mount Sinai
NCT00051246,"University of Wisconsin, Madison"
NCT02148965,Federal University of Pelotas
NCT04636398,"University of California, San Francisco"
NCT04636398,"University of California, San Francisco"
NCT00056901,National Institute of Mental Health (NIMH)
NCT05766475,University of Denver
NCT05766475,University of Denver
NCT05040581,McMaster University
NCT03715218,"Mothers Touch Foundation, India"
NCT03715218,Warwick Research Services
NCT03715218,"Mothers Touch Foundation, India"
NCT03715218,"Mothers Touch Foundation, India"
NCT02526433,Royal College of Music / Imperial College London
NCT05893485,Baylor College of Medicine
NCT05958095,Healthcare Innovation Technology Lab
NCT02221895,Madigan Army Medical Center
NCT04285684,Ketamine Research Foundation
NCT05753176,McMaster University
NCT04741776,Dartmouth-Hitchcock Clinic
NCT00795652,IWK Health Centre
NCT05285215,KK Women's and Children's Hospital
NCT00043602,University of Iowa
NCT05764213,Medical University of South Carolina
NCT04834622,King's College London - IoPPN
NCT03336541,Peking University First Hospital
NCT03836430,Brigham and Women's Hospital
NCT01925664,University of Chicago
NCT04129476,Gonabad University of Medical Science
NCT00183547,Johns Hopkins Center for American Indian Health
NCT01899534,University of Alberta
NCT03763435,Bartin State Hospital
NCT04366817,Assistance Publique - Hôpitaux de Paris
NCT04853693,"National Institute of Mental Health, Klecany, Czechia"
NCT03438071,Poitiers University Hospital
NCT03415321,Researcher
NCT03420755,Northwestern University
NCT02285504,Sage Therapeutics
NCT03004872,University of Michigan
NCT03004872,University of Michigan
NCT02526407,Royal College of Music / Imperial College London
NCT01175603,Johns Hopkins University
NCT05820958,Rafał Gnat
NCT05772897,sunny.stophaeros@ucdenver.edu
NCT01463202,University of Pittsburgh
NCT05215028,ILC
NCT05110456,St. Justine's Hospital
NCT03460756,Marinus Pharmaceuticals
NCT05046405,University of Coimbra
NCT03309163,"Department of Anesthesiology, Xinqiao Hospital, Third Military Medical University"
NCT05097586,Sunnybrook Health Sciences Centre
NCT05097586,Centre for Addiction and Mental Health
NCT05097586,Women's College Hospital
NCT04845347,University of Michigan
NCT04680585,Women's College Hospital and Sinai Health System
NCT04680585,Women's College Hospital
NCT03803189,Women's College Hospital
NCT00436150,Women and Infants Hospital of Rhode Island
NCT01312883,Icahn School of Medicine at Mount Sinai
NCT00402389,University of Arizona; Department of Psychiatry
NCT06208852,Children's Hospital of Philadelphia
NCT06208852,Children's Hospital of Philadelphia
NCT02566980,"Michigan State University, Van Andel Research Institute"
NCT06246214,+555133596339
NCT05891717,Riphah International University
NCT04045132,Children's Hospital of Philadelphia
NCT04045132,Children's Hospital of Philadelphia
NCT02979444,Northwestern University
NCT00518830,University of Chile
NCT05897619,Weill Medical College of Cornell University
NCT00548743,Olmsted Medical Center
NCT00360204,Penn State Milton S. Hershey Children's Hospital
NCT00929409,Norwegian University of Science and Technology
NCT01648816,Assistance Publique - Hôpitaux de Paris
NCT00681668,"Westfälisches Zentrum Herten, Psychiatrie und Psychotherapie Im Schlosspark 20 45699 Herten"
NCT02559986,Indiana University School of Medicine
NCT01744041,Washington Univeristy
NCT03120208,"University Hospital, Clermont-Ferrand"
NCT03196726,INSTITUTE FOR PUBLIC HEALTH
NCT00228033,Oregon Health and Science University
NCT04663243,"Human Development Research Foundation, Pakistan"
NCT01386086,"Western University, Canada"
NCT04934488,McMaster University
NCT02352142,"Columbia University Medical Center, Presbyterian Hospital"
NCT05845840,CMAX
NCT05821569,IRCCS materno infantile Burlo Garofolo
NCT03470675,Northwestern University
NCT02942004,Sage Therapeutics
NCT00251342,"Department of Psychiatry, The Chinese University of Hong Kong"
