nct_id,affiliation,organization
NCT05804708,NA,NA
NCT02942017,NA,NA
NCT05110456,St. Justine's Hospital,NA
NCT05766475,NA,NA
NCT05813782,Tokat Gaziosmanpasa University,NA
NCT04644081,Nottingham Trent University,NA
NCT05196152,University of Iowa,NA
NCT04657107,Beijing Obstetrics and Gynecology Hospital,NA
NCT03267563,Michigan State University,NA
NCT06285916,NA,NA
NCT04847362,Saglik Bilimleri Universitesi,NA
NCT05887115,NA,NA
NCT04820920,Nottingham Trent University,NA
NCT04580901,NA,NA
NCT02979444,Northwestern University,NA
NCT05676918,NA,NA
NCT06342310,NA,NA
NCT06070168,Ondokuz Mayıs University,NA
NCT03283254,Columbia University,NA
NCT00360204,Milton S. Hershey Medical Center,NA
NCT05268588,NA,NA
NCT01453114,Massachusetts General Hospital,NA
NCT01386086,Lawson Health Research Institute,NA
NCT05830266,Tilburg University,NA
NCT05137925,University of Pittsburgh,NA
NCT05830955,Mustafa Kemal University,NA
NCT03470675,Northwestern University,NA
NCT01646463,NA,NA
NCT03615794,NA,NA
NCT03024645,University of Coimbra,NA
NCT04516668,NA,NA
NCT06056609,NA,NA
NCT06046456,NA,NA
NCT01407783,NA,NA
NCT05356026,Gazi University,NA
NCT02454322,Northwestern University,NA
NCT04017442,Icahn School of Medicine at Mount Sinai,NA
NCT02142972,Universidad Rey Juan Carlos,NA
NCT01423331,Shin Kong Wu Ho-Su Memorial Hospital,NA
NCT02769858,University of Michigan,NA
NCT03809572,Oregon Health and Science University,NA
NCT05907213,University of Pittsburgh,NA
NCT05484999,NA,NA
NCT01379781,New York State Psychiatric Institute,NA
NCT04368208,NA,NA
NCT00961402,NA,NA
NCT04396509,Kanuni Sultan Suleyman Training and Research Hospital,NA
NCT04639752,"National Institute of Mental Health, Czech Republic",NA
NCT06048263,Washington University School of Medicine,NA
NCT01482832,Women and Infants Hospital of Rhode Island,NA
NCT01507649,NA,NA
NCT00601757,Women and Infants Hospital of Rhode Island,NA
NCT00001481,NA,NA
NCT04730570,Dalhousie University,NA
NCT01527448,BC Women's Hospital & Health Centre,NA
NCT01527474,BC Women's Hospital & Health Centre,NA
NCT01527786,BC Women's Hospital & Health Centre,NA
NCT00816725,"University of California, San Francisco",NA
NCT01298778,NA,NA
NCT05657886,Trakya University,NA
NCT05693792,NA,NA
NCT05551195,NA,NA
NCT06305325,Brock University,NA
NCT05949190,NA,NA
NCT02235064,The Cooper Health System,NA
NCT05937867,NA,NA
NCT05826327,NA,NA
NCT01658098,Hospital Universitario Dr. Jose E. Gonzalez,NA
NCT01660165,Universidade Federal do Rio de Janeiro,NA
NCT06014892,Massachusetts General Hospital,NA
NCT05595512,University of Jordan,NA
NCT04852757,NA,NA
NCT05894681,Eskisehir Osmangazi University,NA
NCT03703219,NA,NA
NCT03949465,NA,NA
NCT03593473,NA,NA
NCT02710474,NA,NA
NCT05295069,Ataturk University,NA
NCT05217251,NA,NA
NCT04950868,Lawson Health Research Institute,NA
NCT03285139,McMaster University,NA
NCT04998721,University of Washington,NA
NCT06049433,University of Utah,NA
NCT04617132,British Columbia Children's Hospital,NA
NCT02818075,University of Toronto,NA
NCT01762943,NA,NA
NCT05595486,Women and Infants Hospital of Rhode Island,NA
NCT01452321,University of Sao Paulo General Hospital,NA
NCT04273191,NA,NA
NCT02538497,NA,NA
NCT04211467,NA,NA
NCT02867631,University of Pennsylvania,NA
NCT05852314,NA,NA
NCT05664529,NA,NA
NCT06310720,NA,NA
NCT05269732,NA,NA
NCT06301087,NA,NA
NCT05873569,Northwestern University,NA
NCT04693585,NA,NA
NCT01842542,NA,NA
NCT05662423,Massachusetts General Hospital,NA
NCT05762133,Northwestern University,NA
NCT03221556,NA,NA
NCT04485000,McMaster University,NA
NCT04285437,University of Medicine and Pharmacy at Ho Chi Minh City,NA
NCT04167709,NA,NA
NCT06231602,NA,NA
NCT01883479,NA,NA
NCT00633178,NA,NA
NCT02059863,NA,NA
NCT01908959,Arizona State University,NA
NCT04913584,McMaster University,NA
NCT02823418,Peking University First Hospital,NA
NCT01912833,"University of North Carolina, Chapel Hill",NA
NCT04745494,NA,NA
NCT01935375,Drexel University,NA
NCT05518162,University of Rochester,NA
NCT04193462,Interdisciplinary Center Herzliya,NA
NCT05655104,Turku University Hospital,NA
NCT01947244,NA,NA
NCT02741206,NA,NA
NCT02391870,"University of Colorado, Boulder",NA
NCT01967394,University of Louisville,NA
NCT02387424,"University of Colorado, Boulder",NA
NCT01977326,University of Cape Town,NA
NCT02370576,Rambam Health Care Campus,NA
NCT03965572,Laniado Hospital,NA
NCT04183582,NA,NA
NCT05800509,NA,NA
