nct_id,last_update_submitted_date,start_month_year,completion_month_year,primary_completion_month_year,study_first_submitted_date,results_first_submitted_date,study_type,phase,enrollment,overall_status,official_title,brief_title
NCT00001481,2024-03-26,"April 26, 1996","June 13, 2025","May 13, 2025",1999-11-03,NA,Interventional,Phase 2,100,Recruiting,An Endocrine Model for Postpartum Mood Disorders,The Role of Hormones in Postpartum Mood Disorders
NCT00043602,2013-09-25,September 2001,December 2007,December 2007,2002-08-09,NA,Interventional,Early Phase 1,140,Completed,Clinician Managed Interpersonal Psychotherapy,Clinician Managed Interpersonal Psychotherapy
NCT00051246,2014-01-23,January 2002,July 2008,July 2008,2003-01-07,NA,Interventional,Not Applicable,147,Completed,Relational Group Intervention for Postpartum Depression,Group Therapy for Postpartum Depression
NCT00053651,2013-08-20,September 2001,NA,NA,2003-02-04,NA,Interventional,Phase 1,250,Completed,Depression Intervention for Poor Pregnant Women,Prevention of Postpartum Depression in Low-Income Women
NCT00056901,2018-02-13,"March 25, 2003","December 24, 2017",NA,2003-03-26,NA,Observational,NA,68,Terminated,A Screening Protocol to Evaluate Women With Postpartum-Related Mood and Behavioral Disorders,Screening Evaluation for Women With Postpartum Depression
NCT00059228,2018-05-14,"April 17, 2003","November 15, 2016","November 15, 2016",2003-04-22,2018-04-10,Interventional,Phase 2,12,Terminated,The Efficacy of 17Beta-Estradiol in Postpartum-Related Depressive Illness,Clinical Trial of Estrogen for Postpartum Depression
NCT00183547,2013-05-28,January 2005,September 2007,March 2007,2005-09-13,NA,Interventional,Not Applicable,45,Completed,Depression Prevention in Pregnant American Indian Teens Using CBT,Depression Prevention Program for American Indian Adolescents During and After Pregnancy
NCT00228033,2014-03-19,April 2002,August 2007,December 2005,2005-09-26,NA,Interventional,Phase 4,238,Completed,Calcium for the Prevention of Postpartum Depression,Effectiveness of Supplemental Calcium in Preventing Postpartum Depression
NCT00251342,2007-04-04,October 2005,January 2008,NA,2005-11-09,NA,Interventional,Phase 2/Phase 3,460,Unknown status,Outcome of Postnatal Depression Screening Using Edinburgh Postnatal Depression Scale,Outcome of Postnatal Depression Screening Using Edinburgh Postnatal Depression Scale
NCT00276900,2013-09-30,December 2003,August 2006,August 2006,2006-01-11,NA,Interventional,Phase 3,300,Completed,Prevention of Recurrent Postpartum Depression,Sertraline for the Prevention of Recurrent Postpartum Depression
NCT00277108,2008-11-05,February 2004,April 2007,April 2007,2006-01-12,NA,Interventional,Not Applicable,20,Completed,Open Label Variable Dose Escitalopram (Lexapro) in the Treatment of Patients With Postpartum Major Depression: A Pilot Study,Lexapro in the Treatment of Patients With Postpartum Depression
NCT00282776,2013-09-30,August 2006,March 2012,March 2012,2006-01-25,NA,Interventional,Phase 3,628,Completed,Identification and Therapy of Postpartum Depression,Identification and Therapy of Postpartum Depression
NCT00298311,2017-08-03,November 2005,July 2010,February 2009,2006-03-01,NA,Interventional,Not Applicable,60,Completed,"An RCT to Evaluate the Effect of Home-Based Peer Support on Maternal-Infant Interaction, Infant Health Outcomes, and Postpartum Depression",Effect of Home-Based Peer Support on Maternal-Infant Interaction and Postpartum Depression
NCT00360204,2017-07-25,September 2006,February 2010,August 2009,2006-08-03,NA,Interventional,Phase 3,1154,Completed,Improving Health Outcomes for New Mothers and Babies,Improving Health Outcomes for New Mothers and Babies
NCT00361478,2008-08-11,July 2005,August 2006,August 2006,2006-08-07,NA,Interventional,Phase 3,160,Completed,Effect of the 'Mother and Baby' Program on New Mothers' Psychological and Physical Well-Being.,Effect of the 'Mother and Baby' Program on Well-Being
NCT00370903,2008-01-31,August 2006,November 2007,November 2007,2006-08-30,NA,Observational,NA,200,Completed,Retrospective Study of Relationship of Postpartum Depression to Planned Versus Emergent Cesarean Section,Postpartum Depression and Cesarean Section
NCT00373750,2015-01-09,June 2006,December 2010,December 2010,2006-09-07,NA,Interventional,Not Applicable,322,Completed,In-home Prevention of SA Risks for Native Teen Families,Cradling Our Future Through Family Strengthening Study
NCT00380419,2013-05-29,October 2006,August 2009,August 2009,2006-09-22,NA,Interventional,Not Applicable,120,Completed,Infant Outcomes and Depression Treatment in Pregnancy,Effects of Interpersonal Psychotherapy on Depression During and After Pregnancy
NCT00384943,2006-10-04,November 2001,November 2004,NA,2006-10-04,NA,Interventional,Not Applicable,90,Completed,Decreasing Health Care Utilization With Alternative Approaches for the Treatment of Depression: A Randomized Trial of Exercise for Postpartum Depression,Study of Home-Based Exercise to Alleviate Postpartum Depression
NCT00392847,2012-07-06,December 2006,January 2012,August 2011,2006-10-17,NA,Interventional,Not Applicable,440,Completed,Promoting Parental Skills and Enhancing Attachment in Early Childhood,Promoting Parental Skills and Enhancing Attachment in Early Childhood
NCT00402389,2013-03-27,June 2004,January 2006,January 2006,2006-11-20,NA,Interventional,Phase 2,50,Completed,Randomized Controlled Trial of Omega-3 Fatty Acids for Perinatal Depression,Use of Omega-3 Fatty Acids for Perinatal Depression
NCT00436150,2013-03-08,February 2007,September 2009,September 2009,2007-02-14,NA,Interventional,Not Applicable,106,Completed,Preventing Postpartum Depression in Adolescent Mothers,Interpersonal Therapy-Based Treatment to Prevent Postpartum Depression in Adolescent Mothers
