"","article","is_open_data","open_data_category","is_reuse","is_open_code","das","open_data_statements","cas","open_code_statements"
"1","10.1016/j.ajog.2015.04.003",FALSE,"upon request",FALSE,FALSE,"","","",""
"2","10.1016/S2214-109X(17)30217-6",FALSE,"upon request",FALSE,FALSE,"","","",""
"3","10.1016/S2214-109X(18)30111-6",FALSE,"upon request",FALSE,FALSE,"","","",""
"4","10.1016/S2214-109X(19)30079-8",FALSE,"",FALSE,FALSE,"","","",""
"5","10.1016/S2214-109X(19)30393-6",FALSE,"upon request",FALSE,FALSE,"","","",""
"6","10.1016/S2214-109X(20)30312-0",FALSE,"upon request",FALSE,FALSE,"","","",""
"7","10.1016/S2214-109X(21)00002-4",FALSE,"upon request, supplement",FALSE,FALSE,"<section> data sharing the principal investigator and those authorised by the principal investigator shall have exclusive rights to analyse and publish such data until 5 years after the study completion date. thereafter the data will be available on reasonable request from the corresponding author (hb-h). the irie classroom toolbox is licensed through a creative commons attribution-noncommercial-sharealike license.","raw data for all outcomes (tables 3","",""
"8","10.1016/S2214-109X(21)00228-X",FALSE,"",FALSE,FALSE,"<section> data sharing individual participant data that underlie the results reported in this article (text tables figures and appendices) after deidentification along with the study protocols data collection tools and analytic code will be made available immediately following publication without end date to anyone who wishes to access the data for any purpose. data will be available at the london school of hygiene & tropical medicine data compass site.","","",""
"9","10.1016/S2214-109X(21)00309-0",FALSE,"upon request",FALSE,FALSE,"<section> data sharing on publication de-identified individual participant data that underlie the results reported in the article will be made available via datacompass. proposals should be directed to chifundo.kanjala@lshtm.ac.uk; to gain access data requestors will need to sign a data access agreement.","","",""
"10","10.1016/S2214-109X(21)00346-6",FALSE,"",FALSE,FALSE,"<section> data sharing extensively drug-resistant strains were identified in the de-identified available to study although extensively drug-resistant strains have data can be been reported to cause epidemic in pakistan. tcv will the statistical not only prevent typhoid fever as suggested by our study acknowledgments but might help in the control of antimicrobial resistance. tyvac is our data from 2 years of follow-up show that there is a tyvac acknowledges high incidence of typhoid fever in the population investigational monitoring (342 cases per 100 000 person-years in the mena group). a k m nurul safety of this vaccine has been previously shown. s m shamsuzzaman model-based studies have shown typhoid burden in tisungane nepal ranging from 297 (95% ci 128–472) 1 to 449 (95% ci funders families; the the 383–521) per 100 000 person-years. collectively with child health a typhoid fever incidence of greater than 500 per their support 100 000 person-years 1 south asia remains the hub for including typhoid fever. introduction of tcv in children in highhealth promoters team at nepal burden settings such as south asia as recommended by trial; and the who 11 might considerably reduce the burden of the suvekchya disease as shown by this study. bigyan thapa our data support the introduction of tcv in typhoid janak bohara ranjit khatri endemic settings. in south asia pakistan is the only","","",""
"11","10.1016/S2214-109X(21)00348-X",FALSE,"upon request",FALSE,FALSE,"<section> data sharing the national institute for medical research in tanzania requires that all data sharing requests are reviewed and approved by them before data can be shared. deidentified participant data is available to any researcher under reasonable request. to facilitate the data access process please contact ethics@lshtm.ac.uk. the study protocol and statistical analysis plan are available from the corresponding author under reasonable request.","","",""
"12","10.1016/S2214-109X(21)00497-6",FALSE,"",FALSE,FALSE,"","","",""
"13","10.1016/S2214-109X(21)00596-9",TRUE,"general-purpose repository, upon request",FALSE,FALSE,"<section> data sharing a protocol has been published. 16 links to the manual of procedures and statistical analysis plan are provided in the manuscript. community-level data are available in the appendix. anonymised individual participant data and a data dictionary are available after approval of a proposal available at https://osf.io/j5yqn/.","anonymised individual participant data and a data dictionary are available after approval of a proposal available at https://osf.io/j5yqn/.","",""
"14","10.1016/S2214-109X(22)00117-6",FALSE,"unknown/misspecified source",FALSE,FALSE,"<section> data sharing data collected for the study including de-identified participant data and a data dictionary defining each field in the set will be made available to others with publication at the oxford research archive (https://ora.ox.ac.uk/) under the terms of the creative commons attribution 4·0 international license (cc-by 4·0). the study protocol can be accessed at https://wellcomeopenresearch.org/articles/3–58. the statistical analysis plan is included in the appendix.","<section> data collected for the study including de-identified participant data and a data dictionary defining each field in the set will be made available to others with publication at the oxford research archive (https://ora.ox.ac.uk/) under the terms of the creative commons attribution 4·0 international license (cc-by 4·0).","",""
