doi,OA_color,issn,journal,publisher,date
10.5539/gjhs.v7n1p115,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-08-14
10.5539/gjhs.v8n4p68,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-07-31
10.7189/jogh.12.04015,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2022-02-18
10.1080/16549716.2023.2203541,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2023-05-11
10.1080/17441692.2019.1634118,hybrid,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2019-06-24
10.1177/1757975920984727,green,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2021-03-01
10.1016/S2214-109X(23)00068-2,green,2214-109X,The Lancet Global Health,Elsevier BV,2023-05-01
10.1016/S2214-109X(23)00052-9,green,2214-109X,The Lancet Global Health,Elsevier BV,2023-04-01
10.1080/17441692.2021.1947343,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2021-07-01
10.1016/S2214-109X(22)00209-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-07-01
10.1016/S2214-109X(21)00490-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-12-01
10.1016/S2214-109X(21)00496-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-12-01
10.1016/S2214-109X(21)00495-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-12-01
10.1016/S2214-109X(23)00430-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-12-01
10.1371/journal.pgph.0002037,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-06-08
10.1136/bmjgh-2021-005599,gold,2059-7908,BMJ Global Health,BMJ,2021-08-01
10.1016/S2214-109X(23)00324-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-09-01
10.1371/journal.pgph.0000261,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-04-22
10.1017/gmh.2021.27,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2021-01-01
10.1136/bmjgh-2021-006305,gold,2059-7908,BMJ Global Health,BMJ,2021-10-01
10.1177/17579759221091194,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2022-06-19
10.5539/gjhs.v6n7p103,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-09-18
10.5539/gjhs.v6n7p44,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-09-18
10.1017/gmh.2023.66,gold,2054-4251,Cambridge Prisms: Global Mental Health,Cambridge University Press (CUP),2023-01-01
10.1186/s12992-023-00910-3,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2023-01-26
10.1371/journal.pgph.0002552,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-11-03
